,I-Count,Label(m0/f1),NYT_ID
0,6,1,58694c8895d0e039260788f3
1,2,0,586a0d8795d0e039260789b4
2,15,0,586a0d8795d0e039260789b5
3,2,0,586a0d8795d0e039260789b6
4,5,0,586c0ccb95d0e03926078ce3
5,2,0,586baa3195d0e03926078bf3
6,0,1,586b5f0995d0e03926078b6f
7,2,0,586b5ef495d0e03926078b68
8,0,0,586d20de95d0e03926078f1d
9,1,0,586cf9ad95d0e03926078ea7
10,0,0,586cb07e95d0e03926078df8
11,19,0,586cb07a95d0e03926078df7
12,1,1,586cb07595d0e03926078df6
13,2,1,586cb07295d0e03926078df4
14,0,1,586e6d8e95d0e0392607924d
15,5,1,586e673495d0e03926079233
16,3,0,586e4c3f95d0e039260791e4
17,0,0,586e3f3e95d0e039260791bc
18,0,0,586e020895d0e03926079120
19,3,1,586e020b95d0e03926079121
20,13,0,586e01fe95d0e0392607911f
21,3,0,586e01fc95d0e0392607911c
22,9,0,586e01fd95d0e0392607911d
23,3,0,586e01f895d0e0392607911a
24,0,0,586ffe9395d0e0392607967d
25,4,0,586ff30b95d0e0392607965d
26,0,0,586fcff795d0e039260795f4
27,2,0,586fcf2495d0e039260795f1
28,3,0,586fb8b495d0e03926079598
29,26,0,586fb81c95d0e03926079592
30,5,0,586fa92095d0e03926079564
31,5,0,586f538695d0e03926079490
32,9,0,586f538695d0e0392607948e
33,1,0,586f538795d0e03926079491
34,0,0,586f537795d0e0392607948b
35,71,1,587148a395d0e0392607981a
36,9,0,5871485895d0e03926079819
37,3,0,587147a195d0e03926079815
38,33,0,5871451695d0e03926079810
39,11,0,587141db95d0e0392607980c
40,3,1,587141c995d0e03926079809
41,14,0,587141d595d0e0392607980b
42,26,1,5871293995d0e039260797e7
43,8,1,58705c7995d0e0392607972d
44,8,0,5870445095d0e03926079710
45,14,1,587042d395d0e0392607970c
46,2,0,5872c18f95d0e03926079995
47,1,1,58740ab495d0e03926079c8a
48,2,0,587393fc95d0e03926079b1f
49,4,0,5873480e95d0e03926079a78
50,0,0,5873480d95d0e03926079a76
51,2,0,587347f695d0e03926079a72
52,4,0,5874ef7d95d0e03926079e58
53,0,0,5874cf3495d0e03926079e01
54,0,0,5874998795d0e03926079d7b
55,1,0,5874998895d0e03926079d7c
56,8,0,5874997295d0e03926079d76
57,0,0,5874997795d0e03926079d79
58,2,0,5874997595d0e03926079d77
59,12,0,5876b7c795d0e0392607a373
60,1,0,5876b2ba95d0e0392607a367
61,0,0,5876412795d0e0392607a1ed
62,0,0,587622df95d0e0392607a1a4
63,0,1,5875ebe295d0e0392607a105
64,79,1,5875eb0095d0e0392607a101
65,4,0,5875eaff95d0e0392607a100
66,4,0,5875eaf895d0e0392607a0fd
67,3,0,5877e9a095d0e0392607a678
68,0,0,5877b89695d0e0392607a5ea
69,0,0,5877aa8b95d0e0392607a5a7
70,0,0,58778bf095d0e0392607a53c
71,3,0,5877612c95d0e0392607a4bf
72,6,0,58773c8c95d0e0392607a45b
73,6,0,58773c8c95d0e0392607a45c
74,1,0,58773c7595d0e0392607a45a
75,8,1,5876de0295d0e0392607a3bb
76,1,1,58d14ada95d0e02489b9249c
77,0,0,5878db8495d0e0392607a8e0
78,1,0,5878c75995d0e0392607a8a7
79,2,0,58788e0b95d0e0392607a809
80,1,0,58788e0b95d0e0392607a808
81,1,0,58788e0095d0e0392607a807
82,4,0,58788dff95d0e0392607a806
83,6,0,58788df395d0e0392607a804
84,44,0,587a83f595d0e0392607ac24
85,29,0,587a830695d0e0392607ac20
86,1,0,587a7fdc95d0e0392607ac1a
87,18,0,587a7fd995d0e0392607ac19
88,12,0,587a7fc395d0e0392607ac18
89,0,0,587a7c4195d0e0392607ac0e
90,18,1,587a7c4195d0e0392607ac0f
91,2,0,587a7b1e95d0e0392607ac0b
92,13,1,587a63b095d0e0392607abf1
93,38,0,587a63a595d0e0392607abf0
94,0,0,58799ccb95d0e0392607ab0c
95,1,0,58799bc395d0e0392607ab08
96,5,0,587992ec95d0e0392607aaf9
97,5,0,587bff8695d0e0392607adcb
98,0,0,587cfe4f95d0e0392607afa4
99,6,1,587cd55995d0e0392607af48
100,0,0,587cd17a95d0e0392607af3e
101,2,0,587cc6f995d0e0392607af2d
102,4,0,587c828295d0e0392607ae90
103,0,0,587c828295d0e0392607ae91
104,1,1,587c827a95d0e0392607ae8c
105,22,0,587c828295d0e0392607ae93
106,36,0,587c827b95d0e0392607ae8d
107,11,0,587c827795d0e0392607ae8a
108,4,1,587e846295d0e0392607b34c
109,0,0,587e294e95d0e0392607b214
110,6,0,587dd40a95d0e0392607b100
111,1,0,587dd3ff95d0e0392607b0fc
112,0,0,587dd3ff95d0e0392607b0fd
113,26,0,587dd3f495d0e0392607b0f8
114,9,0,587fd5ff95d0e0392607b72d
115,5,0,587fb6cd95d0e0392607b6b4
116,5,0,587f99dc95d0e0392607b641
117,12,0,587f258695d0e0392607b4b9
118,0,0,587f258695d0e0392607b4ba
119,5,0,587f258595d0e0392607b4b8
120,9,0,587f258695d0e0392607b4bb
121,12,0,587f257695d0e0392607b4b4
122,5,0,587f257795d0e0392607b4b6
123,2,1,587f257695d0e0392607b4b5
124,1,0,5880c1e695d0e0392607b9ce
125,1,0,5880aaf995d0e0392607b983
126,5,0,588080a595d0e0392607b8e6
127,8,0,5880770095d0e0392607b8d3
128,6,1,5880770095d0e0392607b8d4
129,8,0,588076fb95d0e0392607b8d0
130,4,0,588076fb95d0e0392607b8d2
131,0,0,588076f495d0e0392607b8cd
132,0,1,588076f695d0e0392607b8cf
133,15,1,5882523d95d0e0392607be75
134,38,1,58821d5995d0e0392607bdc7
135,0,0,5881f79095d0e0392607bd58
136,2,0,5881c88895d0e0392607bce1
137,0,0,5881c87895d0e0392607bcdf
138,30,1,5881c87995d0e0392607bce0
139,1,1,5881c87795d0e0392607bcde
140,2,0,58815d8b95d0e0392607bc07
141,35,1,5883ca4795d0e0392607c0bf
142,36,0,5883bde695d0e0392607c0ae
143,3,0,5883b6d495d0e0392607c0a8
144,13,0,5883b6cb95d0e0392607c0a5
145,9,0,5883b6c395d0e0392607c0a3
146,8,0,5883b47295d0e0392607c09b
147,5,0,5883b38695d0e0392607c098
148,17,0,58837fd295d0e0392607c045
149,21,0,5882df0195d0e0392607bfb7
150,0,0,5882d82695d0e0392607bfb1
151,4,1,5882d1b695d0e0392607bfa8
152,14,1,5882cbe095d0e0392607bfa1
153,5,1,58867d0b95d0e0392607c576
154,5,1,58866dfc95d0e0392607c54a
155,0,0,58863c9b95d0e0392607c4ac
156,1,0,588612f495d0e0392607c428
157,3,0,5885bd0a95d0e0392607c355
158,12,1,5885bd0495d0e0392607c352
159,1,0,5885bd0995d0e0392607c354
160,4,1,5885bcf395d0e0392607c34a
161,3,0,5885bcfa95d0e0392607c351
162,1,0,5885bcf595d0e0392607c350
163,17,0,5887b56995d0e0392607c8c3
164,14,0,5887b55f95d0e0392607c8c2
165,8,0,58879d8b95d0e0392607c85c
166,0,1,5887821495d0e0392607c7f3
167,0,0,5887695995d0e0392607c7a3
168,2,0,58870e8695d0e0392607c68a
169,2,0,58870e7f95d0e0392607c686
170,1,0,58870e7495d0e0392607c684
171,4,0,588910c895d0e0392607cc8b
172,1,0,5888c2d495d0e0392607cb4a
173,0,0,5888b50395d0e0392607cb0f
174,0,0,58885ffe95d0e0392607ca23
175,7,0,58885ffe95d0e0392607ca24
176,11,0,58885ff495d0e0392607ca20
177,1,0,58885ff595d0e0392607ca21
178,1,0,588a5d7195d0e0392607d022
179,8,1,588a195395d0e0392607cf2e
180,1,0,588a14ed95d0e0392607cf23
181,1,0,5889fcdf95d0e0392607cedc
182,1,1,5889c8be95d0e0392607ce3e
183,4,1,5889b17f95d0e0392607cdf4
184,6,1,5889b17f95d0e0392607cdf5
185,4,0,5889b18095d0e0392607cdf6
186,2,0,5889b17e95d0e0392607cdf3
187,0,0,588bdcc995d0e0392607d425
188,3,0,588bcf2895d0e0392607d404
189,6,1,588b73ef95d0e0392607d2d4
190,0,0,588b5a0e95d0e0392607d27c
191,1,0,588b554e95d0e0392607d271
192,7,0,588b286295d0e0392607d207
193,6,0,588b127095d0e0392607d1c9
194,12,1,588b030b95d0e0392607d1a8
195,14,0,588b030a95d0e0392607d1a7
196,2,0,588b02fe95d0e0392607d1a6
197,2,0,588b02fd95d0e0392607d1a4
198,0,0,588b02fe95d0e0392607d1a5
199,2,0,588a8fc995d0e0392607d0d0
200,25,1,588cf54995d0e0392607d578
201,7,1,588cf4c695d0e0392607d574
202,5,0,588cf15395d0e0392607d570
203,1,1,588cf14d95d0e0392607d56f
204,14,0,588cf14d95d0e0392607d56e
205,2,0,588cf14095d0e0392607d56d
206,60,1,588cf07c95d0e0392607d56c
207,5,0,588cf03195d0e0392607d56b
208,2,1,588c141295d0e0392607d479
209,0,0,588c05f995d0e0392607d460
210,25,1,588c035095d0e0392607d45f
211,0,0,588bed6595d0e0392607d441
212,2,0,588be61395d0e0392607d439
