,term,count
0,istanbul,5
1,people,5
2,had,13
3,said,2
4,this,3
5,would,4
6,be,6
7,the,52
8,pajama,1
9,new,8
10,year,7
11,in,27
12,we,9
13,stay,1
14,home,1
15,hang,2
16,out,5
17,with,11
18,friends,2
19,keep,1
20,away,2
21,from,3
22,public,2
23,spaces,1
24,i,6
25,was,9
26,expecting,1
27,a,28
28,cozy,1
29,night,2
30,far,1
31,crowds,3
32,and,20
33,celebrations,2
34,headed,1
35,to,22
36,house,1
37,party,2
38,city,10
39,’s,6
40,anatolian,1
41,side,2
42,gatherings,1
43,squares,1
44,seemed,3
45,lame,1
46,on,10
47,tv,1
48,small,2
49,of,32
50,men,1
51,smoking,1
52,front,2
53,cameras,1
54,wet,1
55,cold,3
56,under,3
57,never,1
58,ceasing,1
59,rain,2
60,midnight,1
61,struck,1
62,then,2
63,came,2
64,news,2
65,gunmen,1
66,wearing,2
67,santa,3
68,claus,2
69,costumes,1
70,entered,2
71,nightclub,1
72,by,6
73,sea,1
74,european,1
75,killed,2
76,at,2
77,least,2
78,few,3
79,minutes,1
80,scores,1
81,clubgoers,1
82,escaped,1
83,massacre,1
84,jumping,1
85,into,2
86,freezing,2
87,waters,1
88,bosporus,1
89,strait,1
90,those,7
91,survivors,1
92,learned,1
93,floating,1
94,between,1
95,continents,1
96,sinister,2
97,image,1
98,killer,1
99,santas,1
100,turned,1
101,inaccurate,1
102,story,1
103,denied,1
104,turkey,1
105,prime,1
106,minister,1
107,binali,1
108,yildirim,1
109,who,5
110,there,5
111,only,1
112,attacker,1
113,later,1
114,reported,1
115,dressed,1
116,black,2
117,but,7
118,it,7
119,resonated,1
120,days,2
121,ago,1
122,youth,1
123,group,1
124,staged,1
125,mock,1
126,execution,1
127,shopping,1
128,mall,1
129,putting,1
130,gun,1
131,head,1
132,their,4
133,costumed,1
134,friend,5
135,threatening,1
136,like,3
137,newspapers,1
138,images,2
139,celebrating,1
140,were,5
141,contrasted,1
142,dead,2
143,syria,1
144,palestine,1
145,characterization,1
146,so,2
147,called,1
148,white,1
149,turks,1
150,as,5
151,wealthy,1
152,degenerate,1
153,condescending,1
154,elites,1
155,obsessed,1
156,partying,1
157,resurfaced,1
158,remind,1
159,proper,1
160,object,1
161,resentments,1
162,until,2
163,attack,5
164,week,1
165,been,3
166,depressing,1
167,happily,1
168,devoid,1
169,terror,4
170,previous,1
171,plunged,1
172,darkness,3
173,electricity,2
174,blackouts,1
175,storms,1
176,damaged,1
177,power,1
178,lines,2
179,even,1
180,hip,1
181,neighborhoods,1
182,painted,1
183,shades,1
184,children,2
185,complained,1
186,about,6
187,abrupt,1
188,cuts,1
189,heating,1
190,friday,1
191,evening,1
192,dinner,1
193,journalist,2
194,could,2
195,barely,1
196,see,1
197,our,1
198,plates,1
199,gas,1
200,lamps,1
201,felt,2
202,happy,1
203,when,3
204,back,1
205,wondered,1
206,whether,1
207,’d,2
208,enter,1
209,surprised,1
210,us,2
211,went,1
212,refused,1
213,change,1
214,plans,1
215,nightclubs,2
216,gleamed,1
217,artificial,1
218,lights,1
219,many,2
220,inside,1
221,location,1
222,which,1
223,is,1
224,popular,1
225,soccer,1
226,stars,1
227,supermodels,1
228,oligarchs,1
229,just,2
230,reina,1
231,you,1
232,have,3
233,willing,1
234,spend,1
235,an,3
236,awful,1
237,lot,1
238,money,1
239,likes,1
240,attract,1
241,international,1
242,business,1
243,class,1
244,foreigners,1
245,rumors,1
246,possibility,1
247,kind,1
248,one,1
249,reads,1
250,daily,1
251,warnings,1
252,such,1
253,threats,1
254,starts,1
255,ignoring,1
256,them,2
257,over,1
258,past,1
259,locals,1
260,become,2
261,used,1
262,everything,1
263,attacks,2
264,sports,1
265,stadiums,1
266,airports,1
267,coup,1
268,attempt,1
269,that,5
270,left,1
271,hundreds,1
272,now,3
273,extended,1
274,state,1
275,emergency,1
276,added,1
277,picture,1
278,sources,1
279,threat,1
280,are,1
281,too,2
282,numerous,1
283,number,1
284,unknowns,1
285,great,1
286,argued,1
287,not,2
288,inconceivable,1
289,for,1
290,government,1
291,impose,1
292,curfews,1
293,coming,1
294,months,1
295,what,3
296,talked,1
297,here,4
298,first,2
299,hours,2
300,will,1
301,happen,1
302,has,1
303,already,2
304,experienced,1
305,calamities,1
306,looks,1
307,set,1
308,defined,1
309,anxieties,1
310,twitter,1
311,likened,1
312,gotham,3
313,last,1
314,turkish,1
315,airlines,1
316,sponsor,1
317,film,1
318,batman,1
319,v,1
320,superman,1
321,offered,1
322,travel,1
323,destination,1
324,promote,1
325,its,1
326,flights,1
327,york,1
328,postmodern,1
329,marketing,1
330,ploy,1
331,really,1
332,does,1
333,feel,2
334,gritty,1
335,metropolis,1
336,whose,1
337,dwellers,1
338,overwhelmed,1
339,violence,2
340,seems,1
341,hyperreal,1
342,can,1
343,course,1
344,real,1
345,saturday,1
346,morning,1
347,shared,1
348,recently,1
349,moved,1
350,london,2
351,photograph,1
352,taken,1
353,taksim,1
354,square,1
355,uniformed,1
356,policeman,1
357,several,1
358,plainclothes,1
359,police,1
360,officers,1
361,guy,1
362,costume,1
363,stood,1
364,together,1
365,watching,1
366,snowflakes,1
367,scorpion,1
368,military,1
369,vehicle,1
370,background,1
371,still,2
372,up,3
373,appeared,1
374,did,1
375,want,1
376,upset,1
377,my,1
378,n’t,1
379,help,1
380,recalling,1
381,c,1
382,p,1
383,cavafy,1
384,always,1
385,following,1
