,term,count
0,imagine,2
1,the,53
2,headlines,1
3,if,1
4,in,15
5,russian,2
6,agents,1
7,had,1
8,leapt,1
9,out,1
10,of,22
11,a,16
12,van,1
13,at,7
14,am,1
15,southeast,1
16,washington,1
17,and,27
18,broken,1
19,into,3
20,democratic,9
21,national,4
22,committee,2
23,offices,1
24,using,1
25,sophisticated,1
26,tools,1
27,techniques,1
28,to,29
29,steal,1
30,tens,1
31,thousands,1
32,documents,2
33,including,2
34,names,1
35,social,1
36,security,2
37,numbers,1
38,donors,1
39,employees,1
40,confidential,1
41,memorandums,1
42,about,6
43,campaign,3
44,strategy,1
45,for,6
46,presidential,1
47,election,1
48,world,1
49,would,3
50,have,6
51,been,3
52,aghast,1
53,it,11
54,people,3
55,say,1
56,worse,2
57,than,3
58,watergate,4
59,something,1
60,similar,1
61,did,3
62,fact,1
63,happen,2
64,dnc,5
65,years,1
66,ago,1
67,was,14
68,this,5
69,n’t,6
70,just,1
71,party,2
72,spying,1
73,on,7
74,other,1
75,these,4
76,were,3
77,hackers,1
78,under,2
79,orders,1
80,from,1
81,president,2
82,vladimir,1
83,v,1
84,putin,5
85,russia,1
86,who,3
87,trying,1
88,undermine,2
89,public,2
90,faith,1
91,us,4
92,process,3
93,according,1
94,report,2
95,released,1
96,friday,2
97,by,6
98,office,2
99,director,1
100,intelligence,3
101,but,6
102,immediate,1
103,reaction,1
104,break,2
105,nothing,1
106,like,4
107,what,3
108,followed,1
109,that,5
110,’s,6
111,because,2
112,most,1
113,do,6
114,think,1
115,hacking,2
116,as,9
117,crime,1
118,breaking,1
119,entering,1
120,before,1
121,i,8
122,thought,2
123,prank,1
124,mischievous,1
125,tech,1
126,savvy,1
127,get,1
128,revenge,1
129,when,5
130,north,2
131,koreans,1
132,hacked,2
133,sony,1
134,pictures,1
135,retaliation,1
136,making,1
137,satire,1
138,interview,1
139,much,3
140,more,4
141,disturbed,1
142,embarrassing,2
143,things,1
144,movie,1
145,executives,1
146,said,1
147,emails,2
148,another,1
149,how,5
150,easy,1
151,dictator,1
152,punish,1
153,critics,1
154,united,1
155,states,1
156,until,2
157,lived,1
158,through,1
159,hackings,1
160,staff,3
161,members,1
162,organizations,2
163,realized,1
164,dangerous,1
165,such,1
166,an,4
167,attitude,1
168,could,3
169,be,7
170,saw,1
171,firsthand,1
172,july,1
173,asked,1
174,first,1
175,wave,1
176,stolen,3
177,abc,1
178,week,1
179,cnn,1
180,“,1
181,state,1
182,union,1
183,bombshell,1
184,russians,1
185,my,2
186,alarm,1
187,dismissed,1
188,news,3
189,media,3
190,our,5
191,opponents,1
192,merely,1
193,spin,1
194,feigned,1
195,distress,1
196,meant,1
197,dodge,1
198,real,1
199,questions,1
200,messages,1
201,might,1
202,hurt,2
203,hillary,1
204,clinton,1
205,prospects,1
206,perception,1
207,has,2
208,change,1
209,’m,1
210,not,3
211,referring,1
212,incident,1
213,particular,1
214,cybercrimes,2
215,general,1
216,unless,1
217,we,7
218,realize,1
219,vulnerable,2
220,are,5
221,playing,1
222,hands,1
223,foreign,2
224,aggressors,1
225,mr,6
226,chilling,1
227,effect,1
228,attacks,2
229,can,3
230,very,3
231,personal,1
232,they,7
233,also,2
234,subtle,1
235,impeding,1
236,dialogue,1
237,within,1
238,organization,1
239,all,3
240,fanfare,1
241,give,1
242,internet,1
243,freeing,1
244,speech,2
245,is,3
246,weaponized,1
247,against,1
248,you,1
249,used,2
250,stifle,1
251,certain,1
252,conversations,1
253,take,1
254,place,1
255,only,1
256,encrypted,1
257,phone,1
258,app,1
259,which,1
260,made,2
261,communicating,1
262,complicated,1
263,logistically,1
264,skeptics,1
265,elect,1
266,donald,1
267,j,1
268,trump,3
269,compared,1
270,hacks,1
271,leaks,2
272,’re,2
273,same,1
274,leak,4
275,occurs,1
276,someone,2
277,authorized,1
278,information,3
279,gives,1
280,reporter,1
281,without,2
282,authorization,1
283,access,1
284,hollywood,1
285,video,1
286,talking,1
287,assaulting,1
288,women,1
289,shared,1
290,memo,1
291,launch,1
292,permission,1
293,frustrating,1
294,time,3
295,dumping,1
296,democrats’,1
297,attack,3
298,with,1
299,start,1
300,see,1
301,situations,1
302,light,1
303,moscow,1
304,longstanding,1
305,desire,1
306,led,2
307,liberal,1
308,order,1
309,called,1
310,will,2
311,remain,2
312,potent,1
313,needs,2
314,spend,1
315,least,1
316,reporting,1
317,source,1
318,contents,1
319,partisan,1
320,issue,1
321,republican,1
322,senators,1
323,john,1
324,mccain,1
325,lindsey,1
326,graham,1
327,already,2
328,clear,1
329,kim,1
330,jong,1
331,un,1
332,korea,1
333,registered,1
334,democrats,1
335,or,6
336,republicans,1
337,anti,1
338,american,1
339,want,1
340,democracy,1
341,itself,1
342,justify,1
343,blame,1
344,victim,1
345,his,1
346,chosen,1
347,simply,1
348,leaves,1
349,them,1
350,threat,1
351,next,1
352,may,1
353,aimed,1
354,political,1
355,white,1
356,house,1
357,pentagon,1
358,course,1
359,americans,1
360,need,2
361,better,2
362,job,1
363,protecting,1
364,ourselves,1
365,law,1
366,enforcement,1
367,create,1
368,bridges,1
369,between,1
370,services,1
371,monitor,1
372,individuals,1
373,affect,1
374,there,1
375,few,1
376,protocols,1
377,fbi,1
378,cia,1
379,alert,1
380,assist,1
381,potential,1
382,victims,1
383,structures,1
384,elections,1
385,equipment,2
386,officials,2
387,elected,1
388,candidates,1
389,activists,1
390,reporters,1
391,must,2
392,elevated,1
393,priority,1
394,water,1
395,treatment,1
396,plants,2
397,nuclear,1
398,power,1
399,even,1
400,casinos,1
401,department,1
402,homeland,1
403,critical,1
404,infrastructure,1
405,list,1
406,voting,1
407,added,1
408,last,1
409,protect,1
410,animate,1
411,influence,1
412,corrupt,1
413,officeholders,1
414,voters,1
415,themselves,1
416,inspired,1
417,greater,1
418,vigilance,1
419,press,1
420,prompted,1
421,major,1
422,reforms,1
423,safeguard,1
424,institutions,1
425,again,1
