,term,count
0,the,64
1,election,1
2,has,6
3,left,2
4,republican,11
5,party,10
6,in,15
7,its,3
8,most,3
9,commanding,1
10,position,1
11,since,3
12,1920s,1
13,with,10
14,control,1
15,of,27
16,white,2
17,house,3
18,and,24
19,congress,2
20,a,16
21,majority,2
22,statehouses,1
23,governorships,1
24,yet,2
25,for,16
26,all,2
27,that,10
28,success,3
29,conservative,18
30,movement,10
31,is,6
32,on,4
33,heels,1
34,even,3
35,meaning,1
36,conservatism,3
37,uncertain,1
38,donald,1
39,j,1
40,trump,16
41,campaigned,1
42,as,11
43,populist,4
44,rather,3
45,than,5
46,won,2
47,face,1
48,hostility,1
49,from,2
50,leadership,1
51,his,8
52,faults,1
53,mr,15
54,recognized,1
55,path,1
56,to,22
57,presidency,2
58,was,7
59,incompatible,1
60,many,5
61,shibboleths,1
62,new,1
63,leader,2
64,opportunity,2
65,change,1
66,ideological,3
67,orientation,1
68,he,7
69,should,2
70,seize,1
71,it,6
72,if,3
73,makes,1
74,peace,2
75,mainstream,3
76,conservatives,8
77,defers,1
78,likes,1
79,speaker,1
80,ryan,1
81,by,9
82,backing,1
83,upper,1
84,class,1
85,tax,1
86,cuts,1
87,economic,1
88,deregulation,1
89,reduced,1
90,entitlement,1
91,spending,1
92,will,7
93,be,3
94,failed,5
95,president,2
96,energized,1
97,voters,4
98,who,2
99,sent,1
100,him,3
101,feel,1
102,justifiably,1
103,betrayed,1
104,during,3
105,campaign,1
106,threw,1
107,out,3
108,traditional,7
109,playbook,1
110,appealed,1
111,directly,1
112,demographic,1
113,mid1970s,1
114,sociologist,1
115,warren,1
116,called,1
117,middle,3
118,american,3
119,radicals,3
120,these,1
121,are,5
122,not,6
123,persuaded,1
124,tropes,1
125,about,2
126,limited,2
127,government,4
128,but,6
129,they,9
130,have,6
131,little,3
132,interest,2
133,democratic,1
134,’s,13
135,cosmopolitan,1
136,egalitarianism,1
137,identify,1
138,neither,1
139,wall,2
140,street,2
141,nor,1
142,occupy,1
143,frightened,1
144,prospect,1
145,privatized,1
146,social,3
147,security,1
148,roll,1
149,their,3
150,eyes,1
151,at,1
152,far,1
153,against,2
154,want,2
155,works,1
156,specific,1
157,interests,1
158,appears,1
159,ready,1
160,disregard,1
161,voting,2
162,bloc,1
163,handed,1
164,power,1
165,instead,1
166,secure,1
167,medicare,2
168,building,1
169,projects,1
170,supporters,1
171,may,1
172,end,1
173,up,1
174,fewer,1
175,banking,1
176,regulations,1
177,which,1
178,never,1
179,cared,1
180,republicans,3
181,push,1
182,agenda,3
183,acquiesces,1
184,turn,1
185,them,2
186,or,5
187,this,2
188,group,1
189,made,1
190,political,2
191,waves,1
192,before,2
193,filling,1
194,ranks,1
195,richard,1
196,nixon,1
197,silent,1
198,serving,1
199,ross,1
200,perot,1
201,base,2
202,pat,1
203,buchanan,1
204,presidential,1
205,campaigns,2
206,’92,1
207,’96,1
208,time,2
209,especially,1
210,both,1
211,parties,1
212,ignored,1
213,showed,1
214,declining,1
215,turnout,1
216,rates,1
217,brought,1
218,back,1
219,into,1
220,coalition,1
221,without,1
222,suffering,1
223,significant,2
224,losses,1
225,among,2
226,did,2
227,underperform,1
228,compared,1
229,recent,3
230,nominees,1
231,minority,1
232,constellation,1
233,institutions,1
234,journalists,1
235,intellectuals,1
236,politicians,2
237,stand,1
238,family,1
239,values,1
240,strong,1
241,national,2
242,defense,1
243,dominated,1
244,generation,1
245,rise,1
246,suggests,1
247,offer,1
248,21st,1
249,century,1
250,america,2
251,electoral,2
252,successes,1
253,despite,1
254,because,5
255,actual,1
256,policy,4
257,accomplishments,1
258,achieved,1
259,shockingly,1
260,over,3
261,last,3
262,decades,2
263,welfare,1
264,reform,1
265,signed,1
266,bill,1
267,clinton,1
268,victory,2
269,george,1
270,w,1
271,bush,1
272,gave,1
273,body,1
274,bags,1
275,ballooning,1
276,deficits,1
277,housing,1
278,crash,1
279,tea,2
280,accomplished,1
281,nothing,1
282,minor,1
283,obstruction,1
284,issues,1
285,lost,1
286,court,2
287,public,1
288,opinion,2
289,gay,1
290,marriage,1
291,losing,1
292,supreme,1
293,united,1
294,states,1
295,more,1
296,secular,1
297,ever,1
298,great,1
299,keeping,1
300,other,3
301,varieties,1
302,right,3
303,wing,3
304,thought,1
305,entering,1
306,discourse,1
307,thereby,1
308,establishing,1
309,itself,1
310,only,1
311,alternative,1
312,egalitarian,1
313,liberalism,1
314,cases,1
315,country,1
316,better,2
317,off,1
318,so,1
319,list,2
320,vanquished,1
321,marginalized,1
322,opponents,1
323,includes,2
324,example,1
325,john,1
326,birch,1
327,society,1
328,whose,1
329,robert,1
330,welch,1
331,seen,1
332,paranoid,1
333,lunatic,1
334,refused,1
335,associate,1
336,ayn,1
337,rand,1
338,her,1
339,anti,1
340,christian,1
341,objectivist,1
342,eventually,1
343,broke,1
344,ties,1
345,isolationist,1
346,paleoconservatives,1
347,actively,1
348,worked,1
349,david,1
350,duke,1
351,tried,1
352,sideline,1
353,well,1
354,first,1
355,thanks,1
356,part,1
357,growing,1
358,irrelevance,1
359,media,2
360,like,2
361,review,1
362,small,1
363,number,1
364,elites,1
365,no,2
366,longer,1
367,able,1
368,define,1
369,boundaries,1
370,acceptable,1
371,keep,1
372,tendencies,1
373,view,1
374,proliferation,1
375,websites,2
376,any,1
377,ideas,1
378,can,1
379,found,1
380,interested,1
381,readers,1
382,conspiracist,1
383,breitbart,1
384,newsmax,1
385,larger,1
386,audiences,1
387,leading,1
388,journals,1
389,erudite,1
390,commentary,1
391,what,2
392,ordinary,1
393,see,1
