,term,count
0,beijing,10
1,president,3
2,trump,16
3,and,14
4,the,49
5,chinese,7
6,xi,3
7,jinping,1
8,are,2
9,in,13
10,a,22
11,bind,1
12,mr,13
13,’s,16
14,slogan,1
15,is,9
16,to,26
17,make,3
18,america,5
19,great,2
20,again,1
21,while,4
22,motto,1
23,rejuvenation,1
24,of,22
25,nation,1
26,phrases,1
27,have,2
28,same,1
29,meaning,1
30,each,1
31,leader,4
32,suggests,1
33,his,3
34,country,3
35,has,4
36,declined,1
37,claims,1
38,that,5
39,he,1
40,will,6
41,restore,1
42,it,5
43,top,1
44,position,3
45,world,5
46,but,4
47,triumph,1
48,built,1
49,on,3
50,failure,1
51,other,3
52,sum,1
53,game,1
54,move,1
55,monday,1
56,abandon,1
57,trans,2
58,pacific,2
59,partnership,2
60,an,5
61,obama,1
62,administration,3
63,trade,11
64,proposal,1
65,meant,1
66,strengthen,2
67,economic,3
68,power,2
69,at,3
70,china,18
71,expense,1
72,leaves,1
73,little,1
74,doubt,1
75,follow,1
76,through,1
77,with,12
78,campaign,1
79,promises,1
80,upend,1
81,american,3
82,policies,1
83,including,2
84,those,1
85,toward,3
86,taken,1
87,postelection,1
88,telephone,1
89,chat,1
90,taiwan,4
91,tsai,1
92,ing,1
93,wen,1
94,major,1
95,break,1
96,diplomatic,2
97,protocol,1
98,we,1
99,can,1
100,expect,1
101,jolt,1
102,united,6
103,states,6
104,relations,3
105,war,4
106,military,4
107,skirmishes,1
108,south,2
109,sea,1
110,or,2
111,strait,2
112,crises,1
113,could,4
114,cause,1
115,hiccup,1
116,rise,1
117,era,1
118,offer,2
119,plenty,1
120,opportunities,1
121,for,6
122,chance,2
123,become,2
124,full,1
125,fledged,1
126,superpower,1
127,if,3
128,responds,1
129,presidency,2
130,by,3
131,opening,1
132,up,1
133,more,3
134,economically,1
135,politically,1
136,been,1
137,biggest,1
138,beneficiaries,1
139,globalization,2
140,which,1
141,helped,1
142,bring,1
143,hundreds,1
144,millions,1
145,people,1
146,out,2
147,poverty,1
148,past,1
149,decades,1
150,as,8
151,much,1
152,would,4
153,like,1
154,freeze,1
155,forces,1
156,free,3
157,keep,1
158,globalizing,1
159,scrapping,1
160,its,7
161,east,3
162,asia,2
163,bolstering,1
164,regional,1
165,party,1
166,agreement,2
167,southeast,1
168,asian,2
169,nations,1
170,should,6
171,encourage,1
172,korea,1
173,australia,1
174,join,1
175,pact,1
176,japan,1
177,reluctant,1
178,part,1
179,group,1
180,includes,1
181,so,3
182,leave,1
183,tokyo,1
184,behind,1
185,leadership,3
186,also,2
187,end,1
188,long,1
189,held,1
190,policy,5
191,avoiding,1
192,formal,2
193,alliances,3
194,signals,1
195,may,2
196,ignore,1
197,treat,1
198,independent,1
199,potentially,1
200,upending,1
201,bedrock,1
202,since,1
203,establish,1
204,many,1
205,neighbors,2
206,possible,1
207,called,1
208,strategic,1
209,partnerships,1
210,most,1
211,only,1
212,pakistan,1
213,traditional,1
214,ally,1
215,were,1
216,form,1
217,meaningful,1
218,bilateral,2
219,pacts,1
220,cambodia,1
221,thailand,1
222,malaysia,1
223,especially,1
224,philippines,1
225,difficulty,1
226,joining,1
227,potential,1
228,very,1
229,real,1
230,possibility,1
231,given,2
232,threats,2
233,status,1
234,quo,1
235,raft,1
236,new,1
237,help,1
238,take,2
239,region,1
240,safer,1
241,antidemocratic,1
242,tendencies,1
243,domestic,2
244,arena,1
245,along,1
246,build,1
247,wall,1
248,across,1
249,border,1
250,mexico,1
251,another,1
252,opportunity,1
253,immigration,1
254,illiberal,1
255,turn,1
256,drive,1
257,talented,1
258,americans,1
259,seek,1
260,careers,1
261,abroad,1
262,skilled,1
263,workers,1
264,over,1
265,start,1
266,looking,1
267,somewhere,1
268,than,1
269,better,1
270,life,1
271,adopting,1
272,open,1
273,immigrants,2
274,creation,1
275,path,1
276,citizenship,1
277,some,1
278,categories,1
279,expand,1
280,economy,1
281,improving,1
282,moral,1
283,standing,1
284,globally,1
285,doing,1
286,greatly,1
287,reduce,2
288,soft,1
289,advantage,1
290,front,1
291,between,2
292,seems,1
293,likely,1
294,under,2
295,still,2
296,be,2
297,considering,1
298,ways,1
299,surplus,1
300,avoid,1
301,battle,1
302,meanwhile,1
303,bought,1
304,fewer,1
305,bonds,1
306,find,1
307,harder,1
308,pay,1
309,plans,1
310,rebuild,1
311,infrastructure,1
312,there,1
313,signs,1
314,already,1
315,stepping,1
316,fill,1
317,void,1
318,developing,1
319,last,1
320,week,1
321,spoke,1
322,forum,1
323,davos,1
324,switzerland,1
325,recommitting,1
326,poised,1
327,leading,1
328,role,1
329,environmental,1
330,hostility,1
331,climate,1
332,agreements,1
333,inevitably,1
334,deteriorate,1
335,helm,1
336,nuclear,1
337,deterrent,1
338,prevent,1
339,all,1
340,confrontation,1
341,core,1
342,these,1
343,giants’,1
344,relationship,1
345,foreseeable,1
346,future,1
