,term,count
0,the,62
1,philosopher,2
2,peter,2
3,singer,7
4,was,9
5,once,1
6,attacked,1
7,for,14
8,contradicting,2
9,himself,1
10,advanced,1
11,an,7
12,ethical,2
13,theory,9
14,in,18
15,which,5
16,most,1
17,worthwhile,1
18,thing,4
19,complex,1
20,conscious,1
21,life,4
22,and,43
23,feeling,1
24,did,5
25,not,7
26,shy,1
27,away,1
28,from,6
29,logical,1
30,consequence,1
31,that,28
32,of,34
33,a,55
34,severely,1
35,mentally,1
36,impaired,1
37,human,5
38,worth,4
39,less,3
40,than,5
41,chicken,12
42,journalists,2
43,then,1
44,discovered,1
45,’s,13
46,mother,14
47,had,2
48,alzheimer,3
49,he,11
50,chose,1
51,to,39
52,spend,2
53,his,3
54,money,2
55,taking,1
56,care,2
57,her,8
58,rather,1
59,helping,1
60,chickens,5
61,they,8
62,called,1
63,hypocrite,1
64,new,1
65,republic,1
66,even,3
67,ran,1
68,cover,1
69,with,24
70,picture,1
71,addled,1
72,old,1
73,woman,2
74,walker,1
75,headline,1
76,other,3
77,people,11
78,mothers,5
79,so,6
80,how,7
81,bad,3
82,is,20
83,yourself,1
84,philosophy,1
85,since,1
86,socrates,1
87,troll,1
88,before,2
89,there,2
90,ever,1
91,internet,1
92,answer,1
93,has,4
94,been,3
95,very,1
96,if,10
97,you,14
98,find,2
99,believe,5
100,inconsistent,3
101,propositions,1
102,need,2
103,do,19
104,something,4
105,about,9
106,it,21
107,owe,1
108,but,14
109,theories,3
110,themselves,3
111,tend,1
112,be,12
113,confusing,1
114,unsatisfactory,1
115,or,9
116,both,6
117,case,1
118,above,2
119,example,2
120,could,6
121,try,3
122,some,5
123,feature,1
124,dementia,5
125,shared,1
126,we,25
127,are,15
128,caring,1
129,let,2
130,say,4
131,will,7
132,smith,3
133,possess,1
134,beaklessness,1
135,beakless,2
136,have,13
137,beaks,1
138,now,2
139,why,4
140,deserve,1
141,except,1
142,obviously,3
143,your,1
144,might,1
145,popular,1
146,conceptual,1
147,artist,1
148,who,2
149,getting,2
150,surgically,1
151,gave,1
152,herself,1
153,beak,1
154,would,1
155,put,3
156,same,4
157,category,1
158,as,16
159,argue,1
160,more,3
161,because,5
162,she,2
163,physical,5
164,continuation,1
165,loved,1
166,wo,2
167,n’t,13
168,hold,1
169,day,2
170,body,1
171,skeleton,3
172,want,1
173,invite,1
174,mom,4
175,dinner,3
176,these,2
177,pretty,1
178,silly,1
179,can,6
180,better,6
181,i,14
182,bring,1
183,them,7
184,up,9
185,make,3
186,point,1
187,inherent,1
188,difficulty,1
189,tool,1
190,part,2
191,reason,1
192,this,2
193,puzzle,1
194,hard,3
195,runs,1
196,against,2
197,contradictory,1
198,beliefs,1
199,beings,1
200,humans,6
201,meaningful,3
202,things,6
203,sense,1
204,causes,3
205,like,5
206,anything,1
207,else,1
208,meaningless,1
209,forest,1
210,fires,1
211,philosophers,1
212,descartes,3
213,kant,4
214,donald,1
215,davidson,3
216,noticed,1
217,inconsistency,1
218,tried,1
219,come,3
220,sources,2
221,meaning,2
222,subject,1
223,causation,1
224,thought,4
225,were,4
226,just,4
227,different,1
228,mysterious,2
229,way,5
230,yoked,1
231,together,2
232,stapled,1
233,rhinoceros,1
234,shark,1
235,aspects,1
236,phenomenal,3
237,placed,1
238,us,11
239,net,1
240,noumenal,4
241,revealed,1
242,free,1
243,argued,1
244,world,2
245,neither,1
246,mental,4
247,nor,1
248,receive,1
249,descriptions,3
250,understood,1
251,differently,1
252,depending,1
253,upon,1
254,description,2
255,used,3
256,worry,1
257,all,3
258,solve,3
259,contradiction,6
260,machine,1
261,man,4
262,versus,1
263,at,9
264,cost,1
265,raising,1
266,questions,1
267,feel,1
268,asking,1
269,those,1
270,substances,1
271,go,1
272,self,3
273,should,3
274,event,1
275,upsettingly,1
276,seem,1
277,help,2
278,resolve,2
279,beats,2
280,lose,2
281,cartesian,1
282,thinking,2
283,substance,2
284,when,8
285,plaques,1
286,brain,1
287,got,1
288,too,1
289,plaquey,1
290,take,1
291,off,1
292,heaven,1
293,leave,1
294,minding,1
295,store,1
296,stop,1
297,falling,1
298,under,1
299,become,1
300,eligible,1
301,only,2
302,cross,1
303,road,1
304,land,2
305,started,1
306,found,1
307,behind,2
308,metaphysical,1
309,ii,1
310,lurks,1
311,deeper,1
312,really,1
313,namely,1
314,best,2
315,responded,2
316,love,1
317,respect,1
318,by,7
319,understanding,1
320,their,2
321,manipulating,1
322,meet,1
323,our,12
324,goals,1
325,cynic,1
326,live,3
327,culture,3
328,teach,1
329,children,1
330,asked,2
331,always,3
332,act,1
333,end,5
334,rest,1
335,lives,3
336,causal,1
337,relationships,1
338,must,1
339,manipulate,1
