,term,count
0,joyce,1
1,denke,4
2,was,19
3,years,2
4,old,2
5,when,4
6,her,13
7,fiancé,1
8,cpl,1
9,david,1
10,ives,3
11,received,1
12,his,5
13,orders,1
14,for,16
15,vietnam,22
16,it,10
17,early,2
18,and,52
19,he,5
20,had,10
21,only,1
22,months,2
23,left,1
24,in,43
25,the,89
26,service,2
27,young,2
28,couple,1
29,who,11
30,lived,1
31,temple,1
32,tex,1
33,just,2
34,south,2
35,of,41
36,waco,1
37,decided,1
38,not,7
39,to,52
40,let,1
41,war,19
42,dampen,1
43,their,13
44,excitement,1
45,about,6
46,future,1
47,life,3
48,together,2
49,they,16
50,started,1
51,making,1
52,plans,1
53,get,1
54,married,1
55,came,1
56,home,4
57,november,1
58,after,6
59,weeks,1
60,killed,2
61,action,2
62,on,6
63,april,2
64,at,8
65,age,1
66,ms,6
67,still,3
68,has,2
69,last,2
70,letter,1
71,wrote,1
72,dated,1
73,signed,1
74,my,1
75,very,1
76,deepest,1
77,love,1
78,dave,1
79,’s,8
80,death,3
81,inspired,1
82,join,1
83,american,4
84,red,7
85,cross,7
86,go,3
87,she,27
88,wanted,3
89,do,3
90,something,1
91,honor,1
92,so,6
93,deployed,2
94,with,14
95,as,5
96,part,1
97,its,2
98,supplemental,1
99,recreational,1
100,activities,1
101,overseas,2
102,program,3
103,several,1
104,ways,1
105,women,19
106,participated,1
107,story,2
108,is,3
109,a,27
110,tale,1
111,combat,9
112,walking,1
113,point,1
114,ambushes,1
115,booby,1
116,traps,1
117,seeing,1
118,friends,3
119,die,1
120,narrowly,1
121,escaping,1
122,too,2
123,often,3
124,though,2
125,our,1
126,idea,1
127,male,1
128,centered,1
129,we,2
130,think,1
131,men,8
132,firing,1
133,weapons,1
134,flying,1
135,planes,1
136,taking,1
137,casualties,1
138,forget,1
139,that,11
140,thousands,2
141,also,1
142,played,2
143,central,2
144,role,1
145,advertisement,2
146,military,5
147,nurses,10
148,army,6
149,corps,4
150,personnel,2
151,civilians,2
152,served,8
153,regularly,1
154,saw,1
155,consequences,2
156,some,6
157,degree,1
158,srao,3
159,like,3
160,dealing,1
161,job,4
162,treated,1
163,soldiers’,1
164,physical,2
165,wounds,5
166,worked,4
167,boost,1
168,morale,2
169,troops,5
170,tending,1
171,emotional,3
172,were,10
173,subject,1
174,era,2
175,draft,1
176,but,8
177,volunteered,2
178,offered,2
179,an,6
180,opportunity,1
181,travel,1
182,postpone,1
183,marriage,1
184,motherhood,1
185,expected,2
186,roles,1
187,1960s,1
188,because,6
189,support,2
190,effort,1
191,or,4
192,see,2
193,themselves,2
194,what,2
195,really,1
196,happening,1
197,ground,1
198,others,2
199,enlisted,2
200,college,1
201,employment,1
202,benefits,1
203,recruiters,1
204,promised,1
205,would,3
206,be,5
207,sent,3
208,teams,1
209,work,2
210,since,1
211,world,1
212,coffee,1
213,donuts,1
214,which,1
215,earned,1
216,them,3
217,nickname,1
218,donut,3
219,dollies,2
220,fearing,1
221,impact,1
222,troop,1
223,already,1
224,looking,1
225,long,2
226,defense,1
227,department,1
228,officials,1
229,asked,1
230,establish,1
231,from,5
232,through,6
233,nearly,1
234,staffed,1
235,recreation,1
236,centers,1
237,large,1
238,bases,2
239,where,2
240,servicemen,5
241,could,3
242,shoot,1
243,pool,1
244,listen,1
245,music,1
246,read,2
247,play,1
248,games,2
249,write,1
250,letters,1
251,sit,1
252,talk,1
253,traveled,2
254,usually,2
255,by,3
256,helicopter,2
257,fire,1
258,remote,1
259,areas,1
260,waited,1
261,into,1
262,battle,2
263,pairs,1
264,brought,1
265,snacks,1
266,soda,1
267,juice,1
268,pre,1
269,departure,1
270,training,2
271,session,1
272,instructors,1
273,told,1
274,meant,1
275,touch,1
276,reminder,1
277,wives,1
278,girlfriends,1
279,mothers,1
280,sisters,1
281,should,1
282,girl,1
283,next,2
284,door,2
285,cute,1
286,friendly,1
287,caring,1
288,sexual,1
289,powder,1
290,blue,1
291,dresses,1
292,projected,1
293,perky,1
294,innocence,1
295,impractical,1
296,heat,1
297,dust,1
298,mud,1
299,most,2
300,20s,1
301,few,1
302,older,1
303,than,1
304,average,1
305,man,2
306,historians,1
307,veterans,1
308,journalists,1
309,recall,1
310,year,1
311,changed,2
312,america,1
