,term,count
0,the,54
1,story,1
2,so,6
3,far,3
4,a,19
5,foreign,3
6,dictator,3
7,intervened,1
8,on,7
9,behalf,2
10,of,17
11,presidential,1
12,candidate,2
13,and,16
14,that,18
15,won,1
16,close,2
17,associates,1
18,new,1
19,president,8
20,were,3
21,in,11
22,contact,1
23,with,4
24,’s,16
25,espionage,1
26,officials,1
27,during,2
28,campaign,3
29,his,9
30,national,1
31,security,1
32,adviser,1
33,was,8
34,forced,1
35,out,1
36,over,2
37,improper,1
38,calls,2
39,to,18
40,country,2
41,ambassador,2
42,but,9
43,not,6
44,until,1
45,press,1
46,reported,1
47,it,12
48,learned,1
49,about,2
50,actions,1
51,weeks,1
52,earlier,1
53,took,2
54,no,1
55,action,1
56,meanwhile,1
57,seems,1
58,oddly,1
59,solicitous,1
60,interests,1
61,rumors,2
62,swirl,1
63,personal,1
64,financial,1
65,connections,1
66,question,1
67,is,10
68,there,7
69,anything,1
70,those,1
71,nobody,2
72,knows,1
73,part,1
74,because,1
75,refuses,1
76,release,1
77,tax,1
78,returns,1
79,maybe,2
80,nothing,3
81,wrong,1
82,here,2
83,all,2
84,perfectly,1
85,innocent,2
86,if,2
87,very,2
88,bad,1
89,indeed,1
90,what,1
91,do,2
92,republicans,9
93,congress,5
94,who,4
95,have,2
96,power,3
97,investigate,3
98,situation,2
99,believe,1
100,should,1
101,be,5
102,done,2
103,paul,2
104,ryan,1
105,speaker,1
106,house,3
107,says,1
108,michael,1
109,flynn,1
110,conversations,1
111,russian,2
112,entirely,1
113,appropriate,1
114,devin,1
115,nunes,1
116,chairman,2
117,intelligence,1
118,committee,3
119,angrily,1
120,dismissed,1
121,for,5
122,select,1
123,contacts,1
124,absolutely,1
125,going,1
126,jason,1
127,chaffetz,1
128,oversight,1
129,hounded,1
130,hillary,1
131,clinton,1
132,endlessly,1
133,benghazi,1
134,declared,1
135,has,3
136,taken,1
137,care,1
138,itself,1
139,just,2
140,other,1
141,day,1
142,hot,1
143,pursuit,1
144,potential,3
145,scandal,3
146,posed,1
147,as,3
148,ultrapatriots,1
149,now,3
150,they,1
151,’re,3
152,indifferent,1
153,actual,1
154,subversion,2
155,real,1
156,possibility,1
157,we,6
158,are,6
159,being,1
160,governed,1
161,by,2
162,people,2
163,take,1
164,their,6
165,cues,1
166,from,2
167,moscow,1
168,why,1
169,well,1
170,senator,1
171,rand,1
172,explained,1
173,’ll,1
174,never,1
175,even,3
176,get,1
177,started,1
178,doing,1
179,things,1
180,need,1
181,like,1
182,repealing,1
183,obamacare,1
184,spending,1
185,our,1
186,whole,2
187,time,1
188,having,1
189,does,2
190,anyone,1
191,doubt,1
192,he,5
193,speaking,1
194,party,3
195,point,1
196,you,1
197,ca,1
198,n’t,3
199,understand,1
200,mess,1
201,without,1
202,appreciating,1
203,corruption,2
204,unmistakable,1
205,intent,1
206,cutting,1
207,taxes,1
208,wealthy,1
209,deregulating,1
210,banks,1
211,polluters,1
212,dismantling,1
213,social,1
214,programs,1
215,accepting,1
216,apparently,1
217,small,1
218,price,1
219,pay,1
220,put,1
221,this,4
222,way,2
223,i,1
224,’ve,1
225,been,1
226,seeing,1
227,comparisons,1
228,between,3
229,emerging,1
230,information,1
231,trump,4
232,putin,3
233,connection,1
234,watergate,3
235,affair,1
236,which,1
237,brought,1
238,down,1
239,previous,1
240,while,1
241,worse,1
242,than,3
243,richard,1
244,nixon,1
245,sinister,1
246,scary,1
247,imagined,1
248,might,1
249,taking,1
250,instructions,1
251,hard,2
252,imagine,1
253,today,1
254,standing,1
255,up,1
256,constitution,1
257,predecessors,1
258,did,2
259,simply,1
260,these,1
261,days,1
262,more,1
263,moral,1
264,midgets,1
265,although,1
266,too,1
267,place,1
268,before,1
269,began,1
270,long,1
271,march,1
272,political,1
273,right,3
274,less,1
275,polarized,1
276,widespread,1
277,agreement,1
278,parties,1
279,basic,1
280,economic,1
281,ideas,1
282,fair,1
283,amount,1
284,ideological,1
285,crossover,1
286,meant,1
287,worry,1
288,much,1
289,holding,1
290,lawless,1
291,accountable,1
292,would,1
293,derail,1
294,line,1
295,agenda,1
296,polarization,1
297,electorate,1
298,also,1
299,undermines,1
300,role,1
301,check,1
302,most,1
303,safe,1
304,districts,1
305,where,1
306,main,1
307,fear,1
308,primary,1
309,challengers,1
310,republican,2
311,base,1
312,suddenly,1
313,become,1
314,remarkably,1
315,pro,1
316,funny,1
317,how,4
318,works,1
319,crisis,3
320,end,1
321,constitutional,1
322,yet,1
323,facing,1
324,clear,2
325,legitimacy,1
326,popular,1
327,vote,1
328,losing,1
329,win,1
330,already,1
331,suspect,1
332,given,1
333,fbi,2
334,last,1
335,minute,1
336,intervention,1
337,know,1
338,creating,1
339,false,1
340,appearance,1
341,around,1
342,opponent,1
343,sitting,1
344,evidence,1
345,suggesting,1
346,alarmingly,1
347,relations,1
348,mr,1
349,russia,1
350,since,1
351,inauguration,1
352,allays,1
353,fears,1
354,effect,1
355,puppet,1
356,can,2
357,leader,1
358,under,1
359,such,2
360,cloud,1
361,send,1
362,american,1
363,soldiers,1
364,die,1
365,granted,1
366,shape,1
367,supreme,1
368,court,1
369,generation,1
370,again,1
371,thorough,1
372,nonpartisan,1
373,unrestricted,1
374,investigation,2
375,could,2
376,conceivably,1
377,air,1
378,make,2
379,an,1
380,happen,1
381,dead,1
382,set,1
383,against,1
384,thing,1
385,nightmare,1
386,ended,1
387,handful,1
388,legislators,1
389,willing,1
390,common,1
391,cause,1
392,democrats,1
393,demand,1
394,truth,1
395,enough,1
396,conscience,1
397,left,1
398,gop,1
399,probably,1
400,problem,1
401,scarier,1
402,axis,1
