,term,count
0,president,4
1,trump,23
2,’s,19
3,disturbing,1
4,russian,7
5,connections,1
6,present,1
7,an,4
8,acute,1
9,danger,1
10,to,23
11,american,3
12,national,4
13,security,5
14,according,1
15,reports,1
16,this,5
17,week,1
18,mr,24
19,team,2
20,maintained,1
21,frequent,1
22,contact,1
23,with,9
24,officials,1
25,including,2
26,senior,5
27,intelligence,3
28,officers,1
29,during,2
30,the,38
31,campaign,3
32,led,2
33,concerns,3
34,about,3
35,possible,4
36,collusion,2
37,of,16
38,america,3
39,principal,1
40,strategic,1
41,adversaries,1
42,as,7
43,it,4
44,tried,1
45,influence,1
46,election,1
47,in,19
48,favor,1
49,on,9
50,monday,1
51,adviser,2
52,michael,1
53,t,1
54,flynn,2
55,was,5
56,forced,1
57,resign,1
58,after,3
59,details,1
60,his,11
61,communications,1
62,ambassador,1
63,emerged,1
64,republican,6
65,leaders,11
66,congress,2
67,now,4
68,bear,1
69,most,5
70,responsibility,1
71,for,11
72,holding,1
73,accountable,1
74,and,23
75,protecting,2
76,nation,3
77,they,14
78,ca,1
79,n’t,2
80,say,1
81,did,2
82,see,2
83,interference,1
84,coming,1
85,knew,1
86,all,2
87,along,1
88,early,2
89,congressional,3
90,visited,1
91,ukraine,4
92,returned,1
93,full,1
94,praise,1
95,its,5
96,fight,1
97,independence,1
98,spite,1
99,russia,5
100,efforts,1
101,destabilize,1
102,country,4
103,annex,1
104,some,8
105,regions,1
106,june,1
107,coincidentally,1
108,just,1
109,before,1
110,announced,1
111,nomination,2
112,met,1
113,prime,1
114,minister,1
115,washington,2
116,many,1
117,meetings,1
118,i,2
119,attended,1
120,a,9
121,aide,1
122,house,3
123,conference,1
124,presidential,1
125,race,1
126,wore,1
127,those,1
128,began,1
129,parallels,1
130,between,1
131,disinformation,1
132,operations,1
133,europe,1
134,activities,1
135,united,1
136,states,1
137,were,5
138,alarmed,1
139,by,6
140,kremlin,3
141,backed,1
142,cable,1
143,network,1
144,rt,1
145,which,2
146,running,3
147,stories,1
148,intended,1
149,judged,1
150,undermine,1
151,americans’,1
152,trust,1
153,democratic,1
154,institutions,1
155,promote,1
156,candidacy,1
157,deeply,1
158,unsettled,1
159,discussed,1
160,these,3
161,privately,2
162,several,1
163,occasions,1
164,witnessed,1
165,also,4
166,questioned,1
167,attacks,1
168,hispanics,1
169,muslims,1
170,women,1
171,people,1
172,disabilities,1
173,or,2
174,positions,1
175,entitlement,1
176,reform,1
177,discretionary,1
178,spending,1
179,others,2
180,unnerved,1
181,volatile,1
182,temperament,1
183,egoism,1
184,authoritarian,1
185,tendencies,1
186,public,3
187,occasionally,1
188,offered,1
189,light,1
190,criticism,1
191,objectionable,1
192,comments,2
193,but,2
194,mostly,1
195,remained,1
196,silent,1
197,fear,1
198,antagonizing,1
199,supporters,2
200,campaigned,1
