,term,count
0,for,13
1,years,2
2,i,9
3,was,9
4,responsible,1
5,president,18
6,obama,7
7,’s,14
8,monologue,2
9,at,7
10,the,65
11,white,3
12,house,3
13,correspondents’,8
14,association,1
15,dinner,10
16,during,1
17,those,2
18,a,29
19,growing,1
20,number,1
21,of,27
22,critics,2
23,argued,1
24,that,14
25,with,4
26,its,3
27,celebrity,1
28,guests,1
29,and,11
30,expanding,1
31,galaxy,1
32,pre,1
33,after,4
34,parties,1
35,had,1
36,jumped,1
37,shark,1
38,now,2
39,no,3
40,longer,1
41,write,1
42,jokes,2
43,’m,1
44,free,3
45,to,28
46,admit,1
47,have,4
48,point,1
49,has,1
50,become,1
51,in,20
52,word,1
53,gross,1
54,competition,1
55,see,1
56,which,2
57,news,3
58,outlets,1
59,can,3
60,score,1
61,biggest,1
62,stars,1
63,government,1
64,officials,1
65,walking,1
66,red,1
67,carpet,1
68,lengths,2
69,some,1
70,people,1
71,will,2
72,go,2
73,heck,1
74,discovered,1
75,willing,2
76,be,4
77,invited,1
78,morning,2
79,brunch,1
80,given,1
81,all,6
82,this,5
83,you,1
84,might,1
85,think,1
86,delighted,1
87,hear,1
88,trump,2
89,decision,2
90,announced,1
91,on,7
92,saturday,1
93,turn,1
94,down,2
95,annual,1
96,invite,1
97,good,2
98,riddance,1
99,it,10
100,about,4
101,time,5
102,fact,1
103,however,2
104,just,4
105,opposite,1
106,skip,1
107,year,3
108,event,1
109,is,8
110,reminder,1
111,excesses,1
112,still,3
113,matters,1
114,most,5
115,important,1
116,part,2
117,my,1
118,job,1
119,as,5
120,joke,4
121,writer,1
122,leader,1
123,world,3
124,also,2
125,least,3
126,glamorous,1
127,self,2
128,deprecation,1
129,not,5
130,perfect,1
131,admitted,1
132,then,1
133,candidate,1
134,barack,1
135,he,11
136,imperfections,1
137,from,1
138,his,7
139,sliding,1
140,poll,1
141,numbers,1
142,reputation,1
143,acting,1
144,professorial,1
145,rapid,1
146,aging,1
147,even,1
148,funny,1
149,commander,3
150,chief,6
151,once,1
152,remarked,1
153,we,7
154,suggested,1
155,would,3
156,resemble,1
157,morgan,1
158,freeman,1
159,by,4
160,end,2
161,second,1
162,term,1
163,used,1
164,anyway,1
165,because,2
166,understood,2
167,there,4
168,reason,1
169,deprecating,1
170,humor,1
171,correspondents’dinner,2
172,staple,1
173,let,2
