,term,count
0,this,4
1,article,3
2,is,6
3,part,1
4,of,16
5,the,38
6,opinion,1
7,today,2
8,newsletter,1
9,you,5
10,can,1
11,sign,1
12,up,3
13,here,1
14,to,21
15,receive,1
16,more,1
17,briefings,1
18,and,11
19,a,8
20,guide,1
21,section,1
22,daily,1
23,in,4
24,your,1
25,inbox,1
26,it,8
27,’s,7
28,summer,1
29,president,4
30,obama,4
31,delivering,1
32,surprise,1
33,address,1
34,from,1
35,stately,1
36,east,1
37,room,1
38,same,1
39,place,1
40,where,1
41,he,6
42,announced,1
43,death,1
44,osama,1
45,bin,1
46,laden,1
47,among,1
48,other,1
49,events,1
50,i,2
51,’m,1
52,speaking,1
53,tonight,1
54,inform,1
55,that,5
56,united,2
57,states,2
58,under,1
59,attack,3
60,says,1
61,russian,1
62,government,1
63,at,1
64,highest,1
65,levels,1
66,trying,1
67,influence,2
68,our,2
69,most,1
70,precious,1
71,asset,1
72,democracy,1
73,russia,5
74,had,3
75,hacked,1
76,into,1
77,computers,1
78,democratic,2
79,national,2
80,committee,1
81,was,5
82,releasing,1
83,contents,1
84,its,1
85,cyber,1
86,theft,2
87,an,3
88,attempt,1
89,election,2
90,explained,1
91,careful,1
92,present,1
93,behavior,1
94,trump,3
95,campaign,3
96,itself,1
97,best,1
98,light,1
99,say,1
100,deserved,1
101,every,1
102,benefit,1
103,doubt,1
104,but,2
105,wanted,4
106,american,1
107,people,1
108,sit,1
109,take,1
110,notice,2
111,them,1
112,understand,1
113,why,1
114,drip,3
115,wikileaks,2
116,happening,1
117,call,1
118,out,1
119,media,1
120,for,1
121,breathlessly,1
122,reporting,2
123,on,4
124,as,4
125,if,3
126,were,1
127,product,1
128,great,1
129,investigative,1
130,rather,1
131,than,1
132,by,3
133,hostile,1
134,foreign,1
135,country,2
136,put,1
137,very,2
138,public,1
139,none,1
140,happened,1
141,course,1
142,piece,1
143,alternate,1
144,history,1
145,dreamed,1
146,top,1
147,adviser,1
148,hillary,1
149,clinton,1
150,described,1
151,briefly,1
152,excellent,1
153,new,1
154,yorker,1
155,week,1
156,tells,1
157,story,2
158,against,1
159,—under,1
160,all,1
161,star,1
162,triple,1
163,byline,1
164,evan,1
165,osnos,1
166,david,1
167,remnick,1
168,joshua,1
169,yaffa,1
170,recommend,1
171,set,1
172,aside,1
173,time,1
174,read,2
175,lamenting,1
176,administration,3
177,low,1
178,key,1
179,passive,1
180,response,1
181,obviously,1
182,depends,1
183,hindsight,1
184,reason,1
185,play,1
186,safe,1
187,rightly,1
188,worried,1
189,about,1
190,politicizing,1
191,security,1
192,using,1
193,his,1
194,power,1
195,hurt,1
196,republican,1
197,nominee,1
198,seems,1
199,likely,1
200,would,1
201,have,2
202,nonetheless,1
203,chosen,1
204,different,1
205,route,1
206,realized,1
207,serious,1
208,threat,1
209,win,1
210,there,1
211,also,1
212,lesson,1
213,remains,1
214,relevant,1
215,still,2
216,not,1
217,taking,1
218,actions,1
219,nearly,1
220,seriously,1
221,enough,1
222,tom,1
223,friedman,1
224,has,1
225,written,1
226,nov,1
227,deserves,1
228,join,1
229,sept,1
230,dec,1
231,infamous,1
232,dates,1
233,attacks,1
234,america,1
235,we,1
236,need,1
237,learn,1
238,full,1
239,through,1
240,investigations,1
241,fbi,1
242,congress,1
243,especially,1
244,now,1
245,independent,1
246,prosecutor,1
247,n’t,1
248,already,1
249,latest,1
250,news,1
251,morning,1
252,be,1
253,sure,1
254,do,1
255,so,1
