,term,count
0,we,3
1,have,7
2,now,3
3,passed,1
4,the,46
5,mark,1
6,of,25
7,donald,1
8,trump,23
9,administration,1
10,and,24
11,thing,1
12,is,15
13,clear,1
14,there,3
15,no,4
16,new,3
17,only,4
18,same,1
19,old,3
20,dangerous,1
21,unpredictable,1
22,gauche,1
23,greedy,1
24,temperamentally,1
25,unsuited,1
26,emotionally,1
27,unsound,1
28,if,1
29,you,1
30,were,1
31,trying,1
32,to,25
33,create,1
34,in,22
35,a,23
36,lab,1
37,person,1
38,with,3
39,character,1
40,traits,1
41,more,6
42,unbecoming,1
43,president,6
44,it,6
45,would,3
46,be,5
47,hard,1
48,outdo,1
49,one,1
50,he,10
51,continues,1
52,explosive,2
53,twitter,1
54,episodes,1
55,presumably,1
56,response,1
57,some,3
58,news,1
59,finds,1
60,unflattering,1
61,or,4
62,conspiracy,1
63,floated,1
64,by,3
65,fringe,1
66,outlets,2
67,that,9
68,make,1
69,him,1
70,look,1
71,not,5
72,foolish,1
73,but,2
74,unhinged,1
75,indeed,2
76,usa,1
77,today,1
78,suffolk,1
79,university,1
80,poll,1
81,published,1
82,last,2
83,week,1
84,found,1
85,those,1
86,surveyed,1
87,disapprove,1
88,’s,13
89,temperament,1
90,much,4
91,negative,1
92,rating,1
93,than,4
94,gets,1
95,for,2
96,his,11
97,policy,2
98,positions,1
99,including,1
100,percent,1
101,republicans,2
102,complain,1
103,tweets,1
104,too,1
105,these,3
106,fits,1
107,rage,1
108,generates,1
109,lie,1
110,repeats,1
111,which,2
112,shifts,2
113,burden,1
114,proof,1
115,legitimate,1
116,media,2
117,swat,1
118,down,1
119,defend,1
120,truth,2
121,this,6
122,exercise,1
123,already,1
124,getting,1
125,assaults,1
126,on,7
127,are,2
128,benign,1
129,presidential,1
130,credibility,2
131,american,2
132,way,1
133,burn,1
134,through,4
135,without,1
136,burning,2
137,other,1
138,when,1
139,making,1
140,charges,1
141,taking,1
142,destructive,2
143,actions,3
144,has,4
145,signed,2
146,slew,1
147,executive,3
148,demonstrate,1
149,power,1
150,signal,1
151,administrative,2
152,direction,1
153,as,13
154,business,1
155,insider,1
156,pointed,3
157,out,4
158,march,1
159,45th,1
160,so,1
161,far,2
162,reaching,1
163,effects,1
164,americans’,1
165,lives,2
166,included,1
167,orders,1
168,days,1
169,addition,1
170,federal,1
171,agencies,1
172,republican,1
173,controlled,1
174,congress,1
175,delayed,1
176,suspended,1
177,reversed,1
178,regulations,1
179,short,1
180,time,2
181,since,2
182,took,2
183,office,3
184,according,1
185,tally,1
186,york,2
187,times,2
188,report,1
189,continued,1
190,emerging,1
191,effort,2
192,dozens,1
193,rules,1
194,could,2
195,eliminated,1
196,coming,1
197,weeks,2
198,most,1
199,significant,1
200,regulatory,1
201,recent,1
202,decades,1
203,leading,1
204,edge,1
205,what,3
206,stephen,1
207,k,1
208,bannon,2
209,mr,1
210,chief,2
211,strategist,1
212,described,1
213,late,1
214,month,2
215,deconstruction,2
216,state’,1
217,congressional,2
218,locked,1
219,arms,1
220,an,1
221,ram,1
222,disastrous,1
223,obamacare,1
224,repeal,1
225,replace,1
226,plan,2
227,attempting,1
228,cast,1
229,doubt,1
230,nonpartisan,1
231,budget,1
232,process,1
233,promises,1
234,boon,1
235,insurers,1
236,rich,1
237,bane,1
238,poor,1
239,elderly,1
240,trumpcare,1
241,likely,1
242,expensive,1
243,cover,1
244,fewer,1
245,people,2
246,currently,1
247,need,1
248,care,1
249,extend,1
250,their,1
251,longer,1
252,get,1
253,put,1
254,quite,1
255,simply,2
256,bad,1
257,deadly,1
258,add,1
259,policies,1
260,fact,1
261,family,1
262,taxpayer,1
263,funds,1
264,like,1
265,monopoly,1
266,money,2
267,hill,1
268,reported,1
269,saturday,2
270,paid,1
271,visit,2
272,golf,2
273,courses,1
274,again,1
275,marking,1
276,apparently,1
277,ninth,1
278,course,1
279,site,1
280,made,1
281,several,1
282,weekend,1
283,trips,1
284,mar,1
285,lago,1
286,estate,1
287,palm,1
288,beach,1
289,fla,1
290,well,1
291,calling,1
292,property,1
293,‘,1
294,winter,1
295,white,1
296,house’,1
297,february,1
298,numerous,1
299,was,2
300,spending,2
301,travel,2
302,nearly,1
303,obamas,2
304,spent,2
305,year,1
306,does,1
307,n’t,1
308,even,1
309,include,1
310,security,1
311,costs,1
312,children,1
313,cost,2
314,wife,1
315,son,1
316,remaining,1
317,tower,1
318,at,1
319,least,1
320,estimated,1
321,taxpayers,2
322,hundreds,1
323,dollars,2
324,day,1
325,particularly,1
326,jarring,1
327,because,1
328,had,1
329,been,2
330,critic,1
331,amount,1
332,vacations,1
333,tweeted,1
334,barackobama,1
335,vacation,1
336,costing,1
337,millions,1
338,unbelievable,2
339,staggering,1
340,nature,1
341,hypocrisy,1
342,current,1
343,near,1
344,silence,1
345,obama,1
346,conservative,1
347,critics,1
348,appears,1
349,view,1
350,treasury,1
351,personal,2
352,piggy,1
353,bank,1
354,presidency,2
355,part,1
356,job,1
357,i,1
358,think,1
359,any,1
360,who,4
361,holding,1
362,hope,2
363,will,4
364,eventually,1
365,change,1
366,into,1
367,someone,1
368,polished,1
369,professional,1
370,amenable,1
371,man,2
372,come,1
373,know,1
374,must,1
375,abandon,1
376,lived,1
377,entire,1
378,life,1
379,vile,1
380,dishonest,1
381,incurious,1
382,creature,1
383,got,1
384,elected,2
385,election,1
386,validated,1
387,impulses,1
388,rather,1
389,served,1
390,curb,1
391,them,1
392,continue,3
393,debase,1
394,devalue,1
395,lies,1
396,follow,1
397,philosophy,1
398,internal,1
399,our,1
400,government,1
401,its,2
402,principles,1
403,institutions,1
404,leech,1
405,financial,1
406,advantage,1
407,can,1
408,from,1
409,flesh,1
410,public,1
411,america,1
412,parasite,1
