,term,count
0,my,10
1,grandparents,1
2,were,2
3,nazis,2
4,it,7
5,took,2
6,me,4
7,until,2
8,recently,1
9,to,26
10,be,4
11,able,1
12,say,1
13,or,5
14,write,1
15,this,5
16,i,14
17,used,1
18,think,2
19,of,28
20,and,31
21,refer,1
22,them,2
23,as,5
24,ordinary,2
25,germans,4
26,if,3
27,that,8
28,was,15
29,a,18
30,distinct,1
31,morally,1
32,neutral,1
33,category,1
34,but,8
35,like,5
36,many,3
37,they,3
38,members,2
39,the,38
40,nazi,4
41,party,2
42,joined,3
43,in,15
44,grandmother,9
45,who,3
46,lived,4
47,almost,1
48,not,6
49,knew,4
50,her,14
51,xenophobic,1
52,anti,2
53,semitic,1
54,she,21
55,did,10
56,seem,1
57,temperamentally,1
58,suited,1
59,hate,1
60,understanding,2
61,why,2
62,how,2
63,woman,1
64,loved,1
65,swept,1
66,up,6
67,movement,1
68,became,1
69,synonymous,1
70,with,8
71,evil,1
72,has,1
73,been,3
74,for,5
75,lifelong,1
76,question,1
77,grandfather,1
78,grew,2
79,working,1
80,class,1
81,suburb,1
82,industrial,1
83,dortmund,1
84,where,3
85,unemployment,1
86,rife,1
87,had,4
88,occupied,1
89,by,5
90,french,1
91,after,1
92,world,1
93,war,3
94,youth,1
95,leaders,1
96,an,5
97,agricultural,2
98,education,1
99,program,2
100,called,1
101,landjahr,3
102,year,1
103,on,6
104,land,1
105,which,3
106,teenagers,1
107,got,1
108,training,1
109,always,1
110,maintained,2
111,idealist,1
112,drawn,1
113,vision,2
114,rebuilding,1
115,germany,3
116,returning,2
117,simpler,1
118,time,1
119,perversely,1
120,promoting,1
121,equality,1
122,sons,2
123,daughters,2
124,factory,1
125,workers,1
126,would,6
127,live,1
128,work,1
129,side,2
130,aristocrats,1
131,wealthy,1
132,industrialists,1
133,liked,1
134,idea,1
135,traditional,1
136,german,3
137,life,2
138,away,2
139,from,3
140,confusing,1
141,push,1
142,pull,1
143,global,1
144,economy,1
145,through,1
146,research,1
147,understand,3
148,part,3
149,hitler,8
150,’s,7
151,larger,1
152,blut,1
153,und,1
154,boden,1
155,blood,1
156,soil,1
157,making,2
158,racially,2
159,pure,2
160,agrarian,1
161,society,1
162,something,3
163,ever,2
164,mentioned,1
165,we,2
166,n’t,10
167,know,2
168,kind,1
169,mantra,1
170,long,1
171,walks,1
172,when,3
173,visited,1
174,at,5
175,farm,1
176,far,1
177,you,6
178,hear,3
179,what,6
180,saying,1
181,ask,1
182,grappling,1
183,moral,1
184,paradox,1
185,loving,2
186,shrug,1
187,answer,2
188,he,1
189,said,2
190,lot,1
191,things,1
192,listen,2
193,all,1
194,see,4
195,jews,3
196,being,2
197,rounded,1
198,taken,1
199,minimum,1
200,harassed,1
201,police,1
202,no,1
203,countryside,1
204,anyway,1
205,focused,1
206,own,2
207,problems,1
208,ends,1
209,meet,1
210,once,1
211,began,1
212,protecting,1
213,children,1
214,insistence,1
215,ignorance,1
216,excuse,1
217,still,1
218,do,2
219,accept,1
220,is,6
221,impossible,1
222,have,2
223,known,1
224,virulent,1
225,semitism,1
226,nazis’,1
227,objective,1
228,ousting,1
229,whom,1
230,falsely,1
231,successfully,1
232,linked,1
233,bolshevik,1
234,terrorist,1
235,threat,1
236,follow,1
237,plan,1
238,its,1
239,horrific,1
240,unimaginable,1
241,end,1
242,late,1
243,1930s,1
244,there,2
245,talk,2
246,sending,1
247,madagascar,1
248,settlements,1
249,east,1
250,even,1
251,believed,2
252,appalled,1
253,injustice,1
254,dangerous,1
255,stripping,1
256,rights,1
257,are,2
258,words,1
259,knowing,2
260,wissen,1
261,associated,1
262,wisdom,1
263,learning,1
264,kennen,1
265,acquainted,2
266,acquaintance,1
267,definition,1
268,surface,1
269,susceptible,1
270,manipulation,1
271,much,1
272,easier,1
273,only,2
274,whole,1
275,especially,1
276,other,1
277,half,1
278,appealing,1
279,brought,1
280,back,1
281,jobs,1
282,opportunity,1
283,restored,1
284,national,1
285,pride,1
286,told,1
287,seductive,1
288,simplifying,1
289,lies,1
290,beginning,1
291,instance,1
292,against,1
293,poland,1
294,begun,1
295,self,1
296,defense,1
297,operatives,1
298,donned,1
299,polish,1
300,army,1
301,uniforms,1
302,staged,1
303,takeover,1
304,radio,1
305,station,1
306,gleiwitz,1
307,then,1
308,held,1
309,act,1
310,provocation,1
311,poles,1
312,started,1
313,hearing,1
314,rumors,1
315,about,2
316,concentration,1
317,camps,1
318,press,1
319,foreign,1
320,news,1
321,reports,1
322,allied,1
323,propaganda,1
324,trusted,1
325,him,1
326,trust,1
327,apparently,1
328,relieved,1
329,need,1
330,square,1
331,death,1
332,person,1
333,often,1
334,worried,1
335,attempt,2
336,choices,1
337,made,1
338,make,1
339,might,1
340,confused,1
341,justify,1
342,forgive,1
343,way,1
344,confront,1
345,past,1
346,take,1
347,responsibility,1
348,heard,1
349,wanted,1
350,leader,1
351,promised,1
352,simple,1
353,answers,2
354,complicated,1
355,questions,1
356,chose,1
357,monstrous,1
358,sum,1
359,those,1
360,added,1
361,rest,1
362,knowledge,1
363,indefensible,1
364,complicity,1
365,willingness,1
366,subject,1
367,few,1
368,generation,1
369,taught,1
370,vital,1
371,importance,1
372,better,1
