,term,count
0,tulsa,4
1,okla,2
2,the,80
3,class,7
4,assignment,1
5,design,2
6,an,9
7,ipad,1
8,video,1
9,game,2
10,for,16
11,player,1
12,to,34
13,win,1
14,a,43
15,cow,1
16,must,2
17,cross,1
18,lane,1
19,highway,1
20,dodging,1
21,constant,1
22,traffic,1
23,if,3
24,she,7
25,makes,1
26,it,14
27,sound,1
28,of,33
29,clapping,1
30,is,8
31,heard,1
32,’s,16
33,hit,1
34,by,9
35,car,2
36,says,2
37,aw,1
38,let,2
39,me,9
40,show,1
41,you,5
42,my,2
43,notebook,1
44,where,3
45,i,6
46,wrote,1
47,algorithm,2
48,like,5
49,recipe,1
50,leila,1
51,students,18
52,in,28
53,explained,1
54,school,19
55,official,1
56,who,9
57,described,1
58,scene,1
59,might,1
60,assume,1
61,these,5
62,were,6
63,gifted,2
64,at,6
65,elite,1
66,instead,2
67,they,13
68,7year,1
69,olds,2
70,second,1
71,graders,3
72,union,16
73,public,4
74,schools,11
75,district,8
76,eastern,1
77,part,2
78,more,5
79,than,8
80,third,2
81,are,6
82,latino,1
83,many,3
84,them,6
85,english,2
86,language,1
87,learners,1
88,and,45
89,percent,4
90,receive,1
91,free,1
92,or,4
93,reduced,1
94,price,1
95,lunch,1
96,from,4
97,kindergarten,1
98,through,3
99,high,10
100,get,1
101,state,3
102,art,3
103,education,6
104,science,3
105,technology,1
106,engineering,1
107,math,2
108,stem,6
109,subjects,2
110,when,4
111,’re,2
112,will,4
113,web,1
114,pages,1
115,mobile,1
116,apps,1
117,as,9
118,well,2
119,tackle,1
120,cybersecurity,1
121,artificial,1
122,intelligence,1
123,projects,1
124,all,6
125,only,1
126,eye,1
127,opening,1
128,opportunities,2
129,this,6
130,around,3
131,betsy,1
132,devos,3
133,book,1
134,your,3
135,plane,1
136,ticket,1
137,now,1
138,ms,6
139,new,2
140,secretary,1
141,dismisses,1
142,too,3
143,slow,1
144,moving,1
145,difficult,1
146,reform,1
147,calling,1
148,expansion,1
149,supposedly,1
150,nimbler,1
151,charters,1
152,vouchers,2
153,that,17
154,enable,1
155,parents,3
156,send,1
157,their,7
158,children,1
159,private,1
160,parochial,1
161,but,7
162,shows,2
163,what,2
164,can,8
165,be,4
166,achieved,1
167,system,1
168,takes,2
169,time,3
170,invest,1
171,culture,1
172,expectations,1
173,recruit,1
174,top,1
175,flight,1
176,professionals,1
177,develop,1
178,ties,1
179,between,2
180,community,12
181,has,7
182,accomplished,1
183,despite,1
184,operating,1
185,on,8
186,miserly,1
187,budget,2
188,oklahoma,2
189,dubious,1
190,distinction,1
191,being,1
192,first,2
193,nation,1
194,cutting,1
195,funds,2
196,years,3
197,running,1
198,spends,2
199,just,3
200,year,2
201,local,1
202,each,1
203,student,4
204,about,6
205,less,3
206,national,2
207,average,3
208,york,1
209,times,1
210,although,1
211,contributions,1
212,modestly,1
213,augment,1
214,teacher,2
215,with,15
216,decades’,1
217,experience,1
218,doctorate,1
219,earns,2
220,her,4
221,counterpart,1
222,scarsdale,1
223,ny,1
224,our,2
225,motto,1
226,we,8
227,here,1
228,kids’,1
229,cathy,1
230,burden,3
231,retired,1
232,after,3
233,superintendent,2
234,told,4
235,not,6
236,feel,1
237,good,2
238,slogan,1
239,decade,1
240,ago,1
241,called,1
242,special,1
243,principals’,1
244,meeting,1
245,closed,1
246,day,3
247,because,4
248,ice,1
249,storm,1
250,ran,1
251,down,2
252,list,2
253,dropouts,1
254,name,2
255,said,4
256,no,3
257,one,1
258,knew,1
259,story,1
260,any,1
261,kid,1
262,was,8
263,humiliating,1
264,had,4
265,n’t,5
266,done,1
267,job,4
268,also,3
269,wake,1
270,up,6
271,call,1
272,since,1
273,then,3
274,adds,1
275,tell,2
276,going,2
277,parent,1
278,how,2
279,go,1
280,college’,1
281,last,2
282,summer,1
283,kirt,1
284,hartzler,1
285,current,1
286,tracked,1
287,seniors,1
288,been,2
289,track,1
290,graduate,3
291,dropped,1
