,term,count
0,like,5
1,ronald,1
2,reagan,5
3,trump,28
4,racked,1
5,up,4
6,the,52
7,support,5
8,of,30
9,millions,1
10,blue,5
11,collar,5
12,white,2
13,voters,1
14,in,22
15,midwestern,1
16,swing,1
17,states,3
18,and,34
19,mr,23
20,45th,1
21,president,15
22,is,16
23,pushing,1
24,to,45
25,nail,1
26,down,2
27,more,3
28,ensure,1
29,a,24
30,lasting,1
31,republican,3
32,majority,3
33,doing,2
34,so,3
35,has,5
36,championed,1
37,many,6
38,issues,1
39,straight,1
40,out,3
41,organized,1
42,labor,15
43,’s,22
44,wish,1
45,list,1
46,he,24
47,pressing,1
48,manufacturers,1
49,not,4
50,ship,1
51,jobs,10
52,overseas,1
53,promised,1
54,infrastructure,1
55,spending,1
56,threatened,1
57,percent,5
58,tariff,1
59,slow,1
60,mexican,2
61,imports,1
62,vowed,1
63,overhaul,1
64,nafta,2
65,while,2
66,lined,1
67,from,7
68,only,1
69,few,2
70,unions,23
71,seeking,1
72,go,1
73,him,4
74,one,1
75,better,1
76,wooing,1
77,their,3
78,members,6
79,directly,1
80,carpenters,1
81,coal,1
82,miners,2
83,autoworkers,3
84,at,7
85,recent,1
86,discussion,1
87,on,9
88,how,2
89,expand,1
90,auto,2
91,industry,1
92,invited,1
93,united,1
94,workers,6
95,sit,1
96,close,1
97,dais,1
98,his,13
99,advisers,1
100,know,2
101,that,16
102,america,3
103,first,1
104,message,3
105,resonates,1
106,with,10
107,other,3
108,team,1
109,also,2
110,knows,1
111,if,3
112,it,8
113,can,5
114,win,1
115,over,1
116,some,9
117,nation,2
118,major,1
119,they,11
120,’re,4
121,usually,1
122,pillar,1
123,democratic,2
124,campaigns,1
125,will,2
126,badly,1
127,weaken,2
128,democrats,1
129,for,9
130,years,2
131,come,1
132,working,6
133,be,3
134,you,5
135,already,1
136,seeing,1
137,outreach,1
138,said,17
139,f,2
140,vincent,1
141,vernuccio,1
142,director,1
143,policy,1
144,mackinac,1
145,center,1
146,free,1
147,market,1
148,think,1
149,tank,1
150,michigan,2
151,are,7
152,warming,1
153,because,1
154,leaders,4
155,following,1
156,saw,1
157,union,12
158,voted,1
159,just,3
160,days,1
161,after,2
162,inauguration,1
163,courted,1
164,by,2
165,inviting,1
166,heads,1
167,several,2
168,building,3
169,trades,4
170,oval,1
171,office,1
172,afterward,1
173,sounded,1
174,almost,1
175,giddy,1
176,laborers’,1
177,issuing,1
178,news,1
179,release,1
180,headlined,1
181,finally,1
182,beginning,1
183,feel,1
184,new,3
185,day,2
186,class,1
187,sean,1
188,mcgarvey,3
189,north,1
190,came,1
191,away,1
192,applauding,1
193,plans,1
194,keystone,1
195,pipeline,1
196,projects,1
197,which,1
198,could,2
199,mean,1
200,than,1
201,far,1
202,good,3
203,our,4
204,concern,1
205,basically,1
206,economic,2
207,trajectory,2
208,membership,2
209,though,1
210,when,1
211,spoke,1
212,last,1
213,week,1
214,construction,2
215,unions’,1
216,legislative,1
217,conference,1
218,officials,3
219,unhappy,1
220,about,3
221,push,1
222,repeal,1
223,obamacare,3
224,rolling,1
225,back,2
226,worker,1
227,safety,1
228,regulations,1
229,booed,1
230,held,1
231,signs,1
232,saying,1
233,resist,1
234,although,2
235,have,6
236,declined,1
237,size,1
238,might,1
239,american,3
240,belong,1
241,under,1
242,john,1
243,kennedy,1
244,still,2
245,pack,1
246,plenty,1
247,political,1
248,punch,1
249,were,1
250,mortified,1
251,hillary,2
252,clinton,1
253,narrowly,1
254,lost,2
255,longtime,1
256,strongholds,1
257,pennsylvania,2
258,wisconsin,3
259,say,4
260,she,3
261,had,5
262,campaigned,1
263,bit,1
264,smarter,1
265,those,1
266,won,1
267,them,3
268,house,1
269,reason,2
270,rolls,1
271,there,2
272,plummeted,1
273,all,1
274,today,1
275,big,2
276,gov,1
277,scott,1
278,walker,1
279,moved,1
280,aggressively,1
281,shrink,1
282,public,3
283,sector,2
284,focused,1
285,attentions,1
286,private,1
287,kentucky,1
288,steelworkers,4
289,what,3
290,both,1
291,nixon,1
292,tried,1
293,do,2
294,pick,1
295,likeliest,1
296,see,2
297,make,2
298,nice,1
299,joseph,1
300,mccartin,1
301,historian,1
302,georgetown,1
303,university,2
304,noted,1
305,another,2
306,similarity,1
307,administration,3
308,numerous,2
309,interested,1
310,fiercely,1
311,anti,2
312,eager,1
313,divided,2
314,into,2
315,camps,1
316,regarding,1
317,most,1
318,pro,1
319,liberals,1
320,criticized,1
321,enthusiastic,1
322,words,1
323,but,3
324,smart,1
325,work,2
326,politicians,1
327,we,4
328,creating,2
329,whether,1
330,state,2
331,or,2
332,national,2
333,never,1
334,want,1
335,position,1
336,where,3
337,losing,1
338,an,1
339,election,1
340,changes,1
341,strongly,1
342,camp,2
343,includes,1
344,service,2
345,employees,2
346,international,2
347,education,3
348,association,1
349,federal,3
350,municipal,1
351,employees’,1
352,these,1
353,oppose,1
354,hiring,1
355,freeze,1
356,proposed,1
357,budget,2
358,cuts,1
359,repealing,1
360,aghast,1
361,secretary,1
362,betsy,1
363,devos,2
364,antagonism,1
365,toward,2
366,traditional,1
367,schools,1
368,’ve,2
369,put,1
370,forward,1
371,horrible,1
372,path,1
373,destroy,1
374,randi,1
375,weingarten,1
376,federation,1
377,teachers,1
378,then,1
379,ambivalent,1
380,middle,1
381,including,1
382,machinists,1
383,applaud,1
384,withdrawal,1
385,trans,1
386,pacific,1
387,partnership,1
388,trade,3
389,pact,1
390,vows,1
391,bring,1
392,factory,1
393,renegotiate,1
394,dennis,1
395,williams,1
396,uaw,1
397,applauds,1
398,tough,1
399,stance,1
400,been,2
401,hollering,1
402,this,2
403,same,1
404,time,2
405,slams,1
406,policies,1
407,immigration,1
408,gary,1
409,chaison,2
410,professor,2
411,industrial,1
412,relations,1
413,clark,1
414,accepted,1
415,faustian,1
416,bargain,1
417,aside,1
418,somehow,1
419,get,1
420,return,1
421,asked,1
422,forget,1
423,having,1
424,any,2
425,law,1
426,reform,1
427,easier,1
428,unionize,1
429,kiss,1
430,goodbye,1
431,minimum,1
432,wage,1
433,understand,1
434,type,1
435,personality,1
436,reality,1
437,deal,2
438,every,1
439,ceos,1
440,who,2
441,often,1
442,arrogant,1
443,language,1
444,use,1
445,modulated,1
446,usual,1
447,muscular,1
448,talk,1
449,perhaps,1
450,scared,1
451,wrathful,1
452,tweets,1
453,history,1
454,retaliating,1
455,against,3
456,critics,1
457,mary,1
458,kay,1
459,henry,2
460,nearly,1
461,as,2
462,her,1
463,closely,1
464,promote,1
465,environmental,1
466,protection,1
467,green,1
468,banded,1
469,together,2
470,try,1
471,block,1
472,neil,1
473,gorsuch,1
474,nomination,1
475,supreme,1
476,court,1
477,battle,1
478,efforts,1
479,pass,1
480,right,2
