,term,count
0,the,104
1,romance,1
2,between,2
3,this,6
4,newspaper,2
5,and,74
6,hbo,2
7,show,19
8,girls,11
9,is,5
10,somewhat,1
11,legendary,1
12,its,18
13,debut,1
14,in,32
15,finale,1
16,last,2
17,sunday,1
18,according,1
19,to,35
20,some,6
21,exhaustive,1
22,data,1
23,journalism,1
24,from,9
25,awl,2
26,new,3
27,york,1
28,times,2
29,published,1
30,articles,1
31,about,8
32,fans,1
33,creator,1
34,star,1
35,dunham,5
36,plus,1
37,her,5
38,co,1
39,stars’,1
40,clothes,1
41,paintings,1
42,workout,1
43,routines,1
44,exotic,2
45,pets,2
46,except,1
47,fact,1
48,check,1
49,i,3
50,made,2
51,up,4
52,’s,20
53,list,1
54,unaccountably,1
55,failed,2
56,include,1
57,my,2
58,own,2
59,contribution,1
60,mania,1
61,a,40
62,love,2
63,letter,1
64,flirtations,1
65,with,10
66,cultural,4
67,reaction,1
68,was,17
69,of,59
70,coverage,2
71,excessive,1
72,well,4
73,let,3
74,concede,3
75,that,9
76,ratio,1
77,thinkpieces,1
78,all,6
79,over,2
80,web,1
81,not,4
82,just,3
83,actual,1
84,viewers,2
85,considerably,1
86,higher,1
87,for,10
88,than,6
89,say,1
90,game,2
91,thrones,2
92,media,1
93,loved,1
94,talk,1
95,part,3
96,because,2
97,it,12
98,set,3
99,among,5
100,young,2
101,white,2
102,people,2
103,brooklyn,1
104,demographic,1
105,possibly,1
106,overrepresented,1
107,who,1
108,write,1
109,pop,1
110,culture,4
111,living,1
112,peculiar,1
113,role,2
114,electoral,1
115,politics,1
116,as,18
117,most,5
118,visible,1
119,um,1
120,creative,1
121,millennial,2
122,generation,1
123,surrogates,1
124,barack,1
125,obama,2
126,then,4
127,hillary,1
128,clinton,1
129,played,1
130,press,1
131,fascination,1
132,but,13
133,now,2
134,we,1
135,have,4
136,full,1
137,think,1
138,scale,1
139,actually,2
140,holds,1
141,quite,2
142,small,3
143,very,3
144,much,1
145,included,1
146,indeed,2
147,suspect,1
148,will,4
149,be,2
150,remembered,1
151,interesting,1
152,important,2
153,television,3
154,years,1
155,which,7
156,ran,1
157,critics,2
158,inevitably,1
159,return,1
160,when,1
161,they,8
162,argue,1
163,art,2
164,society,2
165,vanished,1
166,era,1
167,course,2
168,there,3
169,are,5
170,different,4
171,kinds,1
172,importance,1
173,audience,2
174,characters,3
175,difficult,1
176,unpleasant,1
177,material,1
178,sometimes,1
179,weird,1
180,often,1
181,gross,1
182,did,5
183,n’t,3
184,seek,1
185,kind,5
186,aspirational,1
187,influence,1
188,achieved,1
189,by,3
190,hip,1
191,bedhopping,1
192,urbanite,1
193,predecessors,1
194,“,1
195,sex,6
196,city,3
197,friends,2
198,nor,1
199,inspire,1
200,obsessive,1
201,viewer,3
202,endless,1
203,imitators,1
204,golden,1
205,age,1
206,™,1
207,dramas,2
208,like,3
209,sopranos,2
210,mad,1
211,men,6
212,niche,2
213,taste,1
214,nothing,1
215,substantial,1
216,american,3
217,or,9
218,industry,1
219,altered,1
220,episodic,1
221,story,1
222,equal,1
223,prestige,6
224,superior,1
225,scripted,1
226,acted,1
227,shot,1
228,achievement,1
229,reliably,1
230,funnier,1
231,wince,1
232,inducing,1
233,way,4
234,any,3
235,them,1
236,mirror,1
237,held,1
238,showed,1
239,something,3
240,tv,2
241,peers,1
242,equally,1
243,arguably,1
244,more,5
245,forward,1
246,looking,1
247,distinctive,1
248,typical,2
249,drama,3
250,onward,1
251,has,2
252,been,1
253,portrait,1
254,patriarchy,7
255,extremis,1
256,featuring,1
257,embattled,2
258,male,9
259,antiheroes,1
260,struggling,1
261,maintain,1
262,their,6
263,authority,2
264,changing,1
265,world,3
266,collapsing,1
267,usually,1
268,these,3
269,stories,2
270,somewhere,1
271,out,5
272,landscapes,1
273,alien,1
274,liberal,4
275,ish,1
276,flyover,1
277,country,1
278,copland,1
279,gangland,1
280,george,1
281,martin,1
282,westeros,1
283,mormon,1
284,polygamists,1
285,on,6
286,madison,2
287,avenue,2
288,days,2
289,wasps,1
290,tony,1
291,soprano,1
292,pining,1
293,gary,1
294,cooper,2
295,tone,1
296,echoed,2
297,re,1
298,louisiana,1
299,swamps,1
300,true,2
301,detective,1
302,mexican,1
303,borderlands,1
304,breaking,1
305,bad,2
306,halls,1
307,sterling,1
308,draper,2
309,pryce,1
310,again,7
311,watched,1
312,protagonist,1
313,trying,1
314,breadwinner,1
315,paterfamilias,1
316,protector,1
317,savior,1
318,leader,1
319,attempts,1
320,were,8
321,presented,1
322,dangerously,1
323,alluring,1
324,corrupting,1
325,untimely,1
326,foredoomed,1
327,certain,2
328,ways,4
329,medieval,1
330,arc,1
331,noble,1
332,naïve,1
333,ned,1
334,stark,1
335,gives,1
336,toxic,4
337,warring,1
338,kings,2
339,daenerys,1
340,targaryen,1
341,dragons,1
342,waiting,2
343,sweep,1
344,away,2
345,distilled,1
346,whole,1
347,project,1
348,fundamental,1
349,archetypes,1
350,nostalgia,1
351,kingship,1
352,fear,1
353,satisfaction,1
354,at,2
355,inevitable,1
356,fall,2
357,though,2
358,going,1
359,had,3
360,basically,1
361,happened,1
362,irrevocably,1
363,changed,1
364,nobody,1
365,knew,1
366,what,2
367,do,2
368,next,1
369,many,2
370,other,3
371,things,1
372,distinguished,1
373,storytelling,1
374,superficially,1
375,similar,1
376,remains,1
377,still,3
378,provided,1
379,narrative,2
380,order,1
381,theory,1
382,women,1
383,prized,1
384,freedom,4
385,friendship,1
386,also,2
387,oppressed,1
388,obsessed,1
389,bachelors,2
390,pined,1
391,mr,1
392,big,2
393,ultimately,1
394,settled,1
395,down,1
396,decent,1
397,working,1
398,class,1
399,guys,2
400,gorgeous,1
401,models,1
402,nice,1
403,jewish,1
404,lawyers,1
405,himself,1
406,confident,1
407,presence,1
408,simply,1
409,gone,1
410,older,2
411,protagonists,1
412,mostly,4
413,absent,1
414,fathers,1
415,only,3
416,involved,1
417,caring,1
418,came,2
419,gay,2
420,midway,1
421,through,1
422,few,3
423,don,1
424,esque,1
425,bosses,1
426,contend,1
427,dated,1
428,pathetic,1
429,threatening,1
430,sensitive,1
431,so,2
432,even,2
433,intense,1
434,relationships,3
435,formed,1
436,semi,1
437,pathological,1
438,oldest,1
439,younger,1
440,notably,1
441,exhibited,1
442,moral,1
443,decency,1
444,sort,2
445,idealism,1
446,genuinely,1
447,sinister,1
448,seemed,1
449,adrift,1
450,permanently,1
451,boyish,1
452,bundle,1
453,hormonal,1
454,impulses,1
455,leagues,1
456,serious,1
457,potent,1
458,manhood,1
459,meanwhile,2
460,themselves,1
461,varying,1
462,degrees,2
463,antiheroic,1
464,self,3
465,destructive,2
466,narcissistic,1
467,patriarchs,1
468,familiar,1
469,productions,1
470,yes,2
471,rather,1
472,less,2
473,murderous,1
474,beginning,1
475,unattractiveness,1
476,behavior,1
477,inspired,1
478,queasy,1
479,responses,1
480,feminist,1
481,celebratory,1
482,rejoinders,1
483,how,3
484,make,1
485,mess,3
486,sexually,1
487,otherwise,1
488,central,1
489,feminism,1
490,sought,1
491,win,1
492,probably,1
493,latter,1
494,interpretation,1
495,closer,1
496,showrunners’,1
497,conscious,1
498,intent,1
499,successful,1
500,slipping,1
501,ideological,1
502,leash,1
503,striking,1
504,thing,1
505,portrayed,2
506,mockery,1
507,official,1
508,social,2
509,liberalism,3
510,prophylactics,1
511,graduate,1
512,gender,1
513,equality,1
514,supposed,1
515,lead,1
516,smoothly,1
517,health,1
518,wealth,1
519,high,1
520,functioning,1
521,large,2
522,deconstructed,1
523,those,3
524,assumptions,1
525,characters’,1
526,lives,1
527,remotely,1
528,safe,1
529,porn,1
530,haunted,1
531,std,1
532,fears,1
