,term,count
0,sydney,1
1,australia,2
2,the,64
3,fight,2
4,among,2
5,christians,1
6,over,5
7,status,1
8,and,28
9,role,1
10,of,30
11,women,24
12,is,20
13,usually,2
14,buried,1
15,out,1
16,view,1
17,anger,1
18,at,6
19,continuing,1
20,inequality,1
21,not,7
22,deemed,1
23,pious,1
24,or,5
25,pretty,1
26,by,4
27,faithful,1
28,disputes,1
29,stay,1
30,private,1
31,but,7
32,this,11
33,pattern,1
34,was,5
35,broken,1
36,recently,2
37,a,31
38,very,2
39,public,3
40,uproar,1
41,when,4
42,prominent,1
43,theological,3
44,college,1
45,announced,1
46,its,1
47,award,3
48,prestigious,1
49,prize,4
50,to,33
51,high,2
52,profile,1
53,preacher,2
54,who,5
55,does,5
56,believe,2
57,that,16
58,lgbt,1
59,people,1
60,should,4
61,be,6
62,ordained,4
63,on,9
64,most,1
65,grounds,2
66,princeton,7
67,seminary,4
68,’s,12
69,decision,2
70,give,1
71,kuyper,3
72,for,8
73,excellence,1
74,in,20
75,reformed,1
76,theology,3
77,witness,1
78,rev,1
79,tim,1
80,keller,10
81,would,2
82,seem,1
83,safe,1
84,one,2
85,dr,9
86,founding,1
87,pastor,4
88,flourishing,1
89,redeemer,2
90,presbyterian,4
91,church,14
92,new,2
93,york,2
94,gifted,1
95,best,1
96,selling,1
97,author,1
98,works,1
99,i,5
100,attended,1
101,his,8
102,some,1
103,years,1
104,lived,1
105,largely,1
106,because,2
107,caliber,1
108,sermons,1
109,what,3
110,failed,1
111,consider,1
112,though,1
113,also,1
114,complementarian,2
115,word,1
116,greatly,1
117,used,1
118,outside,1
119,circles,1
120,it,11
121,refers,1
122,those,1
123,bible,2
124,set,1
125,forth,1
126,men,4
127,lead,1
128,have,6
129,authority,5
130,married,2
131,must,5
132,submit,4
133,their,7
134,husbands,1
135,more,3
136,conservative,2
137,protestant,2
138,denominations,2
139,interpretations,1
140,doctrine,3
141,male,5
142,headship,3
143,vary,1
144,widely,1
145,applied,1
146,both,1
147,home,3
148,where,1
149,are,8
150,many,6
151,vehemently,1
152,object,1
153,part,2
154,usa,2
155,which,5
156,has,5
157,allowed,1
158,as,11
159,far,3
160,back,1
161,decades,2
162,before,1
163,episcopal,1
164,did,1
165,smaller,1
166,growing,2
167,america,2
168,split,1
169,from,2
170,mainline,2
171,group,1
172,partly,2
173,issue,2
174,leadership,2
175,upon,1
176,hearing,1
177,traci,1
178,smith,1
179,former,1
180,seminarian,2
181,now,1
182,minister,1
183,wrote,3
184,an,4
185,institution,1
186,designed,1
187,train,1
188,ministry,1
189,n’t,1
190,awarding,2
191,fancy,1
192,prizes,1
193,someone,1
194,believes,1
195,half,3
196,student,1
197,body,1
198,than,3
199,no,3
200,business,1
201,leading,1
202,churches,3
203,offensive,1
204,taught,1
205,my,2
206,5year,1
207,olds,1
208,express,1
209,hurts,1
210,feelings,1
211,question,1
212,confronting,1
213,seminarians,1
214,then,1
215,became,1
216,views,1
217,core,1
218,faith,1
219,reputation,1
220,integrity,1
221,merely,1
222,tangential,1
223,feminist,2
224,writer,2
225,carol,1
226,howard,1
227,merritt,2
228,called,1
229,toxic,1
230,arguing,1
231,much,2
232,deeper,1
233,whether,2
234,can,5
235,become,1
236,leaders,1
237,complementarianism,1
238,she,7
239,means,1
240,choice,1
241,lives,1
242,all,3
243,extreme,1
244,argued,1
245,validates,1
246,control,2
247,point,1
248,abuse,3
249,ms,1
250,said,3
251,often,1
252,asked,1
253,about,3
254,there,3
255,relationship,1
256,between,2
257,domestic,1
258,violence,1
259,christian,2
260,teaching,3
261,wives,1
262,cited,1
263,examples,1
264,if,5
265,husband,2
266,wants,4
267,wife,1
268,lose,1
269,weight,1
270,go,1
271,diet,1
272,he,11
273,sex,1
274,acquiesce,1
275,her,1
276,school,1
277,children,1
278,obey,1
279,none,1
280,considered,2
281,god,2
282,given,1
283,woman,1
284,questions,1
285,full,1
286,force,1
287,community,1
288,social,1
289,connections,1
290,backs,1
291,him,3
292,up,3
293,tell,1
294,you,2
295,environment,1
296,little,1
297,girl,1
298,abusive,1
299,me,1
300,sure,1
301,harsh,1
302,model,1
303,teaches,1
304,suggestion,1
305,condone,1
306,rather,1
307,calls,1
308,tiebreaking,1
309,mean,2
310,man,2
311,simply,1
312,make,1
313,decisions,1
314,nor,1
315,gets,1
316,way,1
317,whenever,1
318,difference,1
319,opinion,1
320,indeed,1
321,argues,1
322,head,1
323,sacrifices,1
324,needs,1
325,please,1
326,build,1
327,partner,1
328,unfortunately,1
329,nuance,1
330,account,1
331,self,1
332,sacrificing,1
333,always,1
334,translate,1
335,into,1
336,routine,1
337,told,3
338,they,5
339,’re,1
340,heads,1
341,debate,2
342,asymmetry,1
343,power,1
344,been,2
345,muted,1
346,second,1
347,wave,2
348,feminists,3
349,abandoned,1
350,1970s,1
351,onward,1
352,latter,1
353,19th,1
354,century,2
355,first,1
356,like,1
357,elizabeth,1
358,cady,1
359,stanton,1
360,tried,1
361,rewrite,1
362,challenge,1
363,idea,1
364,later,2
365,movement,1
366,saw,1
367,hostile,1
368,opposition,1
369,left,1
370,remained,1
371,invidious,1
372,position,1
373,while,1
374,regarded,1
375,equals,1
376,still,1
377,adhere,1
378,difficult,1
379,protracted,1
380,according,1
381,pew,1
382,research,1
383,center,1
384,only,1
385,percent,1
386,american,1
387,congregations,2
388,were,2
389,led,1
390,number,1
391,unchanged,1
392,since,1
393,battle,1
394,may,1
395,prove,1
396,landmark,1
397,pressure,1
398,faculty,2
399,grew,1
400,named,1
401,zachary,1
402,calvo,1
403,organized,1
404,petition,1
405,protesting,1
406,described,1
407,exclusionary,1
408,prohibitive,1
409,stances,1
410,ordination,1
411,lgbtq,1
412,persons,1
413,members,2
414,signed,1
415,including,1
416,several,1
417,few,1
418,days,1
419,rescinded,1
420,confirmed,1
421,invitation,1
422,lecture,1
423,accepted,1
424,course,1
425,right,1
426,invited,1
427,speak,1
428,charismatic,1
429,figure,1
430,with,2
431,global,1
432,following,1
433,will,2
434,continue,1
435,despite,1
436,recent,1
437,unrelated,1
438,step,1
439,down,1
440,senior,1
441,roles,1
442,aired,1
443,damaging,1
444,challenged,1
445,problem,1
446,based,2
447,archaic,1
448,notions,1
449,gender,1
450,hierarchy,1
451,goes,1
452,beyond,1
453,any,1
454,congregation,1
455,attest,1
456,true,1
457,too,1
458,spoke,1
459,mobbed,1
460,fans,1
461,emerged,1
462,criticize,1
463,online,1
464,trolled,1
465,internet,1
466,impact,1
467,how,2
468,horizons,1
469,narrowed,1
470,girls’,1
471,voices,1
472,stifled,1
473,virginia,1
474,jennifer,1
475,c,1
476,martin,1
477,website,1
478,jezebel,1
479,across,1
480,young,1
481,girls,1
482,meet,1
483,want,1
484,marry,1
485,hopes,1
486,dreams,1
487,opinions,1
488,risk,1
489,being,1
490,outcast,1
491,families,1
492,normal,2
493,them,1
494,imagine,1
