,term,count
0,oakland,1
1,calif,2
2,being,2
3,an,2
4,extrovert,1
5,is,6
6,a,23
7,double,1
8,edged,1
9,sword,1
10,i,40
11,can,2
12,speak,1
13,confidently,1
14,in,22
15,my,11
16,college,6
17,classes,3
18,and,27
19,front,1
20,of,19
21,large,1
22,groups,1
23,but,6
24,everyone,1
25,seems,1
26,to,36
27,think,1
28,’ve,2
29,got,1
30,it,6
31,all,2
32,under,1
33,control,1
34,rarely,1
35,feel,1
36,that,9
37,way,1
38,there,2
39,’s,5
40,ticking,1
41,clock,1
42,always,1
43,the,24
44,back,2
45,mind,1
46,need,1
47,graduate,1
48,become,1
49,financially,1
50,independent,1
51,before,1
52,support,6
53,get,2
54,from,5
55,foster,15
56,care,2
57,system,4
58,disappears,1
59,was,9
60,year,2
61,old,1
62,when,5
63,siblings,1
64,were,4
65,taken,2
66,away,1
67,our,2
68,parents,2
69,for,9
70,most,3
71,lives,1
72,we,4
73,have,5
74,been,1
75,separated,1
76,another,4
77,bouncing,1
78,among,1
79,different,1
80,families,2
81,group,1
82,homes,2
83,shelters,1
84,working,1
85,with,5
86,constantly,1
87,revolving,1
88,cast,1
89,social,3
90,workers,1
91,lawyers,1
92,case,1
93,managers,1
94,by,6
95,had,3
96,lived,1
97,shelter,2
98,san,1
99,francisco,1
100,bay,1
101,area,1
102,then,2
103,sent,2
104,family,2
105,michigan,1
106,idaho,1
107,some,5
108,religious,1
109,encouraged,2
110,me,8
111,participate,1
112,their,4
113,traditions,1
114,which,4
115,felt,4
116,strange,1
117,money,3
118,even,1
119,spoke,1
120,spanish,2
121,comforting,1
122,moved,2
123,around,1
124,so,2
125,much,1
126,never,1
127,fit,1
128,fifth,1
129,grade,2
130,west,1
131,coast,1
132,good,2
133,seventh,1
134,los,1
135,gatos,1
136,because,3
137,town,1
138,name,1
139,optimistic,1
140,about,4
141,possibility,1
142,belonging,1
143,other,2
144,students,1
145,wealthy,1
146,white,1
147,painfully,1
148,aware,1
149,scraggly,1
150,kid,1
151,color,1
152,who,4
153,wore,1
154,baggy,1
155,donated,1
156,clothes,1
157,worried,2
158,made,1
159,look,1
160,like,3
161,gangbanger,1
162,silicon,1
163,valley,1
164,enclave,1
165,while,1
166,did,3
167,well,2
168,school,5
169,began,1
170,notice,1
171,serious,1
172,gaps,1
173,learning,1
174,changing,1
175,schools,1
176,often,1
177,enrolled,1
178,geometry,1
179,class,2
180,without,2
181,having,1
182,learned,1
183,prerequisite,1
184,math,1
185,more,2
186,embarrassingly,1
187,somewhere,1
188,along,2
189,line,1
190,missed,1
191,crucial,1
192,sex,1
193,ed,1
194,became,1
195,exhausted,1
196,effort,1
197,took,1
198,just,2
199,keep,3
200,up,4
201,stopped,1
202,raising,1
203,hand,1
204,focused,1
205,on,3
206,trying,1
207,pass,1
208,knew,1
209,odds,2
210,would,1
211,drop,1
212,out,3
213,department,1
214,health,2
215,human,2
216,services,2
217,says,1
218,only,1
219,half,1
220,youth,5
221,reported,1
222,graduating,1
223,high,4
224,or,2
225,getting,1
226,equivalency,1
227,diploma,2
228,age,2
229,time,4
230,earned,1
231,done,1
232,lucky,2
233,caring,1
234,worker,2
235,mom,1
236,pushed,1
237,sign,1
238,community,2
239,courses,1
240,at,2
241,last,1
242,possible,1
243,minute,2
244,also,3
245,live,1
246,california,3
247,where,2
248,kids,4
249,are,6
250,n’t,3
251,forced,1
252,they,3
253,turn,3
254,states,2
255,district,1
256,columbia,1
257,accept,1
258,federal,2
259,dollars,1
260,extend,1
261,until,1
262,according,1
263,able,1
264,lawyer,1
265,received,1
266,every,1
267,month,2
268,food,2
269,housing,4
270,program,1
271,former,6
272,set,1
273,counselors,1
274,helped,1
275,plan,1
276,education,2
277,additional,1
278,stipend,1
279,this,2
280,per,1
281,makes,1
282,huge,1
283,difference,1
284,many,4
285,work,2
286,full,1
287,attend,1
288,part,1
289,as,3
290,result,1
291,take,1
292,them,1
293,years,1
294,complete,1
295,putting,1
296,financial,1
297,aid,1
298,risk,1
299,eligibility,1
300,pell,1
301,grants,1
302,limited,1
303,semesters,1
304,hours,1
305,week,1
