,term,count
0,north,2
1,conway,1
2,nh,1
3,the,71
4,swiss,2
5,alpinist,3
6,ueli,2
7,steck,18
8,was,7
9,probably,1
10,best,1
11,mountain,6
12,climber,6
13,in,27
14,world,1
15,a,29
16,sport,2
17,where,1
18,willingness,1
19,to,19
20,take,1
21,risks,3
22,is,9
23,as,16
24,crucial,1
25,fitness,1
26,he,11
27,combined,1
28,an,5
29,olympian,1
30,’s,11
31,physique,1
32,and,31
33,calculated,1
34,daring,1
35,few,1
36,could,3
37,rival,1
38,his,15
39,death,4
40,this,2
41,weekend,1
42,at,4
43,age,3
44,on,9
45,nepalese,1
46,himalayan,1
47,nuptse,1
48,which,3
49,neighbors,1
50,mount,2
51,everest,5
52,training,3
53,foray,1
54,came,1
55,when,2
56,fell,2
57,around,2
58,feet,2
59,while,2
60,climbing,6
61,alone,7
62,equipment,1
63,terminology,1
64,of,27
65,conventional,2
66,are,4
67,often,2
68,difficult,4
69,convey,1
70,layman,1
71,solo,1
72,excelled,1
73,not,2
74,it,13
75,dangerous,3
76,looks,1
77,there,4
78,no,5
79,trick,1
80,light,2
81,specialized,1
82,piece,1
83,gear,2
84,mistake,1
85,fatal,1
86,more,8
87,climb,4
88,practiced,1
89,disciplined,1
90,should,1
91,be,3
92,soloists,2
93,can,1
94,look,1
95,ways,1
96,either,2
97,risk,2
98,decreases,1
99,with,7
100,years,2
101,dedicated,1
102,practice,1
103,or,8
104,simply,2
105,undertakes,1
106,climbs,2
107,greater,1
108,chance,1
109,accident,1
110,long,1
111,list,1
112,great,1
113,mountaineers,2
114,who,8
115,have,5
116,been,3
117,killed,3
118,points,1
119,toward,2
120,latter,1
121,argument,1
122,put,1
123,video,1
124,constantly,1
125,you,3
126,deal,1
127,satellite,1
128,phones,1
129,helicopter,1
130,access,1
131,lack,1
132,virgin,1
133,terrain,1
134,squeeze,1
135,unknown,1
136,unexpected,1
137,out,2
138,mountaineering,6
139,alpinists,2
140,had,9
141,fight,1
142,for,7
143,relevancy,1
144,new,2
145,routes,3
146,unclimbed,1
147,peaks,3
148,becoming,1
149,scarcer,1
150,many,2
151,transitioned,1
152,into,3
153,completing,1
154,classic,1
155,quickly,3
156,possible,2
157,ran,2
158,up,5
159,little,1
160,than,1
161,tights,1
162,headband,1
163,easily,2
164,mistaken,1
165,distance,1
166,runner,1
167,nordic,1
168,skier,1
169,but,5
170,try,1
171,might,1
172,masquerade,1
173,traditional,2
174,endurance,3
175,remain,1
176,increasing,1
177,stripped,1
178,away,3
179,bare,1
180,minimum,1
181,speed,2
182,quantifiable,1
183,thing,1
184,exhilarating,1
185,able,1
186,move,2
187,so,3
188,if,3
189,were,5
190,measured,1
191,by,8
192,benchmark,1
193,greatest,1
194,history,1
195,climbed,2
196,eiger,1
197,infamous,1
198,face,5
199,hours,2
200,minutes,1
201,sprinting,1
202,high,2
203,wall,1
204,time,3
205,takes,1
206,run,1
207,fast,3
208,marathon,2
209,all,1
210,alps,1
211,meters,1
212,higher,1
213,that,4
214,took,1
215,him,4
216,mere,1
217,days,1
218,including,1
219,spent,1
220,biking,1
221,paragliding,1
222,between,1
223,mountains,1
224,legendary,1
225,bolstered,1
226,science,1
227,informed,1
228,physical,1
229,earned,1
230,nickname,1
231,machine,1
232,important,1
233,showcased,1
234,what,1
235,talented,2
236,do,1
237,given,1
238,funding,1
239,prepare,1
240,like,3
241,athlete,1
242,challenged,2
243,image,1
244,bearded,1
245,beer,1
246,swilling,1
247,mountaineer,1
248,here,1
249,honed,1
250,engine,1
251,spartan,1
252,diet,1
253,planned,1
254,ascents,1
255,down,2
256,preparation,1
257,trumped,1
258,danger,1
259,seemed,1
260,availability,1
261,feats,1
262,youtube,1
263,vimeo,1
264,helped,1
265,bring,1
266,doldrums,1
267,watching,1
268,alpine,1
269,now,1
270,felt,1
271,exciting,1
272,viewing,1
273,tennis,1
274,soccer,1
275,american,1
276,company,1
277,clif,1
278,bar,1
279,canceled,1
280,its,2
281,sponsorship,1
282,several,2
283,climbers,2
284,because,1
285,discomfort,1
286,they,3
287,taking,1
288,european,1
289,sponsors,1
290,audi,1
291,gave,2
292,free,1
293,rein,1
294,athletic,1
295,counterparts,1
296,share,1
297,controversial,1
298,moments,1
299,having,1
300,ascended,1
301,without,1
302,supplemental,1
303,oxygen,1
304,returned,3
305,ambitious,1
306,plan,1
307,both,1
308,neighboring,1
309,peak,1
310,lhotse,2
311,push,1
312,way,1
313,italian,1
314,simone,1
315,moro,3
316,photographer,1
317,jon,1
318,griffith,2
319,passed,1
320,group,1
321,sherpas,4
322,fixing,1
323,ropes,2
324,low,1
325,doing,1
326,trio,1
327,violated,1
328,understanding,1
329,held,1
330,western,1
331,guides,1
332,one,1
333,would,1
334,until,1
335,place,1
336,team,1
337,use,1
338,safety,1
339,fixed,1
340,rope,1
341,wished,1
342,sprint,1
343,ensuing,1
344,confrontation,1
345,hurling,1
346,insult,1
347,nepali,1
348,did,1
349,n’t,3
350,help,1
351,camp,1
352,found,1
353,themselves,1
354,angry,1
355,shouted,1
356,insults,1
357,hurled,1
358,rocks,1
359,their,3
360,tent,1
361,fearing,1
362,lives,2
363,hoofed,1
364,attempt,1
365,make,1
366,assumption,1
367,elite,1
368,stature,1
369,encouraged,1
370,hostile,1
371,exchange,1
372,clash,1
373,old,2
374,worlds,1
375,second,1
376,blip,1
377,career,1
378,also,2
379,occurred,1
380,himalayas,1
381,tried,1
382,called,1
383,annapurna,2
384,whose,1
385,deadly,1
386,south,2
387,become,1
388,kind,1
389,grail,1
390,combining,1
391,sheer,1
392,technical,1
393,difficulty,1
394,altitude,1
395,claimed,2
396,pioneers,1
397,particular,1
398,game,1
399,alpinism,1
400,brilliant,1
401,british,1
402,alex,1
403,macintyre,1
404,struck,1
405,single,1
406,falling,2
407,rock,1
408,french,1
409,pierre,1
410,béghin,2
411,leaving,1
412,partner,1
413,jean,1
414,christophe,1
415,lafaille,3
416,descend,1
417,harrowing,1
418,multiday,1
419,ordeal,1
420,during,1
421,process,1
422,too,1
423,hit,2
424,stone,1
425,broke,1
426,arm,1
427,attempted,1
428,rockfall,1
429,knocked,1
430,unconscious,1
431,only,1
432,luck,1
433,wrote,1
434,magazine,1
435,kept,1
436,me,1
437,from,2
438,dying,1
439,october,1
440,finishing,1
441,route,1
442,begun,1
443,round,1
444,trip,1
445,doubts,1
446,swirled,1
447,why,1
448,whom,1
449,camera,2
450,altimeter,2
451,watch,2
452,constant,1
453,companions,1
454,better,1
455,documented,1
456,ascent,1
457,small,1
458,avalanche,1
459,wrenched,1
460,broken,1
461,ultimately,2
462,brushed,1
463,criticisms,1
464,aside,1
465,letting,1
466,actions,1
467,successive,1
468,speak,1
469,repeating,1
470,linking,1
471,multiple,1
472,summits,1
473,specific,1
474,undertakings,1
475,keep,1
476,getting,1
477,limited,1
478,negative,1
479,feedback,1
480,success,1
481,rate,1
482,percent,1
483,those,2
484,live,1
485,usually,1
486,quit,1
487,before,1
488,attempting,1
489,link,1
490,effort,1
491,goal,1
492,interrupted,1
493,expedition,1
494,enough,1
495,will,1
496,remembered,1
497,ushered,1
498,latest,1
499,modern,1
