,term,count
0,paris,1
1,i,9
2,read,1
3,the,39
4,news,1
5,about,5
6,passage,1
7,of,7
8,house,1
9,health,1
10,care,4
11,bill,2
12,a,11
13,continent,1
14,away,3
15,on,3
16,assignment,1
17,in,5
18,europe,1
19,distance,1
20,did,1
21,nothing,1
22,to,13
23,lift,1
24,weight,1
25,my,5
26,heart,1
27,as,3
28,parent,1
29,child,6
30,with,5
31,pre,1
32,existing,1
33,condition,1
34,more,2
35,than,1
36,years,2
37,ago,1
38,when,2
39,sat,1
40,keening,1
41,hospital,1
42,anteroom,1
43,after,1
44,scans,1
45,and,15
46,somber,1
47,looks,1
48,clueless,1
49,young,2
50,intern,1
51,who,5
52,told,1
53,me,2
54,she,1
55,would,2
56,go,1
57,home,1
58,cry,1
59,for,8
60,us,4
61,family,3
62,joined,1
63,ranks,1
64,unlucky,1
65,rare,1
66,disease,1
67,grim,1
68,prognosis,1
69,suffering,1
70,may,1
71,those,1
72,passed,1
73,this,6
74,never,1
75,know,1
76,what,2
77,it,3
78,is,5
79,like,1
80,sleep,1
81,wake,1
82,every,2
83,day,2
84,an,2
85,anvil,1
86,pressed,1
87,against,1
88,your,2
89,chest,1
90,tasting,1
91,terror,1
92,pushing,1
93,so,2
94,that,5
95,you,3
96,can,2
97,comfort,1
98,both,1
99,sick,1
100,well,1
101,first,2
102,endure,1
103,treatments,1
104,harsh,1
105,enough,2
106,kill,1
107,then,1
108,surgeries,1
109,hospitalizations,1
110,agonizing,1
111,wait,1
112,daily,1
113,test,1
114,scores,1
115,frantic,1
116,consultations,1
117,doctors,1
118,residents,1
119,if,2
120,are,1
121,fortunate,1
122,we,2
123,were,2
124,somehow,1
125,beat,1
126,odds,1
127,emerge,1
128,shakily,1
129,from,3
130,dantean,1
131,depths,1
132,savor,1
133,prospect,1
134,could,2
135,grow,1
136,adulthood,1
137,there,1
138,remained,1
139,cold,1
140,calculus,1
141,insurance,2
142,companies,1
143,adult,2
144,was,4
145,labeled,1
146,unacceptable,1
147,risk,2
148,either,1
149,denied,1
150,altogether,1
151,or,2
152,relegated,1
153,high,2
154,pool,1
155,saddled,1
156,sky,1
157,premiums,1
158,constant,1
159,uncertainty,1
160,whatever,1
161,its,1
162,flaws,1
163,affordable,1
164,act,1
165,lifted,1
166,burden,1
167,other,2
168,families,3
169,struck,1
170,by,1
171,unexpected,1
172,unpredictable,1
173,illness,1
174,has,3
175,monitored,1
176,twist,1
177,turn,1
178,effort,1
179,repeal,1
180,law,1
181,calling,1
182,texting,1
183,college,1
184,fearing,1
185,future,1
186,not,5
187,himself,1
188,but,1
189,others,1
190,surmounted,1
191,many,2
192,obstacles,1
193,only,1
194,encounter,1
195,thought,1
196,set,1
197,aside,1
198,good,1
199,diagnosed,1
200,struggled,1
201,uncharacteristic,1
202,rage,1
203,felt,1
204,enclosed,1
205,smug,1
206,bubble,1
207,spared,1
208,understanding,1
209,misfortune,1
210,be,2
211,random,1
212,inexplicable,1
213,over,1
214,have,2
215,learned,1
216,anger,1
217,sadly,1
218,misplaced,1
219,watched,1
220,tragedy,1
221,touch,1
222,too,1
223,schadenfreude,1
224,no,1
225,remedy,1
226,wish,1
227,endured,1
228,anyone,1
229,even,1
230,legislators,1
231,voted,1
232,take,1
233,protection,1
234,gave,1
235,such,1
236,relief,1
237,do,1
238,n’t,1
239,really,1
240,theory,1
241,which,1
242,efficient,1
243,way,1
244,rein,1
245,costs,1
246,give,1
247,most,1
248,choices,1
249,preserving,1
250,principle,1
251,people,1
252,should,1
253,punished,1
254,fate,1
255,they,1
256,control,1
257,seems,1
258,fundamental,1
259,at,1
260,end,1
261,ideology,1
262,’s,1
263,humanity,1
