,term,count
0,in,15
1,of,28
2,my,6
3,favorite,1
4,photographs,1
5,mother,15
6,she,20
7,’s,15
8,about,9
9,and,29
10,very,2
11,tan,1
12,with,3
13,long,2
14,blond,1
15,hair,1
16,it,9
17,the,36
18,1970s,1
19,wearing,1
20,a,36
21,white,1
22,midriff,1
23,cutoffs,1
24,dad,1
25,is,12
26,there,3
27,too,2
28,hugging,1
29,her,19
30,from,5
31,behind,1
32,looks,2
33,they,7
34,’re,3
35,somewhere,1
36,rural,1
37,maybe,1
38,some,1
39,pastoral,1
40,patch,1
41,small,1
42,town,1
43,new,1
44,jersey,1
45,where,2
46,met,1
47,i,11
48,have,4
49,n’t,7
50,seen,1
51,this,6
52,photo,6
53,for,9
54,years,4
55,no,2
56,idea,2
57,now,4
58,but,4
59,still,2
60,think,2
61,specifically,1
62,mom,6
63,really,1
64,sexy,1
65,wars,1
66,been,2
67,waged,1
68,over,1
69,less,1
70,impressive,1
71,waist,1
72,to,16
73,hip,1
74,ratios,1
75,so,3
76,young,6
77,innocent,2
78,has,2
79,yet,1
80,dropped,1
81,out,2
82,college,2
83,or,14
84,gotten,1
85,married,2
86,woman,7
87,that,7
88,life,2
89,will,1
90,bring,1
91,children,1
92,grandchildren,1
93,conversion,1
94,judaism,1
95,divorce,1
96,marriages,1
97,move,1
98,across,1
99,country,1
100,me,4
101,as,11
102,many,2
103,daughters,5
104,time,7
105,before,5
106,became,1
107,string,1
108,stories,3
109,told,1
110,retold,1
111,got,2
112,hit,1
113,by,2
114,car,1
115,had,1
116,amnesia,1
117,sold,1
118,childhood,2
119,barbie,1
120,buy,1
121,ticket,1
122,woodstock,1
123,worked,1
124,waitress,1
125,at,4
126,howard,1
127,johnson,1
128,struggling,1
129,pay,1
130,way,1
131,through,1
132,first,1
133,year,1
134,rutgers,1
135,old,3
136,photos,6
137,are,5
138,even,4
139,more,1
140,compelling,1
141,than,2
142,because,2
143,historical,1
144,record,1
145,carrying,1
146,weight,1
147,fact,1
148,if,3
149,truth,1
150,slippery,1
151,trick,1
152,an,5
153,image,2
154,much,1
155,left,1
156,outside,1
157,frame,1
158,these,7
159,serve,1
160,visual,1
161,accompaniment,1
162,myths,1
163,any,1
164,story,1
165,your,1
166,part,2
167,myth,1
168,after,2
169,finishing,1
170,most,2
171,recent,1
172,novel,1
173,daughter,2
174,relationships,1
175,put,1
176,call,1
177,on,1
178,social,1
179,media,1
180,women,3
181,their,5
182,mothers,9
183,were,2
184,character,1
185,book,1
186,artist,1
187,does,2
188,something,3
189,similar,1
190,’d,1
191,thought,1
192,lot,1
193,what,3
194,process,1
195,might,1
196,be,4
197,like,4
198,was,6
199,prepared,1
200,however,1
201,how,3
202,powerful,1
203,images,1
204,received,1
205,would,1
206,pictures,1
207,beautiful,1
208,fierce,1
209,sassy,1
210,goofy,1
211,cool,1
212,sweet,1
213,sometimes,2
214,all,3
215,once,1
216,asked,1
217,contributors,1
218,tell,1
219,moms,3
220,submitted,1
221,often,2
222,wrote,1
223,specific,1
224,special,1
225,present,2
226,day,1
227,smile,1
228,say,1
229,posture,1
230,earlier,1
231,version,1
232,solace,1
233,know,2
234,aging,1
235,motherhood,2
236,can,2
237,not,1
238,take,1
239,away,1
240,essential,1
241,identity,1
242,who,1
243,closely,1
244,resemble,1
245,must,1
246,bigger,1
247,comfort,1
248,twins,1
249,separated,1
250,generation,1
251,serves,1
252,kind,1
253,mirror,1
254,do,2
255,look,1
256,resemblance,1
257,we,11
258,ca,1
259,help,1
260,compare,1
261,ourselves,1
262,our,5
263,locate,1
264,myself,1
265,slope,1
266,shoulders,1
267,said,1
268,contributor,1
269,molly,1
270,makes,1
271,feel,2
272,adjacent,1
273,coolness,1
274,deepens,1
275,mystery,1
276,emma,2
277,whose,2
278,died,1
279,when,1
280,says,1
281,cobbles,1
282,together,1
283,other,2
284,people,1
285,memories,1
286,those,1
287,points,1
288,only,1
289,give,1
290,outline,1
291,writes,1
292,let,1
293,alone,1
294,shadow,1
295,full,1
296,likeness,1
297,person,2
298,heard,1
299,plenty,1
300,early,1
301,little,1
302,graduated,1
303,calls,1
304,period,1
305,lost,1
306,notes,2
307,age,2
308,same,1
309,phase,1
310,us,1
311,find,1
312,breezy,1
313,toughness,1
314,bygone,1
315,versions,2
316,envy,1
317,kid,1
318,tied,1
319,down,1
320,hitchhiking,1
321,playing,1
322,softball,1
323,guys,1
324,julia,1
325,transcribing,1
326,tapes,1
327,war,1
328,reporter,1
329,casual,1
330,thing,1
331,world,1
332,paria,1
333,fled,1
334,iran,1
335,during,1
336,revolution,1
337,resilience,1
338,then,1
339,maintains,1
340,joie,1
341,vivre,1
342,sent,1
343,offer,1
344,key,1
345,want,1
346,perceive,1
347,womanhood,2
348,pluck,1
349,sex,1
350,appeal,1
351,power,1
352,kindness,1
353,persistence,1
354,admire,1
355,celebrate,1
356,characteristics,2
357,past,1
358,embody,1
359,them,3
360,prerequisite,1
361,properly,1
362,executed,1
363,becoming,1
364,divest,1
365,such,1
366,qualities,1
367,studying,1
368,each,1
369,interpretation,1
370,’ve,2
371,come,2
372,wonder,1
373,traits,1
374,allow,1
375,which,1
376,ones,1
377,view,1
378,temporary,1
379,expiring,1
380,beginning,1
381,both,2
382,sexual,1
383,maternal,1
384,daring,1
385,responsible,1
386,wise,1
387,either,1
388,held,1
389,up,1
390,paragons,1
391,selflessness,1
392,discounted,1
393,parodied,1
394,see,2
395,complexity,1
396,chasm,1
397,bridge,1
398,picture,1
399,someone,1
400,also,2
401,exactly,1
402,right,1
403,finally,1
404,whether,1
405,nurturing,1
406,disapproving,1
407,thoughtful,1
408,delusional,1
409,pestering,1
410,supportive,1
411,sentimental,1
412,mysterious,1
413,fun,1
414,brave,1
415,babe,1
416,here,1
