,term,count
0,happy,1
1,mother,1
2,’s,10
3,day,2
4,to,24
5,all,3
6,us,4
7,grandmothers,1
8,we,31
9,band,1
10,of,20
11,lovesick,1
12,indulgers,1
13,whose,1
14,ability,1
15,say,2
16,no,4
17,seems,1
18,be,2
19,disabled,1
20,the,42
21,our,12
22,grandbabies,1
23,are,9
24,born,2
25,sneak,1
26,them,9
27,candy,1
28,when,7
29,mom,1
30,says,1
31,let,1
32,play,1
33,on,11
34,ipads,1
35,read,3
36,fancy,1
37,nancy,1
38,over,6
39,and,30
40,get,8
41,out,7
42,wallets,1
43,whenever,1
44,they,5
45,point,1
46,something,1
47,i,12
48,want,2
49,dat,1
50,yup,1
51,that,12
52,it,7
53,grampa,1
54,too,1
55,someone,1
56,wise,1
57,said,4
58,if,3
59,god,1
60,had,3
61,asked,2
62,abraham,1
63,sacrifice,1
64,his,1
65,grandson,1
66,he,2
67,’d,1
68,have,6
69,way’,1
70,as,9
71,a,29
72,demographic,1
73,swelled,1
74,into,3
75,giant,1
76,bulge,1
77,in,14
78,population,1
79,there,4
80,more,9
81,than,8
82,new,4
83,grandparents,6
84,united,1
85,states,1
86,every,1
87,week,3
88,many,5
89,revolutionaries,1
90,1960s,1
91,’70s,1
92,pioneer,1
93,women,3
94,who,4
95,entered,1
96,white,2
97,collar,1
98,work,2
99,force,1
100,well,3
101,now,2
102,years,2
103,later,1
104,these,1
105,same,2
106,pioneers,2
107,again,1
108,this,2
109,time,5
110,reinventing,1
111,grandparenting,1
112,way,2
113,is,14
114,’re,7
115,grandchildren,4
116,lives,2
117,ever,1
118,before,1
119,whether,1
120,from,3
121,across,1
122,country,1
123,thanks,2
124,skype,1
125,facetime,1
126,or,4
127,granny,2
128,nannies,1
129,some,2
130,cases,1
131,full,1
132,my,4
133,generation,1
134,spending,2
135,money,5
136,percent,2
137,did,2
138,just,4
139,ago,1
140,doling,1
141,for,7
142,instance,1
143,roughly,1
144,year,1
145,primary,1
146,secondary,1
147,school,2
148,tuition,1
149,also,2
150,everyday,1
151,needs,1
152,like,3
153,baby,5
154,food,1
155,clothes,1
156,tricycles,1
157,big,1
158,ticket,1
159,items,1
160,crib,2
161,stroller,1
162,piano,1
163,was,3
164,me,4
165,straightening,1
166,their,10
167,teeth,1
168,little,1
169,older,2
170,whispered,1
171,do,4
172,n’t,4
173,use,1
174,name,1
175,but,2
176,bought,2
177,house,3
178,pay,2
179,rent,2
180,know,3
181,couple,1
182,moved,1
183,stabilized,1
184,apartment,2
185,so,3
186,daughter,3
187,could,2
