,term,count
0,this,2
1,article,1
2,is,6
3,part,1
4,of,13
5,the,32
6,opinion,1
7,today,1
8,newsletter,1
9,you,2
10,can,2
11,sign,1
12,up,4
13,here,4
14,to,9
15,receive,1
16,more,4
17,briefings,1
18,and,9
19,a,10
20,guide,1
21,section,1
22,daily,1
23,in,10
24,your,1
25,inbox,1
26,white,1
27,house,1
28,’s,4
29,new,2
30,commission,3
31,on,7
32,election,2
33,integrity,1
34,has,4
35,simple,1
36,if,2
37,unstated,1
38,goal,1
39,creating,1
40,hurdles,1
41,that,6
42,make,2
43,voting,5
44,difficult,1
45,especially,1
46,for,5
47,low,3
48,income,3
49,latino,1
50,african,2
51,american,4
52,citizens,2
53,being,2
54,led,1
55,by,2
56,mike,1
57,pence,2
58,vice,1
59,president,2
60,former,1
61,governor,1
62,indiana,2
63,kris,1
64,kobach,3
65,kansas,2
66,secretary,1
67,state,4
68,those,1
69,states,2
70,have,2
71,put,2
72,place,1
73,several,1
74,vote,2
75,suppression,3
76,techniques,1
77,may,1
78,end,1
79,models,1
80,want,1
81,know,2
82,what,1
83,such,1
84,voter,3
85,intimidation,1
86,looks,1
87,like,1
88,take,2
89,look,1
90,at,3
91,home,1
92,where,1
93,police,1
94,october,1
95,raided,1
96,offices,1
97,group,1
98,working,1
99,register,1
100,voters,2
101,ari,1
102,berman,3
103,author,1
104,book,1
105,give,1
106,us,1
107,ballot,3
108,writes,2
109,nation,1
110,been,2
111,driving,1
112,force,1
113,within,1
114,gop,1
115,behind,1
116,policies,1
117,erect,1
118,barriers,1
119,box,2
120,most,2
121,fervent,1
122,evangelist,1
123,unproven,1
124,fraud,1
125,claims,2
126,jamelle,1
127,bouie,3
128,slate,2
129,obstacles,1
130,tried,1
131,between,1
132,an,2
133,important,1
134,caveat,1
135,we,2
136,still,1
137,do,2
138,n’t,1
139,whether,1
140,changed,1
141,outcome,1
142,any,2
143,presidential,1
144,despite,1
145,some,1
146,recent,2
147,from,1
148,political,1
149,left,1
150,smart,1
151,piece,1
152,josh,1
153,voorhees,1
154,walks,1
155,through,1
156,evidence,1
157,he,3
158,ends,1
159,skeptical,1
160,but,1
161,as,2
162,points,1
163,out,1
164,disenfranchising,1
165,shameful,1
166,regardless,1
167,its,2
168,short,1
169,term,1
170,consequences,1
171,makes,1
172,even,1
173,broader,1
174,point,1
175,’re,1
176,very,1
177,dangerous,1
178,moment,1
179,democracy,3
180,right,2
181,now,1
182,when,1
183,core,1
184,institutions,1
185,our,1
186,democratic,2
187,system,1
188,repeatedly,1
189,attacked,1
190,united,1
191,adds,1
192,saving,1
193,urgent,1
194,fight,1
195,trump,2
196,era,1
197,begins,1
198,his,1
199,attack,1
200,party,2
201,should,1
202,rights,3
203,rallying,1
204,cry,1
205,first,1
206,order,1
207,priority,1
208,democrat,1
209,wins,1
210,office,1
211,than,1
212,potential,1
213,advantage,1
214,it,2
215,simply,1
216,thing,1
217,statement,1
218,belief,1
219,stage,1
220,needs,1
221,all,1
222,help,1
223,get,1
224,stay,1
225,date,1
226,i,1
227,recommend,1
228,following,1
229,twitter,1
230,my,1
231,own,1
232,available,1
233,times,1
234,editorial,1
235,act,1
