,term,count
0,as,7
1,trump,2
2,does,2
3,his,1
4,best,1
5,to,21
6,destroy,1
7,the,41
8,world,1
9,’s,11
10,hopes,1
11,of,20
12,reining,1
13,in,16
14,climate,6
15,change,3
16,let,1
17,be,12
18,clear,2
19,about,10
20,thing,3
21,this,8
22,has,2
23,nothing,1
24,do,6
25,with,7
26,serving,1
27,america,1
28,national,1
29,interest,1
30,us,2
31,economy,7
32,particular,1
33,would,15
34,just,1
35,fine,1
36,under,1
37,paris,2
38,accord,2
39,is,9
40,n’t,8
41,nationalism,1
42,mainly,1
43,it,15
44,sheer,2
45,spite,2
46,economics,1
47,at,1
48,point,2
49,i,4
50,think,1
51,we,8
52,have,3
53,a,8
54,pretty,1
55,good,2
56,idea,1
57,what,2
58,low,3
59,emissions,2
60,look,2
61,like,4
62,’m,1
63,sure,1
64,that,14
65,energy,6
66,experts,1
67,will,2
68,disagree,1
69,on,6
70,details,1
71,but,6
72,broad,1
73,outline,1
74,hard,2
75,describe,1
76,clearly,1
77,an,5
78,running,1
79,electricity,3
80,electric,2
81,cars,2
82,heat,1
83,internal,1
84,combustion,1
85,engines,1
86,rare,1
87,bulk,1
88,turn,1
89,come,1
90,from,4
91,nonpolluting,1
92,sources,2
93,wind,4
94,solar,3
95,and,23
96,yes,1
97,probably,3
98,nuclear,1
99,course,1
100,sometimes,1
101,blow,1
102,or,1
103,sun,1
104,shine,1
105,when,3
106,people,4
107,want,1
108,power,3
109,there,4
110,are,4
111,multiple,1
112,ways,1
113,deal,1
114,issue,3
115,robust,1
116,grid,1
117,can,2
118,ship,1
119,where,1
120,needed,1
121,storage,2
122,various,1
123,forms,1
124,batteries,1
125,also,1
126,maybe,1
127,things,2
128,pumped,1
129,hydro,1
130,dynamic,1
131,pricing,1
132,encourages,1
133,customers,1
134,use,1
135,less,1
136,scarce,1
137,more,3
138,some,3
139,surge,1
140,capacity,1
141,relatively,1
142,emission,1
143,natural,1
144,gas,1
145,fired,1
146,generators,1
147,cope,1
148,whatever,1
149,mismatch,1
150,remains,1
151,life,2
152,made,2
153,such,1
154,transition,3
155,almost,2
156,indistinguishable,1
157,now,1
158,still,1
159,drive,1
160,live,1
161,houses,1
162,were,1
163,heated,1
164,winter,1
165,cooled,1
166,summer,1
167,watch,1
168,videos,1
169,superheroes,1
170,funny,1
171,cats,1
172,lot,1
173,turbines,1
174,panels,1
175,most,1
176,ignore,2
177,them,1
178,same,2
179,way,2
180,currently,1
181,smokestacks,1
182,conventional,1
183,plants,1
184,expensive,1
185,alternative,2
186,not,3
187,by,6
188,much,4
189,technological,1
190,progress,2
191,drastically,1
192,reduced,2
193,their,2
194,cost,1
195,looks,2
196,if,4
197,starting,1
198,happen,1
199,meanwhile,1
200,compensating,1
201,benefits,2
202,notably,1
203,adverse,1
204,health,3
205,effects,1
206,air,1
207,pollution,1
208,greatly,1
209,quite,2
210,possible,1
211,lower,1
212,care,1
213,costs,3
214,all,5
215,themselves,1
216,make,1
217,up,2
218,for,6
219,even,2
220,ignoring,1
221,whole,1
222,saving,1
223,civilization,2
224,catastrophic,1
225,while,2
226,tackling,1
227,envisaged,1
228,used,1
229,engineering,1
230,economic,1
231,problem,1
232,these,2
233,days,2
234,fairly,1
235,easy,1
236,technology,1
237,need,2
238,confident,1
239,developing,1
240,rest,1
241,obviously,1
242,phasing,1
243,out,1
244,fossil,1
245,fuels,1
246,take,1
247,time,1
248,ok,1
249,long,2
250,path,1
251,was,1
252,why,1
253,then,1
254,so,1
255,many,1
256,right,4
257,determined,1
258,block,1
259,action,4
260,trying,2
261,sabotage,1
262,’ve,3
263,been,1
264,making,1
265,new,1
266,tell,2
267,me,2
268,they,2
269,’re,3
270,honestly,1
271,worried,1
272,inherent,1
273,uncertainty,2
274,projections,1
275,term,1
276,policy,2
277,choices,1
278,must,1
279,face,1
280,uncertain,1
281,future,1
282,duh,1
283,scientific,2
284,consensus,2
285,here,1
286,you,2
287,ever,1
288,likely,1
289,see,1
290,any,3
291,case,2
292,arguably,1
293,strengthens,1
294,because,1
295,getting,1
296,wrong,1
297,asymmetric,1
298,too,3
299,wasted,1
300,money,1
301,little,1
302,doomed,1
303,coal,3
304,miners,2
305,anyone,1
306,who,1
307,really,1
308,cared,1
309,those,1
310,crusading,1
311,protect,1
312,disability,1
313,pension,1
314,provide,1
315,employment,1
316,opportunities,1
317,pretending,1
318,environmental,1
319,irresponsibility,1
320,somehow,1
321,bring,1
322,back,1
323,jobs,2
324,lost,1
325,strip,1
326,mining,1
327,mountaintop,1
328,removal,1
329,wing,2
330,anti,2
331,environmentalism,1
332,part,1
333,protecting,1
334,profits,1
335,industry,1
336,which,1
337,gave,1
338,percent,1
339,its,1
340,political,1
341,contributions,1
342,republicans,1
343,said,1
344,however,1
345,fight,1
346,against,2
347,largely,1
348,driven,2
349,pay,1
350,attention,1
351,modern,1
352,discourse,1
353,including,1
354,op,1
355,ed,1
356,articles,1
357,top,1
358,officials,1
359,find,1
360,deep,1
361,hostility,1
362,notion,1
363,problems,1
364,require,1
365,collective,1
366,beyond,2
367,shooting,1
368,blowing,1
369,today,1
370,seems,1
371,above,1
372,animus,1
373,toward,1
374,liberals,3
375,rather,1
376,than,1
377,specific,1
378,issues,1
379,hate,1
380,add,1
381,intellectualism,1
382,gop,1
383,base,1
384,whom,1
385,minus,1
386,plus,1
387,extra,1
388,bonus,1
389,points,1
390,undermining,1
391,anything,1
392,associated,1
393,president,1
394,barack,1
395,obama,1
396,sounds,1
397,petty,1
398,vindictive,1
399,basis,1
400,momentous,1
401,decisions,1
402,consider,1
403,character,1
404,man,1
405,white,1
406,house,1
407,say,1
