,term,count
0,after,1
1,trump,9
2,’s,17
3,surprise,2
4,election,3
5,victory,2
6,many,2
7,people,1
8,on,5
9,the,43
10,right,2
11,and,19
12,even,3
13,in,16
14,center,1
15,tried,1
16,to,30
17,make,3
18,case,1
19,that,24
20,he,8
21,would,5
22,n’t,5
23,really,4
24,be,9
25,bad,3
26,every,2
27,time,1
28,showed,1
29,a,15
30,hint,2
31,of,22
32,self,1
33,restraint,1
34,if,4
35,it,18
36,amounted,1
37,nothing,1
38,more,1
39,than,2
40,reading,1
41,his,11
42,lines,1
43,without,1
44,ad,1
45,libbing,1
46,laying,1
47,off,1
48,twitter,1
49,for,10
50,day,1
51,or,5
52,pundits,1
53,rushed,1
54,declare,1
55,had,1
56,just,5
57,become,1
58,president,3
59,but,8
60,can,5
61,we,5
62,now,2
63,admit,1
64,is,17
65,as,6
66,worse,1
67,harshest,1
68,critics,1
69,predicted,1
70,not,4
71,contempt,1
72,rule,1
73,law,1
74,which,4
75,came,2
76,through,2
77,so,6
78,clearly,3
79,james,1
80,comey,1
81,testimony,1
82,legal,1
83,scholar,1
84,jeffrey,1
85,toobin,1
86,says,1
87,this,5
88,obstruction,1
89,justice,1
90,what,4
91,there,4
92,also,1
93,way,4
94,character,1
95,combination,1
96,petty,1
97,vindictiveness,1
98,with,5
99,sheer,2
100,laziness,1
101,leaves,1
102,him,2
103,up,4
104,doing,2
105,job,2
106,huge,2
107,problem,2
108,think,1
109,minute,1
110,how,3
111,much,1
112,damage,2
113,man,2
114,has,4
115,done,1
116,multiple,1
117,fronts,1
118,months,1
119,take,5
120,health,2
121,care,1
122,still,1
123,unclear,1
124,whether,2
125,republicans,2
126,will,4
127,ever,1
128,able,1
129,pass,1
130,replacement,1
131,obamacare,3
132,although,1
133,clear,2
134,they,1
135,do,4
136,coverage,2
137,away,1
138,from,2
139,tens,1
140,millions,1
141,whatever,2
142,happens,1
143,legislative,1
144,front,1
145,are,3
146,big,3
147,problems,1
148,developing,1
149,insurance,2
150,markets,2
151,speak,1
152,companies,1
153,pulling,1
154,out,2
155,leaving,1
156,some,3
157,parts,1
158,country,1
159,unserved,1
160,asking,1
161,large,3
162,increases,1
163,premiums,2
164,why,2
165,may,2
166,say,2
167,because,3
168,an,3
169,unworkable,1
170,system,1
171,were,2
172,stabilizing,1
173,last,2
174,fall,1
175,instead,1
176,insurers,1
177,themselves,1
178,have,5
179,been,1
180,explaining,1
181,uncertainty,1
182,created,1
183,by,1
184,company,1
185,especially,1
186,failure,1
187,crucial,3
188,subsidies,2
189,maintained,1
190,north,1
191,carolina,1
192,example,1
193,blue,2
194,cross,1
195,shield,1
196,filed,1
197,percent,2
198,rise,1
199,declared,1
200,asked,1
201,only,1
202,sure,1
203,cost,1
204,sharing,1
205,continue,1
206,received,1
207,assurance,1
208,believes,1
209,own,2
210,assertions,1
211,cause,1
212,collapse,1
213,then,1
214,get,1
215,voters,1
216,blame,1
217,democrats,1
218,too,2
219,busy,1
220,rage,1
221,tweeting,1
222,golfing,1
223,deal,1
224,issue,1
225,hard,1
226,tell,1
227,either,1
228,no,3
229,policy,4
230,remarkable,1
231,decision,1
232,saudi,1
233,arabia,1
234,side,2
235,its,4
236,dispute,1
237,qatar,3
238,small,1
239,nation,1
240,houses,1
241,us,3
242,military,1
243,base,2
244,good,1
245,guys,1
246,quarrel,1
247,reason,1
248,stay,1
249,middle,1
250,was,3
251,strategic,1
252,vision,1
253,sources,1
254,suggest,2
255,known,1
256,about,6
257,role,1
258,most,2
259,likely,1
260,explanation,1
261,actions,1
262,provoked,1
263,crisis,1
264,region,1
265,pushed,1
266,into,1
267,arms,1
268,iran,1
269,saudis,1
270,flattered,1
271,ritz,1
272,carlton,1
273,projected,1
274,story,1
275,image,1
276,face,1
277,riyadh,1
278,property,1
279,their,2
280,lobbyists,1
281,spent,1
282,sums,1
283,at,1
284,washington,1
285,hotel,1
286,normally,1
287,consider,2
288,ridiculous,1
289,american,2
290,could,1
291,ignorant,1
292,issues,1
293,led,1
294,dangerous,1
295,foreign,2
296,moves,1
297,such,1
298,crude,1
299,inducements,1
300,believe,1
301,who,2
302,ca,1
303,accept,1
304,truth,1
305,size,1
306,inauguration,1
307,crowds,1
308,boasts,1
309,inappropriate,1
310,circumstances,1
311,yes,1
312,refusal,2
313,endorse,1
314,central,1
315,principle,1
316,nato,1
317,obligation,1
318,come,2
319,our,1
320,allies’,1
321,defense,1
322,shock,1
323,team,1
324,nobody,1
325,knows,1
326,worth,1
327,considering,1
328,apparently,1
329,ranted,1
330,european,1
331,union,1
332,leaders,1
333,difficulty,1
334,setting,1
335,golf,1
336,courses,1
337,nations,1
338,maybe,1
339,petulance,1
340,point,1
341,again,1
342,everything,1
343,suggests,1
344,neither,1
345,being,1
346,nor,1
347,willing,1
348,step,1
349,aside,1
350,let,1
351,others,1
352,work,1
353,already,1
354,starting,1
355,real,2
356,consequences,1
357,disrupted,1
358,ruined,1
359,alliances,1
360,lost,2
361,credibility,1
362,world,1
363,stage,1
364,you,1
365,stocks,1
366,true,1
367,while,1
368,wall,1
369,street,1
370,initial,1
371,enthusiasm,1
372,trumponomics,1
373,dollar,1
374,back,1
375,down,1
376,pre,1
377,levels,1
378,investors,1
379,businesses,1
380,seem,1
381,pricing,1
382,risk,3
383,disastrous,1
384,however,1
385,all,1
386,suspects,1
387,money,1
388,tends,1
389,equate,1
390,wealth,1
391,virtue,1
392,realize,1
393,presidency,1
394,ways,1
395,sort,1
396,elected,1
397,monarchy,1
398,temperamentally,1
399,intellectually,1
400,unqualified,1
401,leader,1
402,immense,1
403,happening,1
404,’re,1
405,barely,1
406,tenth,1
407,first,1
408,term,1
409,worst,1
410,almost,1
411,surely,1
412,yet,1
