,term,count
0,this,2
1,article,1
2,is,13
3,part,2
4,of,23
5,the,54
6,opinion,2
7,today,2
8,newsletter,2
9,you,4
10,can,6
11,sign,1
12,up,1
13,here,3
14,to,24
15,receive,1
16,more,4
17,briefings,1
18,and,16
19,a,24
20,guide,1
21,section,1
22,daily,1
23,in,14
24,your,1
25,inbox,1
26,young,2
27,people,2
28,united,3
29,states,3
30,britain,3
31,have,4
32,something,3
33,common,1
34,they,4
35,’re,2
36,both,1
37,living,2
38,with,4
39,political,7
40,reality,1
41,that,14
42,do,3
43,n’t,5
44,like,3
45,voters,2
46,under,1
47,preferred,1
48,hillary,1
49,clinton,1
50,donald,1
51,trump,12
52,by,2
53,landslide,1
54,margin,1
55,under30,1
56,vote,1
57,overwhelmingly,1
58,rejected,1
59,brexit,3
60,wanted,1
61,remain,1
62,europe,1
63,but,4
64,now,2
65,it,10
66,looks,1
67,brits,1
68,at,3
69,least,2
70,may,4
71,be,4
72,starting,1
73,take,1
74,their,1
75,revenge,1
76,shocking,1
77,result,2
78,’s,15
79,conservative,2
80,party,6
81,led,1
82,theresa,1
83,failed,1
84,win,1
85,majority,1
86,last,3
87,night,3
88,remains,1
89,largest,1
90,yet,2
91,its,2
92,surprisingly,1
93,poor,1
94,showing,1
95,leaves,2
96,country,1
97,situation,1
98,unclear,1
99,own,2
100,future,1
101,as,5
102,leader,2
103,doubt,1
104,are,6
105,negotiations,1
106,early,1
107,signs,1
108,suggest,1
109,surge,1
110,turnout,3
111,younger,2
112,who,1
113,backed,1
114,labour,2
115,proudly,1
116,leftist,1
117,jeremy,1
118,corbyn,3
119,explains,1
120,surprise,2
121,if,4
122,so,3
123,potential,1
124,lessons,1
125,for,9
126,democratic,1
127,will,2
128,large,1
129,democrats,4
130,also,2
131,translate,1
132,anger,1
133,among,2
134,americans,1
135,over,2
136,rather,2
137,than,5
138,into,2
139,higher,1
140,would,3
141,big,2
142,deal,1
143,because,1
144,millenials,1
145,was,2
146,only,1
147,percent,2
148,year,1
149,compared,1
150,baby,1
151,boomers,1
152,perhaps,1
153,most,1
154,obvious,1
155,question,3
156,whether,2
157,should,2
158,adopt,1
159,same,1
160,unabashed,1
161,populism,1
162,real,2
163,kind,2
164,not,4
165,did,3
166,taste,1
167,watch,1
168,brief,1
169,campaign,2
170,commercial,1
171,my,1
172,instinct,1
173,bolder,1
174,message,1
175,from,4
176,on,7
177,stagnation,1
178,middle,1
179,class,1
180,standards,2
181,make,1
182,sense,1
183,important,2
184,exaggerate,1
185,british,3
186,conservatives,1
187,still,1
188,won,1
189,seats,2
190,complicated,1
191,politician,1
192,avoid,1
193,parts,1
194,his,10
195,approach,1
196,clearly,1
197,good,1
198,him,4
199,left,1
200,bad,1
201,one,2
202,right,1
203,coming,1
204,diagnosis,1
205,bears,1
206,watching,1
207,too,1
208,i,6
209,hope,3
210,’ll,1
211,pardon,1
212,longer,1
213,usual,1
214,given,1
215,torrent,1
216,news,1
217,want,2
218,turn,1
219,james,1
220,comey,9
221,testimony,3
222,much,1
223,reaction,1
224,has,3
225,focused,1
226,president,6
227,committed,2
228,obstruction,4
229,justice,4
230,mistake,1
231,does,1
232,need,1
233,done,1
234,very,2
235,wrong,2
236,believe,1
237,indeed,1
238,multiple,1
239,occasions,1
240,he,4
241,tried,1
242,influence,1
243,an,2
244,investigation,2
245,demanded,1
246,loyalty,1
247,truth,1
248,understand,1
249,why,1
250,focusing,1
251,technical,1
252,legal,4
253,issues,1
254,ultimately,2
255,well,2
256,primary,1
257,ways,1
258,held,1
259,accountable,1
260,behavior,1
261,poll,1
262,ratings,2
263,fall,2
264,which,4
265,leads,1
266,allies,1
267,abandon,1
268,lose,2
269,less,2
270,power,2
271,himself,2
272,re,1
273,election,1
274,first,1
275,term,1
276,even,1
277,impeachment,1
278,process,1
279,constitutional,2
280,scholars,1
281,say,1
282,there,2
283,no,1
284,substantive,1
285,reason,2
286,argue,1
287,about,1
288,things,1
289,or,3
290,similar,1
291,minutiae,1
292,scientist,1
293,matt,1
294,glassman,3
295,tweeted,1
296,explained,2
297,potus,2
298,behave,1
299,improperly,1
300,abuse,1
301,attempt,1
302,manipulate,1
303,system,1
304,hide,1
305,others,1
306,wrongdoings,1
307,unless,1
308,shown,1
309,unreliable,1
310,every,1
311,trust,1
312,answer,1
313,yes,1
314,hearing,1
315,damaged,1
316,already,2
317,troubled,1
318,standing,1
319,few,1
320,pieces,1
321,found,2
322,illuminating,1
323,know,1
324,defenders,1
325,continue,1
326,trying,1
327,wave,1
328,all,1
329,away,1
330,becoming,1
331,clear,1
332,how,2
333,keeps,1
334,making,1
335,harder,1
336,them,1
337,emily,1
338,bazelon,1
339,times,2
340,wrote,3
341,exchange,1
342,elizabeth,1
343,goitein,1
344,overall,1
345,gets,1
346,impression,1
347,views,1
348,republic,1
349,dictatorial,1
350,ceo,1
351,private,1
352,company,1
353,david,2
354,french,1
355,national,1
356,review,1
357,argued,1
358,many,1
359,observers,1
360,missing,1
361,importance,1
362,republicans’,1
363,tepid,1
364,support,1
365,true,1
366,thrown,1
367,overboard,1
368,cold,1
369,comfort,1
370,job,1
371,needs,1
372,positive,1
373,help,1
374,just,1
375,minimal,1
376,tolerance,1
377,bipartisan,1
378,consensus,1
379,senate,1
380,word,1
381,worth,1
382,anything,1
383,beyond,1
384,scandal,1
385,nate,1
386,silver,1
387,noted,1
388,approval,1
389,continued,1
390,lately,1
391,dan,1
392,epps,1
393,law,1
394,professor,1
395,washington,1
396,university,1
397,use,1
398,could,1
399,convey,1
400,threat,1
401,adam,1
402,liptak,1
403,victoria,1
404,kwan,1
405,cases,1
406,federal,1
407,courts,1
408,connected,1
409,statement,1
410,fivethirtyeight,1
411,analyzed,1
412,subjects,1
413,discuss,1
414,susan,1
415,glasser,1
416,carol,1
417,leonnig,1
418,note,1
419,clues,1
420,where,1
421,go,1
422,possibility,1
423,involves,1
424,jeff,1
425,sessions,1
426,attorney,1
427,general,1
428,full,1
429,report,1
430,follows,1
431,including,1
432,brooks,1
433,roger,1
434,cohen,1
435,paul,1
436,krugman,1
437,sara,1
438,lipton,1
439,andy,1
440,rosenthal,1
441,editorial,1
442,board,1
443,day,1
444,particularly,1
445,recommend,1
446,nicole,1
447,serratore,1
448,link,1
449,between,1
450,sexual,1
451,harassment,1
