,term,count
0,last,3
1,week,2
2,in,18
3,highly,2
4,anticipated,1
5,senate,5
6,testimony,2
7,fired,1
8,fbi,1
9,director,1
10,james,1
11,comey,9
12,delivered,1
13,a,36
14,stinging,1
15,rebuke,1
16,and,25
17,strong,1
18,indictment,1
19,of,23
20,trump,15
21,as,6
22,an,2
23,abuser,1
24,power,1
25,twister,1
26,arms,1
27,above,1
28,all,1
29,spewer,1
30,lies,2
31,no,9
32,fewer,1
33,than,2
34,times,3
35,did,1
36,accuse,1
37,lying,1
38,the,48
39,white,2
40,house,8
41,’s,9
42,response,1
43,issued,1
44,from,5
45,mouth,1
46,spokeswoman,1
47,sarah,1
48,huckabee,1
49,sanders,1
50,i,8
51,can,1
52,definitely,1
53,say,2
54,president,6
55,is,23
56,not,8
57,liar,3
58,think,2
59,it,10
60,frankly,1
61,insulting,1
62,that,16
63,question,3
64,would,3
65,be,9
66,asked,1
67,you,2
68,saying,1
69,he,7
70,lie,2
71,american,3
72,people,2
73,who,3
74,are,4
75,insulted,1
76,took,1
77,to,16
78,twitter,1
79,on,6
80,friday,3
81,morning,1
82,writing,1
83,despite,1
84,so,3
85,many,3
86,false,1
87,statements,1
88,total,1
89,complete,3
90,vindication,2
91,wow,1
92,leaker,2
93,too,2
94,was,5
95,during,1
96,rose,1
97,garden,1
98,press,1
99,conference,1
100,afternoon,1
101,with,6
102,romania,1
103,answered,2
104,why,1
105,felt,1
106,by,6
107,speaking,1
108,hodgepodge,1
109,hashtags,1
110,collusion,1
111,obstruction,1
112,if,3
113,america,2
114,confronted,1
115,said,2
116,standoff,1
117,between,1
118,former,1
119,having,1
120,documented,1
121,history,1
122,pathological,1
123,latter,1
124,whom,1
125,grants,1
126,benefit,1
127,doubt,1
128,easily,1
129,yet,1
130,there,4
131,something,1
132,seemed,1
133,find,1
134,unsatisfying,1
135,about,4
136,knockout,1
137,blow,1
138,n’t,2
139,penultimate,1
140,moment,3
141,guaranteed,1
142,impeachment,6
143,but,8
144,rather,1
145,just,2
146,another,1
147,what,1
148,will,4
149,likely,3
150,plodding,1
151,inquiry,1
152,this,7
153,becomes,1
154,critical,1
155,increasingly,1
156,urgent,1
157,for,5
158,impeached,4
159,or,2
160,indicted,2
161,when,2
162,anticipation,1
163,has,1
164,produced,1
165,throbbing,1
166,anxiety,1
167,much,2
168,emotional,1
169,investment,1
170,removal,3
171,fear,1
172,blinds,1
173,fact,2
174,long,4
175,shot,1
176,any,1
177,case,1
178,way,1
179,off,2
180,adam,1
181,liptak,1
182,wrote,1
183,month,1
184,new,2
185,york,1
186,special,2
187,counsel,1
188,robert,1
189,s,1
190,mueller,3
191,investigation,3
192,constitution,1
193,allow,1
194,mr,2
195,indict,1
196,finds,1
197,evidence,1
198,criminal,1
199,conduct,1
200,prevailing,1
201,view,1
202,among,1
203,most,1
204,legal,1
205,experts,1
206,they,1
207,immune,1
208,prosecution,1
209,office,2
210,point,1
211,founders,1
212,made,1
213,difficult,1
214,purpose,1
215,only,2
216,presidents,1
217,andrew,1
218,johnson,1
219,bill,1
220,clinton,1
221,have,2
222,ever,1
223,been,2
224,representatives,1
225,refused,1
226,convict,1
227,both,3
228,cases,1
229,men,1
230,remained,1
231,richard,1
232,nixon,2
233,might,1
234,well,4
235,resigned,2
236,before,1
237,could,2
238,vote,1
239,his,2
240,articles,1
241,yes,1
242,first,2
243,time,4
244,everything,1
245,may,2
246,convicted,1
247,successfully,1
248,hard,1
249,how,1
250,remote,1
251,possibility,2
252,at,1
253,led,1
254,republicans,1
255,show,1
256,inclination,1
257,hold,1
258,accountable,1
259,now,1
260,making,2
261,excuses,1
262,aberrant,1
263,behavior,1
264,speaker,1
265,paul,1
266,ryan,1
267,excused,1
268,inappropriate,1
269,contacts,1
270,silly,1
271,argument,1
272,republican,2
273,senator,1
274,susan,1
275,collins,1
276,engaged,1
277,outlandish,1
278,speculation,1
279,had,1
280,set,1
281,precedent,1
282,meetings,1
283,pulled,1
284,aside,1
285,discuss,1
286,salacious,1
287,pee,1
288,tape,1
289,dossier,1
290,sorry,1
291,folks,1
292,ignorance,2
293,even,3
294,towering,1
295,excuse,1
296,damning,1
297,report,2
298,change,1
299,reticence,1
300,such,1
301,quite,1
302,far,1
303,months,1
304,passed,1
305,prosecutor,1
306,appointed,1
307,watergate,1
308,unfortunately,1
309,expectations,1
310,tuned,1
311,netflix,1
312,sensibility,1
313,which,2
314,we,1
315,want,1
316,binge,1
317,season,1
318,single,1
319,sitting,1
320,proper,1
321,indulge,1
322,our,1
323,impatience,1
324,best,1
325,bet,1
326,democrats,1
327,win,1
328,majority,2
329,possible,1
330,maybe,1
331,winning,1
332,year,1
333,steeper,1
334,climb,1
335,impossible,1
336,improbable,1
337,know,2
338,very,2
339,real,2
340,obstacles,1
341,injure,1
342,psyche,1
343,those,1
344,worn,1
345,thin,1
346,relentless,1
347,onslaught,1
348,awfulness,1
349,erupting,1
350,rays,1
351,hope,2
352,cutting,1
353,through,1
354,these,1
355,dark,1
356,’m,1
357,crave,1
358,some,1
359,form,1
360,political,2
361,comeuppance,1
362,believe,1
363,important,1
364,face,1
365,come,3
366,does,1
367,wo,1
368,swiftly,1
369,leave,1
370,pence,1
371,nightmare,2
372,different,1
373,stripe,1
374,less,1
375,end,1
376,resistance,1
377,must,5
378,bigger,1
379,realignment,1
380,built,1
381,upon,1
382,solid,1
383,rock,1
384,principle,1
385,hang,1
386,solely,1
387,slender,1
388,expulsion,1
