,term,count
0,about,3
1,as,10
2,many,2
3,americans,7
4,are,8
5,expected,1
6,to,22
7,die,1
8,this,8
9,year,2
10,of,25
11,drug,6
12,overdoses,6
13,died,2
14,in,19
15,the,25
16,vietnam,1
17,iraq,1
18,and,29
19,afghanistan,1
20,wars,1
21,combined,1
22,for,17
23,more,8
24,than,4
25,years,1
26,death,3
27,rates,2
28,have,4
29,been,2
30,dropping,1
31,but,7
32,now,3
33,because,3
34,opioids,5
35,rising,1
36,again,1
37,we,16
38,a,20
39,nation,2
40,going,1
41,backward,1
42,leading,2
43,cause,1
44,under,1
45,there,5
46,’s,9
47,no,2
48,question,2
49,that,16
50,an,2
51,epidemic,1
52,is,9
53,national,4
54,public,4
55,health,6
56,emergency,2
57,dr,1
58,leana,1
59,wen,1
60,commissioner,1
61,baltimore,1
62,told,2
63,me,3
64,number,1
65,people,3
66,overdosing,1
67,skyrocketing,1
68,indication,1
69,’ve,2
70,reached,1
71,peak,1
72,yet,2
73,our,6
74,efforts,2
75,address,2
76,scourge,1
77,pathetic,1
78,responded,1
79,world,1
80,war,1
81,with,10
82,storming,1
83,normandy,1
84,sputnik,1
85,moon,1
86,shot,1
87,answer,1
88,current,1
89,menace,1
90,republican,2
91,plan,3
92,care,1
93,would,5
94,deprive,1
95,millions,1
96,insurance,1
97,lead,2
98,even,2
99,deaths,4
100,on,5
101,president,1
102,trump,4
103,fumbling,1
104,problem,4
105,moment,1
106,it,6
107,bizarre,1
108,republicans,2
109,should,3
110,be,4
111,complacent,1
112,toll,1
113,disproportionately,1
114,red,1
115,states,2
116,affects,1
117,everyone,1
118,mary,1
119,taylor,1
120,lieutenant,1
121,governor,2
122,ohio,1
123,candidate,1
124,has,2
125,acknowledged,1
126,both,1
127,her,3
128,sons,1
129,joe,1
130,michael,1
131,struggled,1
132,opioid,5
133,addiction,6
134,resulting,1
135,at,2
136,home,2
137,urgent,1
138,calls,1
139,ambulances,1
140,failed,2
141,rehab,1
142,good,2
143,speaking,1
144,up,1
145,scandal,1
146,only,2
147,percent,2
148,problems,1
149,get,2
150,treatment,7
151,reflects,1
152,insistence,1
153,treating,1
154,criminal,1
155,justice,1
156,rather,1
157,crisis,1
158,times,1
159,investigation,1
160,published,1
161,month,2
162,estimated,2
163,largest,1
164,annual,1
165,jump,1
166,such,1
167,ever,1
168,recorded,1
169,us,1
170,reason,1
171,spread,1
172,fentanyl,1
173,synthetic,1
174,cheap,1
175,potent,1
176,another,1
177,bad,1
178,omen,1
179,’re,1
180,still,2
181,hooked,1
182,prescription,2
183,painkillers,3
184,last,2
185,were,2
186,prescriptions,1
187,written,1
188,united,1
189,bottle,1
190,every,2
191,american,1
192,adult,1
193,all,3
194,stake,1
195,reasons,1
196,doubt,1
197,will,1
198,confront,1
199,first,1
200,congress,1
201,seem,1
202,determined,1
203,repeal,1
204,obamacare,1
205,which,1
206,provides,1
207,slash,1
208,medicaid,1
209,congressional,1
210,budget,1
211,office,1
212,gop,2
213,house,1
214,result,3
215,additional,1
216,being,1
217,uninsured,1
218,decade,1
219,thus,1
220,less,2
221,able,1
222,other,1
223,technical,1
224,elements,1
225,also,3
226,second,1
227,tom,1
228,price,1
229,secretary,1
230,human,1
231,services,1
232,seemed,1
233,belittle,1
234,medication,3
235,treatments,1
236,best,2
237,record,1
238,attorney,1
239,general,1
240,jeff,1
241,sessions,1
242,seems,1
243,think,1
244,can,3
245,jail,1
246,way,1
247,out,1
248,third,1
249,main,1
250,step,1
251,appoint,1
252,gov,1
253,chris,1
254,christie,2
255,new,1
256,jersey,1
257,task,1
258,force,1
259,investigate,1
260,need,3
261,n’t,3
262,waste,1
263,time,1
264,investigating,1
265,know,1
266,what,3
267,do,1
268,any,1
269,case,3
270,talks,1
271,game,1
272,bungled,1
273,issue,1
274,his,1
275,state,1
276,among,1
277,experts,1
278,overwhelming,1
279,evidence,2
280,works,1
281,conjunction,1
282,counseling,1
283,does,2
284,succeed,1
285,reduce,1
286,improve,1
287,lives,1
288,saves,1
289,money,2
290,fewer,1
291,room,1
292,visits,1
293,inpatient,1
294,hospital,2
295,stays,1
296,so,1
297,whether,2
298,afford,2
299,fighting,1
300,not,1
301,provide,1
302,bottom,1
303,line,1
304,major,1
305,initiative,1
306,treat,1
307,abusing,1
308,drugs,2
309,possible,1
310,based,1
311,science,1
312,understand,1
313,symptoms,1
314,deeper,1
315,malaise,1
316,despair,1
317,words,1
318,anne,1
319,angus,1
320,deaton,1
321,princeton,1
322,university,1
323,stemming,1
324,from,2
325,economic,1
326,woes,1
327,seek,1
328,underlying,1
329,issues,1
330,above,1
331,let,1
332,show,1
333,compassion,1
334,disease,1
335,like,1
336,diabetes,1
337,high,1
338,blood,1
339,pressure,1
340,never,1
341,tell,1
342,diabetics,2
343,forget,1
344,watch,1
345,their,1
346,diets,1
347,exercise,1
348,aghast,1
349,if,1
350,getting,1
351,lifesaving,1
352,innumerable,1
353,addictions,1
354,whom,1
355,i,1
356,interviewed,1
357,haunt,1
358,was,4
359,nurse,1
360,who,2
361,became,2
362,dependent,1
363,fired,1
364,when,1
365,she,6
366,caught,1
367,stealing,1
368,homeless,1
369,survived,1
370,by,3
371,providing,1
372,sex,1
373,strangers,1
374,exchange,1
375,or,1
376,wept,1
377,story,1
378,disgusted,2
379,had,1
380,become,1
381,society,1
382,own,1
383,collective,1
384,complacency,1
385,refusal,1
386,help,2
387,hundreds,1
388,thousands,1
389,neighbors,1
390,sick,1
391,desperate,1
