,term,count
0,a,29
1,benefit,1
2,of,27
3,living,1
4,in,24
5,small,1
6,college,8
7,town,1
8,with,10
9,big,1
10,time,5
11,basketball,5
12,team,6
13,is,9
14,that,25
15,the,55
16,course,1
17,grocery,1
18,shopping,1
19,changing,1
20,your,1
21,car,1
22,’s,16
23,oil,1
24,or,7
25,donating,1
26,blood,1
27,there,1
28,not,3
29,insignificant,1
30,chance,2
31,you,3
32,’ll,2
33,meet,2
34,real,1
35,life,2
36,hoops,2
37,stars,1
38,watch,1
39,on,13
40,tv,2
41,happened,1
42,last,1
43,summer,1
44,my,6
45,daughter,1
46,georgia,5
47,and,28
48,i,17
49,were,4
50,running,1
51,an,2
52,errand,1
53,university,1
54,north,1
55,carolina,5
56,at,7
57,chapel,4
58,hill,4
59,campus,1
60,when,7
61,we,9
62,bumped,1
63,into,3
64,tony,3
65,bradley,13
66,point,1
67,had,4
68,n’t,7
69,actually,2
70,seen,1
71,he,10
72,was,14
73,unc,14
74,top,1
75,incoming,1
76,freshman,3
77,would,4
78,play,3
79,his,13
80,first,4
81,game,5
82,for,17
83,tar,4
84,heels,4
85,several,1
86,months,1
87,but,9
88,wearing,1
89,blue,1
90,shorts,1
91,easily,1
92,recognizable,1
93,asked,1
94,to,34
95,have,5
96,her,4
97,picture,2
98,taken,2
99,him,11
100,graciously,1
101,obliged,1
102,snapped,1
103,photo,2
104,iphone,1
105,it,10
106,great,2
107,shot,2
108,who,8
109,did,2
110,even,5
111,come,3
112,up,6
113,waist,1
114,looked,1
115,forward,2
116,more,5
117,pictures,1
118,during,2
119,career,3
120,as,12
121,saw,1
122,series,2
123,serve,1
124,growth,1
125,chart,1
126,modern,1
127,version,1
128,size,1
129,poster,1
130,manute,1
131,bol,1
132,7foot7,1
133,nba,6
134,center,1
135,hung,1
136,bedroom,1
137,wall,1
138,measured,1
139,myself,1
140,against,2
141,kid,1
142,by,3
143,ready,1
144,leave,3
145,years,5
146,might,3
147,reach,1
148,rib,1
149,cage,1
150,meant,1
151,be,3
152,thursday,2
153,selected,2
154,28th,1
155,overall,1
156,pick,1
157,draft,2
158,after,6
159,single,1
160,season,4
161,’d,4
162,decided,2
163,go,1
164,pro,2
165,about,2
166,done,2
167,players,6
168,eligible,1
169,this,4
170,year,4
171,until,1
172,now,4
173,its,4
174,fans,7
175,largely,1
176,been,6
177,insulated,1
178,from,4
179,phenomenon,1
180,which,1
181,nation,1
182,best,1
183,young,3
184,spend,1
185,minimum,1
186,age,1
187,before,1
188,turning,1
189,because,5
190,cloud,1
191,seemingly,1
192,never,1
193,ending,2
194,academic,1
195,scandal,1
196,mention,1
197,coach,1
198,roy,1
199,williams,2
200,reputation,1
201,insufficiently,1
202,showcasing,1
203,freshmen,2
204,has,6
205,prime,1
206,destination,1
207,future,1
208,doners,1
209,fact,1
210,player,1
211,although,1
212,inability,1
213,recruit,1
214,dones,2
215,supremely,1
216,frustrating,1
217,good,1
218,thing,1
219,like,4
220,me,2
221,paradoxically,1
222,led,1
223,wins,1
224,upperclassmen,1
225,laden,1
226,rosters,1
227,most,2
228,seasons,1
229,made,2
230,deep,1
231,runs,1
232,ncaa,1
233,tournament,1
234,lost,1
235,buzzer,1
236,beater,1
237,championship,4
238,won,1
239,all,5
240,what,1
241,makes,1
242,these,2
243,victories,1
244,sweeter,1
245,achieving,1
246,them,5
247,national,2
248,starting,1
249,consisted,1
250,seniors,1
251,juniors,1
252,title,1
253,cheering,2
254,watched,2
255,their,5
256,bodies,1
257,get,4
258,bigger,1
259,case,1
260,previously,1
261,rotund,1
262,kennedy,1
263,meeks,1
264,smaller,1
265,skills,1
266,improve,1
267,short,1
268,grow,2
269,they,10
270,supported,1
271,wore,1
272,uniform,1
273,favorite,1
274,eventually,1
275,came,2
276,cheer,2
277,individuals,1
278,no,1
279,happier,1
280,than,4
281,isaiah,1
282,hicks,2
283,driving,1
284,hanging,1
285,bank,1
286,seconds,1
287,left,1
288,just,8
289,basket,1
290,put,2
291,points,2
292,senior,1
293,highly,1
294,acclaimed,1
295,out,1
296,high,1
297,school,3
298,struggled,1
299,much,2
300,given,1
301,himself,1
302,storybook,1
303,greeted,1
304,success,1
305,way,1
306,friend,1
307,fellow,2
308,hoping,2
309,same,1
310,opportunity,1
311,granted,1
312,part,1
313,reason,1
314,wanted,1
315,back,1
316,lot,1
317,better,1
318,next,1
319,floor,1
320,presence,1
321,being,2
322,difference,1
323,between,2
324,final,1
325,contender,1
326,will,2
327,probably,1
328,fortunate,2
329,make,2
330,sweet,1
331,looking,1
332,watching,1
333,develop,1
334,eager,1
335,see,2
336,expand,1
337,flashes,1
338,brilliance,1
339,displayed,1
340,gawky,1
341,teenager,1
342,confident,1
343,man,1
344,witnessing,1
345,process,1
346,satisfactions,1
347,fan,3
348,gone,1
349,some,1
350,turned,1
351,note,1
352,averaging,1
353,minutes,1
354,per,1
355,extremely,1
356,perhaps,2
357,undeservedly,1
358,only,2
359,picks,1
360,spare,1
361,round,2
362,therefore,1
363,receive,1
364,guaranteed,1
365,contract,1
366,question,2
367,judgment,1
368,motivations,1
369,feign,1
370,concern,1
371,ultimately,2
372,wind,1
373,playing,1
374,developmental,1
375,league,1
376,overseas,1
377,almost,1
378,if,3
379,’re,5
380,such,1
381,result,1
382,so,3
383,can,2
384,say,1
385,told,1
386,height,1
387,selfishness,1
388,call,1
389,privilege,1
390,any,1
391,other,1
392,major,1
393,sport,1
394,gives,1
395,illusion,1
396,intimacy,1
397,participants,1
398,think,1
399,court,1
400,are,2
401,different,1
402,classmates,1
403,stands,1
404,younger,1
405,versions,1
406,ourselves,1
407,fiction,1
408,men,1
409,powerhouses,1
410,stay,1
411,peers,1
412,suit,1
413,duke,1
414,kentucky,1
415,trying,1
416,soon,1
417,move,1
418,am,1
419,chose,1
420,steppingstone,1
421,less,1
422,resent,1
423,decision,1
424,absence,1
425,allowed,1
426,believe,1
427,doing,1
428,jerry,1
429,seinfeld,1
430,once,1
431,rooting,2
432,clothes,1
433,true,1
434,means,1
435,should,1
436,pursuits,2
437,those,1
438,run,1
439,counter,1
440,our,1
441,own,1
442,immediate,1
443,interests,1
444,why,1
445,night,2
446,cheered,1
447,hard,1
448,picked,1
449,monday,1
450,april,1
451,off,1
452,bench,1
453,help,1
454,win,1
455,hope,1
456,many,1
457,middle,1
458,long,1
459,rewarding,1
460,bump,1
461,again,1
462,she,1
463,wo,1
464,too,1
465,grown,1
466,want,1
