,term,count
0,i,35
1,started,2
2,reading,4
3,the,63
4,harry,11
5,potter,9
6,series,8
7,which,3
8,turns,1
9,today,1
10,in,24
11,a,15
12,dormitory,1
13,hod,1
14,hasharon,1
15,israel,1
16,alongside,1
17,about,8
18,dozen,1
19,other,1
20,teenage,1
21,muggles,2
22,who,5
23,had,7
24,flown,1
25,by,5
26,plane,1
27,from,2
28,united,1
29,states,1
30,’d,3
31,completely,1
32,succumbed,1
33,to,25
34,hysteria,1
35,at,4
36,friend,2
37,’s,11
38,urging,1
39,even,1
40,before,3
41,read,4
42,books,8
43,so,4
44,night,2
45,left,1
46,n’t,6
47,hesitated,1
48,make,1
49,room,3
50,for,12
51,first,3
52,of,31
53,them,2
54,all,2
55,hardback,1
56,tossing,1
57,out,1
58,an,6
59,extra,1
60,pair,1
61,pants,2
62,needed,1
63,wanted,1
64,good,1
65,story,1
66,time,5
67,on,4
68,that,13
69,trip,2
70,magical,1
71,quality,1
72,camping,1
73,tent,1
74,it,12
75,was,13
76,bigger,1
77,inside,1
78,than,2
79,outside,1
80,months,1
81,flew,1
82,but,8
83,each,5
84,day,4
85,seemed,1
86,endless,1
87,with,8
88,hours,3
89,enough,1
90,form,2
91,close,1
92,friendships,1
93,and,22
94,fall,1
95,love,1
96,after,2
97,packed,1
98,while,3
99,my,7
100,best,1
101,performed,1
102,late,1
103,mitzvahs,1
104,girl,1
105,pined,1
106,consoled,1
107,myself,3
108,own,1
109,affair,1
110,throwing,1
111,turn,1
112,alone,1
113,common,1
114,ron,1
115,hermione,1
116,as,7
117,happy,1
118,’ve,1
119,ever,1
120,been,2
121,this,2
122,feeling,3
123,consuming,1
124,book,5
125,simultaneously,1
126,being,4
127,consumed,1
128,not,4
129,itself,1
130,new,3
131,grew,1
132,up,4
133,under,1
134,covers,1
135,flashlight,1
136,holding,1
137,binge,1
138,reader,1
139,what,3
140,intensity,1
141,obsession,1
142,pining,1
143,written,1
144,yet,2
145,when,3
146,junior,1
147,high,1
148,school,1
149,wait,1
150,long,2
151,years,2
152,next,3
153,jk,2
154,rowling,5
155,began,1
156,barnes,1
157,noble,1
158,where,1
159,purchased,1
160,continued,1
161,walking,1
162,home,2
163,finished,2
164,later,1
165,apartment,1
166,fan,1
167,early,1
168,mid2000s,1
169,mostly,1
170,consisted,1
171,fantasizing,1
172,installment,2
173,fantasy,2
174,never,2
175,stood,1
176,midnight,1
177,line,1
178,like,3
179,many,4
180,fellow,1
181,fans,1
182,because,6
183,knew,1
184,spell,1
185,traveling,1
186,into,3
187,going,1
188,sleep,1
189,chicago,1
190,alaska,1
191,otisfield,1
192,maine,1
193,picked,1
194,copy,1
195,morning,1
196,released,1
197,then,1
198,spent,3
199,entire,1
200,couple,1
201,gulps,1
202,these,3
203,memories,1
204,might,2
205,have,4
206,something,1
207,do,4
208,why,1
209,arguably,1
210,well,1
211,adjusted,1
212,adult,5
213,recently,1
214,cried,1
215,reread,1
216,last,1
217,deathly,1
218,hallows,1
219,scene,1
220,got,1
221,me,4
222,came,1
223,near,1
224,end,2
225,climax,1
226,just,2
227,returned,1
228,requirement,1
229,find,2
230,army,1
231,his,4
232,peers,1
233,people,1
234,we,2
235,gotten,1
236,know,1
237,course,1
238,prepared,1
239,risk,1
240,their,2
