,term,count
0,school,1
1,’s,8
2,out,5
3,for,4
4,the,54
5,summer,2
6,and,19
7,so,4
8,begins,1
9,a,39
10,long,3
11,few,1
12,months,2
13,of,34
14,parents’,1
15,teachers’,1
16,worrying,1
17,about,2
18,all,4
19,things,2
20,their,2
21,children,1
22,will,4
23,forget,2
24,before,2
25,fall,1
26,fractions,1
27,they,9
28,wo,2
29,n’t,10
30,be,9
31,able,3
32,to,32
33,multiply,1
34,state,3
35,capitals,3
36,identify,1
37,learning,7
38,loss,4
39,is,10
40,name,3
41,it,11
42,forgetting,17
43,supposed,1
44,antithesis,1
45,whether,1
46,we,10
47,’re,3
48,kid,1
49,or,8
50,an,5
51,adult,1
52,most,1
53,us,3
54,are,4
55,plainly,1
56,embarrassed,1
57,if,8
58,ca,2
59,recall,6
60,fact,3
61,but,3
62,turns,1
63,that,19
64,can,8
65,help,2
66,gain,3
67,expertise,4
68,when,6
69,relearn,3
70,something,4
71,could,1
72,often,2
73,develop,1
74,richer,1
75,form,2
76,understanding,2
77,notion,1
78,hidden,1
79,educational,1
80,virtue,1
81,goes,1
82,back,1
83,century,1
84,more,7
85,in,15
86,series,1
87,studies,2
88,german,1
89,psychologist,2
90,hermann,1
91,ebbinghaus,1
92,found,1
93,people,5
94,information,2
95,likely,1
96,future,2
97,research,1
98,explains,2
99,why,2
100,delivers,1
101,this,5
102,memory,9
103,boost,1
104,memories,6
105,do,5
106,fly,1
107,our,5
108,brains,1
109,like,5
110,sparrows,1
111,from,4
112,barn,1
113,instead,2
114,brain,6
115,make,3
116,less,1
117,accessible,1
118,some,3
119,recollections,1
120,close,1
121,friend,1
122,easily,3
123,recalled,4
124,other,1
125,details,1
126,color,1
127,your,2
128,childhood,1
129,bedroom,1
130,have,6
131,been,1
132,tucked,1
133,into,1
134,deep,1
135,storage,2
136,much,3
137,harder,1
138,not,5
139,impossible,1
140,retrieve,1
141,sense,1
142,forgotten,2
143,lot,1
144,old,1
145,file,1
146,on,5
147,computer,1
148,while,1
149,document,1
150,still,2
151,exists,1
152,you,10
153,good,1
154,way,2
155,getting,1
156,today,3
157,many,2
158,researchers,4
159,even,3
160,use,1
161,word,2
162,term,2
163,implies,1
164,recollection,2
165,gone,1
166,forever,1
167,matter,1
168,retrieval,2
169,failure,1
170,besides,1
171,occasional,1
172,gaffe,1
173,approach,1
174,serves,1
175,well,1
176,failures,1
177,prune,1
178,away,1
179,really,1
180,need,1
181,consider,1
182,living,1
183,with,6
184,unending,1
185,library,1
186,would,3
187,overwhelming,1
188,dates,1
189,names,3
190,phone,1
191,numbers,1
192,constantly,1
193,top,1
194,mind,1
195,want,4
196,everything,1
197,said,4
198,robert,1
199,bjork,2
200,researcher,2
201,at,4
202,university,2
203,california,2
204,los,1
205,angeles,1
206,remember,3
207,where,2
208,parked,2
209,car,2
210,yesterday,1
211,week,1
212,ago,1
213,model,1
214,extract,1
215,detail,3
216,becomes,1
217,easier,2
218,important,2
219,keep,1
220,experiencing,1
221,professor,3
222,then,4
223,practice,1
224,remembering,3
225,specific,1
226,location,1
227,summon,1
228,sure,1
229,draw,1
230,regularly,1
231,built,1
232,foster,2
233,sort,1
234,according,1
235,paper,2
236,released,2
237,june,1
238,journal,1
239,neuron,1
240,article,1
241,argue,1
242,cells,2
243,associated,1
