,term,count
0,when,5
1,summer,3
2,arrives,1
3,my,12
4,friends,1
5,and,35
6,family,1
7,inevitably,1
8,roll,1
9,their,4
10,eyes,1
11,i,15
12,tell,1
13,them,1
14,’m,1
15,packing,1
16,for,4
17,fieldwork,2
18,in,23
19,the,54
20,caribbean,5
21,they,1
22,picture,1
23,a,30
24,book,1
25,white,1
26,sand,1
27,beach,1
28,do,3
29,get,2
30,tan,1
31,but,4
32,it,10
33,’s,10
34,no,2
35,vacation,1
36,study,1
37,ocean,5
38,ecosystems,3
39,work,2
40,is,17
41,chronically,1
42,underfunded,1
43,so,6
44,food,2
45,housing,1
46,basic,2
47,or,6
48,worse,1
49,we,8
50,’re,1
51,belize,1
52,monitoring,1
53,health,1
54,of,39
55,coral,12
56,reefs,13
57,about,5
58,half,2
59,nights,1
60,sleep,2
61,under,2
62,stars,1
63,on,9
64,dock,2
65,can,3
66,afford,1
67,roach,1
68,gecko,1
69,infested,1
70,room,1
71,often,1
72,rustic,1
73,that,15
74,preferable,1
75,to,23
76,outside,1
77,there,3
78,are,12
79,also,4
80,tropical,1
81,diseases,1
82,acquire,1
83,dengue,1
84,instance,1
85,insects,1
86,lay,1
87,eggs,1
88,our,4
89,skin,1
90,bot,1
91,flies,1
92,stinging,1
93,jellyfish,1
94,scorpions,1
95,hiding,1
96,shoes,1
97,course,1
98,feisty,1
99,sea,1
100,turtles,2
101,trip,1
102,an,3
103,enormous,1
104,loggerhead,1
105,turtle,1
106,bit,1
107,graduate,1
108,students,1
109,rear,1
110,physical,1
111,made,1
112,harder,1
113,by,7
114,intense,1
115,heat,3
116,humidity,1
117,former,2
118,undergrad,1
119,lab,1
120,was,8
121,national,2
122,guard,1
123,after,1
124,she,2
125,deployed,1
126,kuwait,1
127,emailed,1
128,us,2
129,say,1
130,assignment,1
131,easier,1
132,than,3
133,with,4
134,still,3
135,love,1
136,all,3
137,big,1
138,rewards,1
139,wonders,1
140,you,3
141,stumble,1
142,into,2
143,just,4
144,spending,1
145,much,3
146,time,2
147,nature,1
148,kind,1
149,things,2
150,see,1
151,bbc,1
152,documentaries,1
153,narrated,1
154,david,1
155,attenborough,1
156,last,2
157,woke,1
158,up,3
159,middle,1
160,night,1
161,looked,2
162,over,4
163,saw,3
164,dozen,1
165,spotted,1
166,eagle,1
167,rays,2
168,slowly,3
169,circling,1
170,beneath,1
171,me,3
172,like,5
173,mobile,1
174,’d,1
175,hang,1
176,baby,1
177,crib,1
178,’ve,4
179,come,1
180,across,3
181,mating,1
182,leatherback,1
183,awesome,1
184,not,2
185,sexy,1
186,orcas,1
187,manta,1
188,galápagos,1
189,islands,1
190,huge,1
191,tiger,1
192,shark,1
193,moorea,1
194,fields,2
195,tiny,1
196,eels,1
197,peeking,1
198,out,4
199,holes,1
200,sandy,1
201,seafloor,2
202,palau,1
203,many,1
204,peers,1
205,walked,1
206,away,2
207,from,9
208,type,1
209,purely,1
210,academic,1
211,science,1
212,trained,1
213,focus,1
214,trying,2
215,understand,1
216,slow,1
217,rapid,1
218,changes,1
219,underway,1
220,team,1
221,has,3
222,been,3
223,working,1
224,determining,1
225,whether,1
226,protection,1
227,fishing,1
228,pollution,1
229,well,2
230,policed,1
231,marine,4
232,reserves,1
233,moderate,1
234,reverse,1
235,loss,3
236,corals,6
237,small,1
238,invertebrate,1
239,animals,3
240,build,1
241,thousands,2
242,years,4
243,since,1
244,annually,1
245,surveying,1
246,belizean,1
247,barrier,2
248,reef,5
249,which,1
250,inside,1
251,protected,2
252,reserve,1
253,typically,1
254,survey,1
255,day,1
256,filming,1
257,video,1
258,cameras,1
259,counting,1
260,identifying,1
261,every,1
262,fish,1
263,long,1
264,bands,1
265,unfortunately,1
266,found,2
267,local,1
