,term,count
0,years,4
1,before,1
2,he,7
3,moved,1
4,to,20
5,walden,1
6,pond,1
7,in,19
8,ponder,1
9,life,2
10,and,20
11,live,1
12,deliberately,1
13,henry,1
14,david,1
15,thoreau,8
16,spent,1
17,weeks,1
18,canoeing,1
19,rivers,12
20,massachusetts,1
21,new,2
22,hampshire,1
23,the,49
24,voyage,1
25,was,10
26,an,4
27,epiphany,1
28,for,5
29,him,1
30,at,4
31,time,2
32,nation,1
33,becoming,1
34,giddy,1
35,with,7
36,promise,1
37,of,25
38,industrialization,1
39,enterprise,1
40,greatly,1
41,dependent,2
42,on,11
43,power,1
44,waste,1
45,disposal,1
46,but,3
47,born,1
48,ago,1
49,wednesday,1
50,foresaw,1
51,ravaged,1
52,futures,1
53,these,8
54,increasingly,1
55,commodified,1
56,his,6
57,book,1
58,a,11
59,week,2
60,concord,1
61,merrimack,3
62,self,2
63,published,1
64,offered,2
65,account,1
66,what,2
67,actually,1
68,trip,1
69,brother,1
70,john,1
71,already,1
72,water,2
73,powered,2
74,wheels,1
75,belts,1
76,industrial,3
77,revolution,3
78,were,6
79,whirling,1
80,fast,1
81,though,2
82,not,3
83,yet,1
84,well,1
85,traveled,1
86,outdoors,1
87,england,1
88,insights,1
89,distilled,1
90,by,5
91,watching,1
92,rivers’,1
93,migratory,3
94,fishes,3
95,clean,1
96,free,1
97,flowing,1
98,swim,1
99,upriver,2
100,from,2
101,sea,3
102,spawn,1
103,fish,9
104,even,1
105,then,2
106,being,2
107,stymied,1
108,dams,5
109,so,4
110,distressed,1
111,saw,1
112,that,14
113,stirred,1
114,ask,1
115,still,1
116,haunting,1
117,question,2
118,who,1
119,hears,1
120,when,1
121,they,4
122,cry,1
123,centuries,2
124,later,1
125,answer,2
126,is,3
127,clear,1
128,many,2
129,once,3
130,atlantic,4
131,coast,1
132,ran,2
133,silver,2
134,thrashing,1
135,multitudes,1
136,ecologically,2
137,societally,2
138,important,2
139,like,3
140,salmon,3
141,herring,1
142,shad,5
143,as,6
144,completed,2
145,their,7
146,grand,1
147,cycles,1
148,thickly,1
149,it,3
150,said,1
151,one,1
152,could,1
153,walk,1
154,drishod,1
155,across,1
156,backs,1
157,accounts,1
158,early,2
159,colonists,2
160,marveling,1
161,contrast,1
162,between,1
163,unadulterated,1
164,runs,4
165,long,1
166,impoverished,1
167,watercourses,1
168,european,1
169,homelands,1
170,speak,1
171,abundances,1
172,would,2
173,be,3
174,difficult,1
175,imagine,1
176,today,1
177,this,2
178,bounty,1
179,expression,1
180,divine,1
181,providence,1
182,now,3
183,same,1
184,are,4
185,fettered,1
186,tired,1
187,falling,1
188,stilted,1
189,tempo,1
190,subjugated,1
191,dozen,1
192,or,4
193,river,5
194,have,6
195,cases,1
196,been,2
197,obliterated,1
198,reduced,2
199,fractions,1
200,former,1
201,plenitude,1
202,no,3
203,longer,3
204,relevant,1
205,become,1
206,effect,1
207,ghost,1
208,failed,2
209,restoration,2
210,program,1
211,canceled,1
212,’s,3
213,sparse,1
214,alewife,1
215,schools,1
216,color,1
217,its,2
218,waters,1
219,each,1
220,spring,1
221,fact,1
222,visitors,1
223,center,1
224,fishway,1
225,manchester,1
226,nh,1
227,invites,1
228,guests,1
229,celebrate,1
230,magic,1
231,has,3
232,everything,1
233,except,1
234,abundant,1
235,most,2
236,few,1
237,reach,1
238,far,2
239,all,2
240,american,3
241,combined,1
242,may,1
243,reached,1
244,half,1
245,fewer,2
246,than,3
247,counted,1
248,susquehanna,1
249,target,1
250,migrating,1
251,past,1
252,fourth,1
253,dam,2
254,above,1
255,tidewater,1
256,historical,1
257,spawning,2
258,grounds,1
259,modest,1
260,number,1
261,compared,1
262,natural,1
263,run,1
264,recent,1
265,made,1
266,up,1
267,other,4
268,northeast,1
269,likewise,1
270,depleted,1
271,down,1
272,much,2
273,orders,1
274,magnitude,1
275,colonial,1
276,times,1
277,prophetic,1
278,apprehensions,1
279,about,1
280,society,2
281,degraded,1
282,through,1
283,pollution,1
284,overfishing,1
285,host,1
286,grievances,1
287,single,1
288,action,1
289,caused,1
290,injury,1
291,construction,1
292,barriers,1
293,along,1
294,routes,1
295,decades,1
296,experimentation,1
297,engineered,1
298,devices,1
299,ladders,1
300,allow,1
301,pass,1
302,reverse,1
303,declines,1
304,lamented,1
305,poor,1
306,where,1
307,thy,1
308,redress,2
309,removal,2
310,edwards,1
311,maine,1
312,kennebec,1
313,subsequent,1
314,explosion,1
315,populations,1
316,showing,1
317,can,1
318,recover,1
319,energy,1
320,alternatives,1
321,available,1
322,wind,1
323,solar,1
324,should,2
325,n’t,1
326,accept,1
327,presence,1
328,produce,1
329,nominal,1
330,hydropower,1
331,cost,1
332,health,1
333,major,1
334,held,1
335,hope,1
336,end,1
337,great,1
338,migrations,1
339,resonate,1
340,will,1
341,forgotten,1
342,some,1
343,memory,1
344,we,1
345,contemporaries,1
346,wrote,1
347,also,1
348,seemed,1
349,understand,1
350,probably,1
351,considerably,1
352,largely,1
353,own,1
354,urged,1
355,them,1
356,message,1
357,reliance,1
358,keep,1
359,stiff,1
360,fin,1
361,stem,1
362,tides,1
363,thou,1
364,mayst,1
365,meet,1
366,bicentennial,1
367,waterfront,1
368,mills,1
369,drove,1
370,shuttered,1
371,converted,1
372,uses,1
373,more,1
374,after,1
375,first,1
376,witnessed,1
377,begin,1
378,strangle,1
379,our,1
380,apparent,1
381,chapter,1
382,history,1
