,term,count
0,the,68
1,trump,1
2,administration,2
3,has,2
4,yet,1
5,to,32
6,broker,1
7,toughest,1
8,deal,1
9,of,33
10,all,4
11,that,14
12,between,1
13,israelis,5
14,and,29
15,palestinians,8
16,chances,1
17,seem,1
18,slim,1
19,but,6
20,jason,1
21,greenblatt,2
22,president,1
23,’s,10
24,middle,1
25,east,1
26,envoy,1
27,did,2
28,announce,1
29,some,3
30,welcome,1
31,news,3
32,at,2
33,a,15
34,press,2
35,conference,2
36,thursday,1
37,in,23
38,jerusalem,1
39,jordanians,1
40,will,7
41,be,6
42,cooperating,1
43,on,4
44,large,1
45,water,34
46,infrastructure,3
47,project,4
48,which,3
49,provide,1
50,billions,1
51,gallons,1
52,new,2
53,supplies,1
54,for,7
55,each,4
56,parties,1
57,first,1
58,announced,1
59,december,1
60,take,1
61,from,9
62,red,3
63,sea,7
64,near,1
65,israel,15
66,southernmost,1
67,city,2
68,eilat,1
69,use,1
70,gravity,1
71,carry,1
72,miles,1
73,via,1
74,kingdom,1
75,jordan,3
76,southern,1
77,part,1
78,dead,4
79,adjacent,1
80,arava,1
81,desert,2
82,there,1
83,it,10
84,desalinated,1
85,with,8
86,brine,1
87,deposited,1
88,shrinking,1
89,fresh,1
90,transferred,1
91,into,3
92,still,1
93,built,2
94,farms,1
95,exchange,1
96,pipeline,1
97,capital,1
98,amman,1
99,augment,1
100,already,1
101,significant,1
102,amount,1
103,provides,1
104,west,6
105,bank,6
106,particularly,1
107,hebron,1
108,area,1
109,strategic,1
110,genius,1
111,plan,1
112,is,5
113,weaves,1
114,vital,1
115,economic,1
116,interests,1
117,these,1
118,sometimes,1
119,antagonists,1
120,together,1
121,even,2
122,should,1
123,or,2
124,someday,1
125,fall,1
126,radical,1
127,rejectionists,1
128,would,2
129,nearly,2
130,impossible,1
131,those,1
132,leaders,1
133,entirely,1
134,break,2
135,ties,2
136,established,1
137,here,1
138,without,1
139,creating,1
140,substantial,1
141,hardship,1
142,their,5
143,populations,1
144,biggest,1
145,out,2
146,n’t,1
147,what,1
148,amounts,1
149,an,3
150,update,1
151,senior,2
152,officials,2
153,palestinian,19
154,authority,8
155,shared,2
156,stage,1
157,warmly,1
158,engaged,1
159,other,4
160,so,1
161,speak,2
162,high,2
163,mark,1
164,israeli,6
165,history,1
166,regarding,1
167,this,3
168,precious,1
169,resource,1
170,following,1
171,its,3
172,victory,1
173,war,1
174,took,1
175,control,1
176,local,1
177,as,4
178,aspects,1
179,civilian,1
180,life,2
181,changed,1
182,oslo,3
183,agreement,3
184,created,2
185,both,2
186,latter,1
187,being,3
188,responsible,1
189,overseeing,1
190,projects,7
191,gaza,1
192,another,1
193,transformative,1
194,feature,1
195,was,9
196,alter,1
197,balance,1
198,power,2
199,by,2
200,giving,1
201,veto,1
202,over,2
203,encouraged,1
204,cooperation,1
205,led,1
206,steady,1
207,improvement,1
208,settlements,2
209,every,1
210,town,1
211,beginning,2
212,leadership,1
213,decided,1
214,turn,1
215,political,3
216,tool,1
217,bludgeon,1
218,claim,2
219,gained,1
220,currency,1
221,among,1
222,human,1
223,rights,1
224,community,2
225,media,1
226,starving,1
227,oppress,1
228,them,1
229,economy,1
230,never,1
231,mind,1
232,scrupulously,1
233,adhering,1
234,providing,1
235,more,6
236,than,2
237,half,1
238,used,1
239,supporters,1
240,began,2
241,“,1
242,apartheid,1
243,characterized,1
244,attempts,1
245,point,1
246,absurdity,1
247,bluewashing,1
248,attempt,1
249,whitewash,1
250,grievances,1
251,keep,1
252,manufactured,1
253,crisis,1
254,exposed,1
255,sham,1
256,necessary,1
257,have,1
258,grind,1
259,halt,1
260,academics,1
261,hydrologists,1
262,environmentalists,1
263,others,1
264,were,3
265,strongly,2
266,discouraged,1
267,doing,1
268,research,1
269,working,3
270,funding,1
271,ngos,1
272,had,2
273,pass,1
274,through,1
275,dried,1
276,up,1
277,joint,3
278,academic,1
279,engineers,1
280,told,1
281,they,3
282,not,3
283,get,1
284,work,1
285,unless,1
286,broke,1
287,counterparts,1
288,after,1
289,warm,1
290,relations,1
291,refused,1
292,meet,1
293,counterpart,1
294,hitherto,1
295,functioning,1
296,commission,2
297,under,1
298,banner,1
299,anti,2
300,normalization,2
301,idea,1
302,improve,1
303,palestinians’,2
304,needs,2
305,tantamount,1
306,acceptance,1
307,maximalist,1
308,claims,1
309,territory,1
310,politics,2
311,service,2
312,governed,1
313,given,1
314,way,2
315,ideology,1
316,obstruction,1
317,self,1
318,sabotage,1
319,campaign,1
320,felt,1
321,nowhere,1
322,suffered,2
323,lack,1
324,quietly,1
325,business,2
326,made,1
327,clear,1
328,value,1
329,blackening,1
330,name,1
331,quarters,1
332,worth,1
333,price,1
334,paid,1
335,quality,1
336,lost,1
337,opportunities,1
338,few,1
339,months,1
340,ago,1
341,meeting,1
342,again,1
343,long,1
344,frozen,1
345,are,1
346,restart,1
347,participation,1
348,public,1
349,appearance,1
350,mr,1
351,further,1
352,confirmation,1
353,delegitimization,1
354,least,1
355,failed,1
356,turns,1
357,toward,2
358,pragmatic,1
359,approach,1
360,addressing,1
361,also,1
362,environmental,1
363,energy,1
364,people,1
365,lead,1
366,economically,1
367,secure,1
368,entity,1
369,perhaps,1
370,better,1
371,outcomes,1
372,larger,1
373,negotiations,1
374,may,2
375,wish,1
376,neighbors,1
377,geography,1
378,leads,1
379,profound,1
380,reconciliation,1
