,term,count
0,it,8
1,had,5
2,been,1
3,more,8
4,than,6
5,a,30
6,week,1
7,since,2
8,dang,2
9,nguyet,3
10,anh,4
11,learned,1
12,of,46
13,vietcong,4
14,attack,1
15,in,39
16,phuoc,1
17,long,1
18,province,1
19,northeast,1
20,saigon,7
21,along,1
22,the,100
23,cambodian,1
24,border,1
25,where,3
26,her,12
27,husband,4
28,was,14
29,stationed,1
30,she,14
31,yet,4
32,to,45
33,hear,1
34,from,12
35,him,1
36,and,49
37,waiting,1
38,soon,1
39,became,2
40,should,3
41,bear,1
42,so,4
43,took,2
44,bus,1
45,home,6
46,town,1
47,dong,1
48,xoai,1
49,got,1
50,lift,1
51,on,7
52,an,8
53,army,7
54,vehicle,2
55,heading,1
56,training,4
57,center,2
58,way,2
59,troops,3
60,attacked,1
61,shot,1
62,both,1
63,arms,2
64,suffered,1
65,broken,1
66,foot,1
67,hospital,1
68,bed,1
69,back,1
70,mrs,2
71,wrote,3
72,letter,3
73,south,8
74,vietnam,12
75,’s,16
76,ministry,3
77,national,3
78,defense,6
79,asking,2
80,that,17
81,second,2
82,lieutenant,2
83,named,1
84,nguyen,4
85,thanh,1
86,trac,1
87,be,8
88,transferred,1
89,city,1
90,he,1
91,could,6
92,live,1
93,at,7
94,help,7
95,take,2
96,care,3
97,their,13
98,young,2
99,children,3
100,which,2
101,mid1965,1
102,just,2
103,many,2
104,received,2
105,family,3
106,members,3
107,for,15
108,men,4
109,reassigned,1
110,units,3
111,closer,1
112,moved,1
113,combat,9
114,positions,2
115,field,1
116,desk,1
117,jobs,2
118,or,6
119,released,1
120,service,2
121,striking,1
122,document,1
123,illustrating,1
124,how,2
125,blurred,2
126,lines,2
127,between,2
128,battlefield,1
129,front,3
130,civilian,1
131,combatant,1
132,vietnamese,4
133,during,1
134,war,15
135,those,3
136,were,11
137,big,1
138,problem,1
139,obligations,1
140,main,1
141,reasons,2
142,desertion,1
143,republic,1
144,around,1
145,same,2
146,time,3
147,created,1
148,women,36
149,armed,1
150,forces,2
151,corps,5
152,out,3
153,families,4
154,whose,1
155,husbands,3
156,sons,1
157,off,1
158,fighting,1
159,advertisement,2
160,by,8
161,there,3
162,all,4
163,female,2
164,unit,3
165,we,1
166,know,1
167,precious,1
168,little,1
169,about,5
170,experiences,3
171,wartime,1
172,generally,1
173,aside,1
174,few,1
175,quasi,1
176,mythical,1
177,figures,1
178,like,1
179,thi,4
180,hong,2
181,gam,1
182,sharpshooter,1
183,who,2
184,allegedly,1
185,downed,1
186,american,1
187,helicopter,1
188,names,1
189,lives,3
190,are,2
191,absent,1
192,history,2
193,but,8
194,even,4
195,other,3
196,wars,1
197,need,1
198,understood,1
199,because,1
200,overlapped,1
201,unlike,1
202,north,1
203,wafc,6
204,did,5
205,not,5
206,enter,2
207,instead,1
208,they,4
209,administrative,1
210,intelligence,1
211,medical,1
212,social,4
213,work,3
214,freeing,1
215,providing,2
216,support,4
217,become,1
218,officer,1
219,have,5
220,completed,2
221,years,7
222,school,5
223,enlisted,3
224,needed,2
225,least,2
226,formal,1
227,officers,1
228,served,2
229,year,1
230,tours,1
231,enlistees,1
232,committed,1
233,recruits,1
234,unmarried,1
235,stay,2
236,first,1
237,after,5
238,marry,1
239,without,2
240,being,1
241,discharged,1
242,welfare,1
