,term,count
0,i,3
1,’ve,1
2,been,2
3,haunted,1
4,by,7
5,a,27
6,story,1
7,from,3
8,iran,2
9,that,20
10,appeared,1
11,in,20
12,the,68
13,times,2
14,back,3
15,may,3
16,it,8
17,described,1
18,campaign,2
19,for,11
20,tehran,3
21,city,3
22,council,1
23,payam,1
24,mohebi,1
25,veterinarian,1
26,who,6
27,explained,1
28,he,6
29,was,7
30,running,2
31,animals,1
32,clerics,1
33,regard,1
34,dogs,1
35,as,9
36,impure,1
37,and,19
38,’s,10
39,against,1
40,law,4
41,to,31
42,have,4
43,dog,2
44,owners,2
45,defy,1
46,ban,1
47,are,6
48,subject,1
49,fine,1
50,lashes,2
51,possible,1
52,execution,1
53,of,27
54,their,4
55,pet,2
56,dr,2
57,mohedi,2
58,poster,1
59,showed,1
60,him,4
61,with,5
62,stray,1
63,gutsy,1
64,lost,1
65,race,1
66,but,4
67,what,12
68,has,10
69,stuck,1
70,me,1
71,is,7
72,had,2
73,say,2
74,thomas,1
75,erdbrink,1
76,bureau,1
77,chief,1
78,about,2
79,elected,1
80,leadership,1
81,we,3
82,pets,1
83,this,3
84,they,10
85,thinking,6
86,there,2
87,massive,1
88,gap,1
89,between,1
90,our,6
91,politicians,1
92,us,2
93,image,2
94,government,2
95,disconnected,1
96,will,1
97,people,2
98,purports,1
99,serve,1
100,should,1
101,leave,1
102,shaking,1
103,heads,1
104,sympathy,1
105,dismay,1
106,look,1
107,mirror,1
108,reflects,1
109,own,2
110,millions,1
111,americans,3
112,oppose,1
113,repeal,1
114,affordable,1
115,care,2
116,act,1
117,poll,3
118,late,1
119,june,1
120,only,1
121,percent,3
122,supported,1
123,senate,4
124,republican,2
125,plan,1
126,then,1
127,pending,1
128,separate,1
129,month,2
130,found,2
131,overall,1
132,support,3
133,existing,1
134,passed,1
135,mark,1
136,first,1
137,time,4
138,probably,1
139,because,2
140,increased,1
141,public,3
142,appreciation,1
143,its,1
144,benefits,1
145,consequences,1
146,doing,5
147,away,1
148,yet,3
149,congress,1
150,united,3
151,states,3
152,spent,2
153,months,1
154,almost,2
155,nothing,2
156,else,2
157,trying,1
158,different,1
159,ways,1
160,strip,1
161,health,1
162,coverage,1
163,were,1
164,fairness,1
165,devoted,1
166,confirming,1
167,president,4
168,trump,5
169,judicial,2
170,nominees,1
171,some,2
172,dubious,1
173,merit,1
174,last,1
175,on,7
176,party,1
177,line,1
178,vote,1
179,confirmed,1
180,kentucky,1
181,lawyer,2
182,john,1
183,k,1
184,bush,2
185,court,3
186,appeals,1
187,sixth,1
188,circuit,1
189,under,1
190,pseudonym,1
191,g,1
192,morris,1
193,judge,1
194,regular,1
195,blogger,1
196,conservative,2
197,site,1
198,called,2
199,elephants,1
200,bluegrass,1
201,which,1
202,shared,1
203,his,5
204,opinion,1
205,roe,1
206,v,1
207,wade,1
208,greatest,1
209,tragedies,1
210,country,2
211,other,2
212,dred,1
213,scott,2
214,case,1
215,decision,2
216,denied,1
217,american,4
218,citizenship,1
219,slaves,1
220,slower,1
221,approve,1
222,another,2
223,nominee,1
224,damien,1
225,schiff,1
226,staff,1
227,right,1
228,wing,1
229,pacific,1
230,legal,1
231,foundation,2
232,nominated,1
233,federal,3
234,claims,1
235,perhaps,2
236,blog,1
237,justice,1
238,anthony,1
239,m,1
240,kennedy,1
241,prostitute,1
242,less,1
243,than,4
244,third,1
245,supports,1
246,cutting,1
247,off,1
248,money,2
249,reimburses,1
250,planned,2
251,parenthood,2
252,provides,1
253,medicaid,1
254,patients,1
255,congressional,1
256,leaders,2
257,turn,2
258,reflexively,1
259,defunding,1
260,whenever,1
261,do,3
262,supreme,1
263,come,1
264,rest,1
265,albeit,1
266,more,2
267,exhaustion,1
268,conviction,1
269,constitutionality,1
270,at,5
271,least,3
272,version,1
273,affirmative,1
274,action,1
275,higher,1
276,education,1
277,upheld,1
278,long,3
279,contested,1
280,program,2
281,university,1
282,texas,1
283,administration,1
284,evidently,1
285,concluded,1
286,would,1
287,be,1
288,dandy,1
289,stir,1
290,pot,1
291,throw,1
292,muscle,1
293,into,2
294,cause,1
295,relied,1
296,painstakingly,1
297,recruited,1
298,plaintiffs,1
299,environment,2
300,deep,1
301,bipartisan,1
302,roots,1
303,going,1
304,1970s,1
305,when,1
306,architecture,1
307,today,1
308,environmental,4
309,regulation,1
310,created,1
311,such,1
312,measures,1
313,clean,1
314,air,1
315,water,1
316,acts,1
317,establishment,1
318,protection,2
319,agency,2
320,all,1
321,signed,1
322,richard,1
323,nixon,1
324,remains,1
325,strong,1
326,growing,1
327,gallup,1
328,spring,1
329,favor,1
330,alternative,2
331,energy,1
332,sources,1
333,rather,1
334,continuing,1
335,develop,1
336,fossil,1
337,fuel,1
338,resources,1
339,love,1
340,coal,1
341,dwindling,1
342,population,1
343,miners,1
344,placed,1
345,charge,1
346,man,1
347,adult,1
348,life,1
