,term,count
0,this,3
1,article,1
2,is,9
3,part,3
4,of,12
5,the,39
6,opinion,1
7,today,1
8,newsletter,1
9,you,1
10,can,1
11,sign,1
12,up,5
13,here,1
14,to,22
15,receive,1
16,more,3
17,briefings,1
18,and,14
19,a,23
20,guide,1
21,section,1
22,daily,1
23,in,11
24,your,1
25,inbox,1
26,where,1
27,would,2
28,be,5
29,patriotic,1
30,place,2
31,for,7
32,amazon,9
33,put,1
34,its,6
35,enormous,1
36,new,4
37,office,2
38,complex,1
39,company,3
40,announced,1
41,yesterday,2
42,that,13
43,it,6
44,was,3
45,looking,1
46,beyond,1
47,seattle,3
48,build,1
49,second,1
50,headquarters,1
51,ultimately,1
52,hq2,1
53,as,5
54,calls,1
55,project,2
56,will,4
57,house,1
58,workers,2
59,stretch,1
60,over,1
61,space,1
62,than,1
63,pentagon,1
64,welcomed,1
65,proposals,1
66,from,5
67,cities,2
68,said,1
69,wanted,2
70,metro,1
71,area,1
72,with,5
73,at,2
74,least,1
75,people,2
76,employees,1
77,find,1
78,appealing,1
79,i,7
80,read,2
81,about,2
82,realized,1
83,already,2
84,had,1
85,rooting,2
86,interest,1
87,hope,1
88,has,6
89,enough,2
90,sense,1
91,corporate,2
92,citizenship,1
93,patriotism,1
94,choose,1
95,helps,2
96,country,5
97,united,1
98,states,1
99,terribly,1
100,polarized,2
101,between,1
102,biggest,1
103,everywhere,1
104,else,1
105,large,1
106,metropolitan,2
107,areas,2
108,on,8
109,coasts,2
110,like,3
111,san,1
112,francisco,1
113,boston,1
114,york,3
115,washington,1
116,are,4
117,thriving,1
118,economically,1
119,rest,1
120,n’t,1
121,doing,3
122,nearly,1
123,so,3
124,well,2
125,gap,2
126,aggravates,1
127,all,2
128,kinds,1
129,problems,1
130,including,1
131,inequality,1
132,political,1
133,polarization,1
134,’d,1
135,shame,1
136,if,1
137,which,1
138,showering,1
139,jobs,2
140,region,1
141,further,1
142,exacerbated,1
143,choice,1
144,’m,1
145,against,2
146,anything,1
147,northeast,1
148,or,1
149,west,1
150,coast,1
151,chicago,1
152,denver,1
153,minneapolis,1
154,also,1
155,quite,1
156,nicely,1
157,’ll,1
158,add,1
159,them,1
160,same,1
161,list,1
162,still,1
163,leaves,1
164,lot,2
165,good,2
166,options,1
167,atlanta,1
168,raleigh,1
169,nashville,1
170,richmond,1
171,kansas,1
172,city,2
173,jacksonville,1
174,among,1
175,major,1
176,highest,1
177,share,2
178,year,1
179,college,2
180,graduates,1
181,needs,3
182,educated,1
183,detroit,1
184,surprisingly,1
185,ranks,1
186,21st,1
187,charlotte,1
188,22nd,1
189,dallas,1
190,houston,1
191,rank,1
192,lower,1
193,but,2
194,big,1
195,have,1
196,work,1
197,force,1
198,obviously,1
199,jeff,1
200,bezos,1
201,make,2
202,decision,1
203,yet,1
204,there,1
205,business,1
206,case,2
207,him,1
208,get,1
209,away,1
210,grand,1
211,ambitions,1
212,dominate,1
213,retail,1
214,presence,1
215,means,1
216,culture,1
217,deep,1
218,connection,1
219,our,1
220,could,1
221,benefit,1
222,diversification,1
223,elsewhere,1
224,most,2
225,depressing,1
226,’s,6
227,announcement,1
228,request,1
229,wooed,1
230,tax,2
231,breaks,2
232,tech,1
233,companies,1
234,flush,1
235,w,3
236,cash,1
237,must,1
238,not,1
239,demand,1
240,local,1
241,front,1
242,they,1
243,shld,1
244,partner,1
245,communities,1
246,tweeted,1
247,ro,1
248,khanna,1
249,member,1
250,congress,1
251,california,1
252,back,1
253,school,3
254,bill,1
255,blasio,1
256,mayor,1
257,forcing,1
258,schools,2
259,hire,2
260,teachers,1
261,no,1
262,other,1
263,marc,1
264,sternberg,1
265,former,2
266,high,1
267,principal,1
268,laments,1
269,times,3
270,op,1
271,ed,1
272,magazine,1
273,jonathan,1
274,chait,2
275,criticizes,1
276,coverage,1
277,charter,1
278,agree,1
279,journalists,1
280,many,1
281,publications,1
282,often,1
283,give,1
284,misleading,1
285,overly,1
286,negative,2
287,picture,1
288,education,1
289,reform,1
290,research,1
291,group,1
292,stanford,1
293,does,1
294,better,1
295,job,1
296,telling,1
297,full,1
298,story,1
299,positive,1
300,those,1
301,interested,1
302,digging,1
303,obama,4
304,speaks,1
305,reaction,1
306,barack,1
307,statement,2
308,dreamers,2
309,he,2
310,been,1
311,smart,2
312,stay,1
313,quiet,1
314,issues,1
315,karl,1
316,rove,1
317,republican,2
318,strategist,1
319,spun,1
320,tale,1
321,wall,1
322,street,1
323,journal,1
324,claiming,1
325,reason,1
326,issue,3
327,now,1
328,harder,2
329,solve,1
330,silly,1
331,argument,1
332,nonetheless,1
333,influence,1
334,some,1
335,bottom,1
336,line,1
337,talks,1
338,an,1
339,sometimes,1
340,clearly,1
341,should,1
342,speak,1
343,republicans,1
344,defy,1
345,president,2
346,trump,2
347,piece,1
348,mess,1
349,created,2
350,josh,1
351,blackman,1
352,foreign,1
353,policy,1
354,agency,2
355,by,1
356,years,1
357,ago,1
358,protect,1
359,environment,1
360,public,1
361,health,1
362,may,1
363,end,1
364,neither,1
365,writes,1
366,christine,1
367,todd,1
368,whitman,1
369,who,1
370,epa,1
371,administrator,1
372,under,1
373,george,1
374,bush,1
375,referring,1
376,her,1
