,term,count
0,the,56
1,violent,1
2,furor,1
3,that,10
4,erupted,1
5,this,3
6,summer,1
7,over,2
8,removal,1
9,of,37
10,confederate,3
11,monuments,2
12,in,25
13,several,1
14,cities,3
15,was,4
16,a,19
17,stark,1
18,reminder,1
19,americans,1
20,remain,1
21,trapped,1
22,residue,1
23,slavery,8
24,and,47
25,racial,2
26,violence,1
27,confronting,1
28,difficult,1
29,truth,2
30,our,15
31,attention,1
32,is,14
33,naturally,1
34,drawn,1
35,to,10
36,south,7
37,rightfully,1
38,so,1
39,hotbed,1
40,race,2
41,based,1
42,labor,1
43,sexual,2
44,exploitation,1
45,before,2
46,after,2
47,civil,1
48,war,2
49,caldron,1
50,white,5
51,supremacist,2
52,ideology,1
53,sought,1
54,draw,1
55,an,3
56,inviolable,1
57,line,1
58,between,1
59,whiteness,1
60,blackness,1
61,purity,1
62,contagion,1
63,precious,1
64,lives,3
65,throwaway,1
66,as,4
67,author,1
68,histories,1
69,on,6
70,i,1
71,agree,1
72,removing,1
73,iconography,1
74,from,6
75,like,1
76,new,4
77,orleans,1
78,baltimore,1
79,charlottesville,1
80,va,1
81,necessary,1
82,urgent,1
83,however,1
84,national,2
85,discourse,1
86,’s,7
87,legacy,2
88,racism,2
89,persistent,1
90,grip,1
91,we,7
92,have,2
93,overlooked,1
94,crucial,1
95,fact,1
96,history,4
97,human,1
98,bondage,1
99,supremacy,1
100,not,4
101,restricted,1
102,by,2
103,turning,1
104,into,2
105,island,1
106,historical,2
107,injustice,1
108,separate,1
109,rest,1
110,united,2
111,states,2
112,misunderstand,1
113,longstanding,1
114,nationwide,1
115,collusion,1
116,has,2
117,produced,1
118,organizers,1
119,fargo,1
120,nd,1
121,president,1
122,york,2
123,city,4
124,who,4
125,thinks,1
126,further,2
127,research,1
128,needed,1
129,determine,1
130,aims,1
131,ku,1
132,klux,1
133,klan,1
134,historians,1
135,are,3
136,continually,1
137,unearthing,1
138,ugly,2
139,american,1
140,had,2
141,no,1
142,bounds,1
143,it,5
144,penetrated,1
145,every,1
146,corner,1
147,country,2
148,materially,1
149,economically,1
150,ideologically,1
151,unjust,1
152,campaign,1
153,preserve,1
154,embedded,2
155,built,1
156,environments,2
157,north,1
158,east,1
159,west,1
160,detroit,12
161,surprising,1
162,case,1
163,point,1
164,free,1
165,final,1
166,stop,1
167,underground,2
168,railroad,2
169,canada,1
170,known,1
171,code,1
172,word,1
173,midnight,1
174,yet,3
175,its,1
176,early,2
177,mired,1
178,slave,2
179,past,2
180,near,1
181,start,2
182,revolutionary,1
183,william,2
184,alexander,1
185,macomb,6
186,scots,1
187,irish,1
188,traders,1
189,illegally,1
190,purchased,1
191,grosse,2
192,isle,4
193,potawatomi,1
194,people,7
195,largest,1
196,slaveholder,2
197,late,1
198,1700s,1
199,he,3
200,owned,1
201,at,1
202,least,1
203,black,2
204,men,2
205,women,1
206,children,1
207,kept,1
208,slaves,1
209,his,4
210,river,2
211,islands,2
212,which,2
213,included,1
214,current,1
215,park,1
216,right,1
217,heart,1
218,far,1
219,where,1
220,international,1
221,memorial,1
222,now,2
223,rises,1
224,above,1
225,view,1
226,when,1
227,died,1
228,wife,1
229,sarah,1
230,their,7
231,sons,1
232,inherited,1
233,family,3
234,fortune,1
235,later,1
236,becoming,1
237,along,1
238,with,1
239,other,1
240,slaveholding,1
241,families,1
242,among,2
243,first,2
244,trustees,1
245,university,2
246,michigan,4
247,surname,1
248,those,1
249,numerous,1
250,sellers,1
251,slaveholders,3
252,indigenous,2
253,land,1
254,thieves,1
255,cover,1
256,region,1
257,map,2
258,committed,1
259,crimes,1
260,against,1
261,humanity,1
262,fur,1
263,trade,1
264,shops,1
265,private,1
266,homes,1
267,farms,1
268,great,1
269,lakes,1
270,trading,1
271,vessels,1
272,memorialized,1
273,throughout,1
274,metropolis,1
275,street,1
276,signs,1
277,school,1
278,buildings,1
279,town,1
280,halls,1
281,county,2
282,seats,1
283,journalist,1
284,bill,1
285,mcgraw,1
286,began,1
287,catalog,1
288,these,4
289,names,4
290,article,1
291,big,1
292,bad,1
293,secret,1
294,campau,1
295,beaubien,1
296,mcdougall,1
297,abbott,1
298,brush,1
299,cass,6
300,hamtramck,1
301,gouin,1
302,meldrum,1
303,dequindre,1
304,beaufait,1
305,groesbeck,1
306,livernois,1
307,rivard,1
308,just,2
309,for,2
310,instance,1
311,named,3
312,isabelle,1
313,daughter,1
314,lewis,2
315,politician,1
316,governor,1
317,supporter,1
318,negotiated,1
319,sale,1
320,woman,1
321,enslaved,1
322,sally,1
323,member,1
324,according,1
325,biographer,1
326,willard,1
327,carl,1
328,klunder,1
329,name,1
330,attached,1
331,well,1
332,best,1
333,public,2
334,schools,1
335,tech,1
336,detroiters,1
337,visitors,1
338,alike,1
339,speak,1
340,elevate,1
341,whenever,1
342,they,2
343,trace,1
