,term,count
0,when,2
1,schools,11
2,reopened,1
3,in,15
4,new,10
5,york,6
6,last,1
7,week,1
8,students,7
9,were,1
10,greeted,1
11,by,3
12,teachers,15
13,who,3
14,had,6
15,spent,2
16,the,27
17,summer,2
18,preparing,1
19,for,7
20,their,6
21,return,1
22,unfortunately,1
23,many,2
24,of,21
25,those,1
26,to,29
27,devote,1
28,some,2
29,time,2
30,not,7
31,lesson,1
32,plans,1
33,but,1
34,a,13
35,state,5
36,teacher,7
37,certification,6
38,process,1
39,that,13
40,emphasizes,1
41,bureaucratic,1
42,procedures,1
43,more,3
44,than,2
45,real,1
46,world,1
47,qualifications,3
48,so,2
49,as,5
50,recently,1
51,jump,1
52,through,3
53,hoops,1
54,i,21
55,was,7
56,pleased,1
57,learn,1
58,university,2
59,charter,8
60,institute,3
61,which,2
62,authorizes,1
63,operators,1
64,is,3
65,considering,1
66,allowing,1
67,certify,2
68,themselves,1
69,comment,1
70,period,1
71,proposal,3
72,closes,1
73,on,2
74,monday,1
75,and,21
76,could,1
77,approve,1
78,it,4
79,early,1
80,next,1
81,month,1
82,here,1
83,’s,5
84,my,13
85,story,1
86,february,1
87,delighted,1
88,receive,3
89,an,3
90,offer,2
91,from,5
92,democracy,5
93,prep,5
94,public,2
95,city,1
96,thriving,1
97,school,6
98,networks,1
99,join,1
100,innovative,1
101,educational,1
102,program,3
103,with,5
104,disabilities,1
105,called,1
106,pathways,1
107,there,1
108,just,2
109,problem,1
110,certified,4
111,teach,4
112,did,3
113,possess,1
114,requisite,2
115,mean,1
116,lacked,1
117,received,1
118,already,5
119,years,2
120,teaching,4
121,coaching,1
122,aspiring,1
123,boston,5
124,chicago,1
125,graduate,3
126,residency,1
127,alternative,1
128,preparation,1
129,based,1
130,am,2
131,massachusetts,2
132,also,2
133,have,6
134,master,1
135,education,2
136,nevertheless,1
137,because,2
138,approach,1
139,credentialing,1
140,took,1
141,months,1
142,exams,2
143,portfolio,2
144,countless,1
145,hours,4
146,about,1
147,me,2
148,get,3
149,initial,1
150,certificate,2
151,reciprocity,1
152,’m,1
153,lucky,1
154,ones,2
155,another,2
156,take,1
157,additional,1
158,courses,1
159,even,2
160,reimbursed,1
161,all,3
162,application,1
163,exam,1
164,fees,1
165,still,1
166,found,1
167,myself,1
168,having,2
169,divert,1
170,precious,1
171,work,1
172,classroom,3
173,study,1
174,compile,1
175,demonstrate,1
176,competent,1
177,proved,1
178,before,1
179,can,3
180,be,2
181,daunting,1
182,task,1
183,one,3
184,deter,1
185,great,3
186,prospective,1
187,or,5
188,prompt,1
189,leave,1
190,field,2
191,rather,1
192,deal,1
193,paperwork,1
194,involved,1
195,getting,1
196,renewing,1
197,become,1
198,numerous,1
199,popular,1
200,they,3
201,are,2
202,problems,1
203,finding,1
204,enough,1
205,instructors,1
206,rely,1
207,young,1
208,often,1
209,nontraditional,1
210,backgrounds,1
211,yet,1
212,under,2
213,would,2
214,able,1
215,design,1
216,own,1
217,training,3
218,programs,2
219,these,1
220,minimum,1
221,experience,1
222,supervision,1
223,content,1
224,core,1
225,instruction,1
226,among,1
227,other,2
228,requirements,1
229,including,1
230,position,1
231,undertake,1
232,such,1
233,mid,1
234,august,1
235,this,2
236,year,3
237,headlong,1
238,into,2
239,professional,1
240,development,1
241,at,3
242,engage,1
243,approximately,1
244,throughout,1
245,constant,1
246,feedback,1
247,support,1
248,improve,1
249,practice,1
250,help,1
251,grow,1
252,observed,1
253,weekly,1
254,leaders,1
255,instructional,1
256,coaches,1
257,network,1
258,staff,1
259,members,1
260,end,1
261,each,1
262,trimester,1
263,sit,1
264,down,1
265,principal,1
266,review,1
267,performance,1
268,progress,1
269,set,1
270,goals,1
271,remainder,1
272,while,1
273,unions,1
274,professors,1
275,colleges,1
276,criticized,1
277,experiences,1
278,around,1
279,country,1
280,taught,1
281,no,2
282,actually,1
283,cares,1
284,where,1
285,how,1
286,you,1
287,learned,1
288,has,2
289,ever,1
290,walked,1
291,asked,1
292,see,1
293,degree,1
294,questioned,1
295,mattered,1
296,environment,1
297,’ve,2
298,helped,1
299,create,1
300,relationships,1
301,built,1
302,families,1
303,growth,1
304,limiting,1
305,ability,1
306,attract,1
307,makes,1
308,little,1
309,sense,1
310,important,1
311,our,2
312,whether,1
313,went,1
314,traditional,1
315,america,1
316,matters,1
317,very,1
318,best,1
319,we,1
320,give,1
321,them,1
322,communities,1
323,deserve,1
324,highest,1
325,quality,1
326,merely,1
327,paper,1
