,term,count
0,this,4
1,article,2
2,is,13
3,part,3
4,of,30
5,the,36
6,opinion,1
7,today,2
8,newsletter,1
9,you,4
10,can,3
11,sign,1
12,up,2
13,here,2
14,to,20
15,receive,1
16,more,2
17,briefings,1
18,and,10
19,a,23
20,guide,1
21,section,1
22,daily,1
23,in,12
24,your,1
25,inbox,1
26,it,9
27,safer,1
28,have,4
29,whole,1
30,people,3
31,respectably,1
32,enlightened,1
33,than,1
34,few,1
35,high,1
36,state,1
37,science,1
38,many,1
39,ignorance,1
40,that,7
41,quotation,1
42,comes,2
43,from,5
44,thomas,1
45,jefferson,2
46,he,6
47,believed,1
48,so,1
49,deeply,1
50,devoted,1
51,much,1
52,his,4
53,public,4
54,life,1
55,creating,1
56,university,6
57,virginia,3
58,became,1
59,country,3
60,’s,13
61,greatest,1
62,universities,1
63,on,6
64,friday,1
65,uva,3
66,as,9
67,known,1
68,named,1
69,new,1
70,president,2
71,james,1
72,ryan,6
73,highly,2
74,regarded,1
75,dean,1
76,harvard,2
77,education,4
78,school,1
79,appointment,1
80,good,1
81,time,1
82,point,1
83,out,2
84,fundamental,1
85,way,1
86,failing,1
87,live,1
88,ideals,1
89,has,7
90,for,3
91,years,1
92,been,2
93,least,2
94,economically,1
95,diverse,1
96,colleges,1
97,any,1
98,kind,1
99,or,1
100,private,1
101,statistics,1
102,are,7
103,pretty,1
104,amazing,1
105,see,1
106,times,2
107,graphic,1
108,about,2
109,percent,3
110,students,2
111,at,3
112,come,1
113,families,1
114,earning,1
115,year,1
116,meanwhile,1
117,poor,1
118,working,1
119,class,1
120,virginians,1
121,largely,1
122,shut,1
123,only,2
124,student,1
125,body,1
126,bottom,1
127,income,2
128,distribution,1
129,does,1
130,n’t,2
131,strong,1
132,reputation,1
133,circles,1
134,also,2
135,history,1
136,caring,1
137,opportunity,3
138,fairness,1
139,central,1
140,motivation,1
141,taking,1
142,job,1
143,susan,1
144,svrluga,1
145,washington,1
146,post,2
147,wrote,1
148,weekend,1
149,was,1
150,belief,1
151,power,1
152,said,1
153,deanship,1
154,an,2
155,work,1
156,with,2
157,focused,1
158,expanding,1
159,educational,1
160,same,1
161,story,1
162,cited,1
163,former,2
164,colleague,1
165,liz,1
166,magill,1
167,saying,1
168,loves,1
169,u,1
170,va,1
171,mission,2
172,added,1
173,personal,1
174,first,1
175,member,1
176,family,1
177,go,1
178,college,2
179,deep,2
180,connection,1
181,profound,1
182,ways,1
183,higher,1
184,transform,1
185,lives,1
186,uva’s,1
187,home,1
188,charlottesville,1
189,become,1
190,symbol,1
191,recent,1
192,weeks,1
193,inequities,2
194,both,1
195,racial,1
196,economic,1
197,most,1
198,those,1
199,little,1
200,do,1
201,course,1
202,but,1
203,exactly,1
204,doing,1
205,its,1
206,combat,1
207,them,1
208,hoping,1
209,elect,1
210,changes,1
211,if,3
212,wondering,1
213,whether,1
214,there,5
215,large,1
216,numbers,1
217,qualified,1
218,low,1
219,whom,1
220,could,1
221,enroll,1
222,i,1
223,described,1
224,academic,1
225,research,1
226,issue,1
227,news,1
228,congressional,1
229,leaders,1
230,showing,1
231,signs,1
232,scheduling,1
233,vote,1
234,cassidy,1
235,graham,1
236,health,3
237,care,2
238,bill,4
239,next,1
240,week,1
241,virtually,1
242,no,2
243,support,1
244,experts,1
245,dan,1
246,diamond,1
247,politico,1
248,notes,1
249,surprise,1
250,would,3
251,take,1
252,insurance,1
253,away,1
254,vast,1
255,number,1
256,want,1
257,details,1
258,read,1
259,paul,1
260,krugman,1
261,column,1
262,jonathan,1
263,cohn,2
264,huffpost,1
265,written,1
266,clear,2
267,summary,1
268,even,2
269,political,1
270,fortunes,1
271,difficult,1
272,pin,1
273,down,1
274,impact,1
275,law,1
276,crystal,1
277,writes,2
278,leave,1
279,millions,1
280,americans,1
281,struggling,1
282,pay,1
283,their,2
284,medical,1
285,bills,1
286,get,1
287,coverage,1
288,elsewhere,1
289,slate,1
290,april,1
291,glaser,1
292,explains,1
293,trump,3
294,administration,1
295,refusing,1
296,release,1
297,mar,1
298,lago,1
299,guest,1
300,records,1
301,though,1
302,taxpayer,1
303,money,1
304,subsidizing,1
305,stays,1
306,strongest,1
307,evidence,1
308,yet,1
309,violating,1
310,constitutional,1
311,anti,1
312,corruption,1
313,clauses,1
314,she,1
315,matthew,1
316,hennessey,1
317,wall,1
318,street,1
319,journal,1
320,interviews,1
321,profiles,1
322,rising,1
323,republican,2
324,star,1
325,eric,1
326,greitens,2
327,missouri,1
328,governor,1
329,well,1
330,democrat,1
331,navy,1
332,seal,1
333,rhodes,1
334,scholar,1
335,obvious,1
336,potential,1
337,presidential,1
338,candidate,1
339,party,1
340,tendency,1
341,age,1
342,men,1
343,define,1
344,sexual,1
345,assault,1
346,according,2
347,own,1
348,standards,1
349,not,1
350,campus,1
351,guidelines,1
352,write,1
353,nicole,1
354,bedera,1
355,miriam,1
356,gleckman,1
357,krut,1
358,michigan,1
