,term,count
0,umar,1
1,ibn,1
2,al,6
3,khattab,3
4,a,26
5,chief,1
6,adviser,1
7,and,39
8,successor,1
9,to,22
10,the,76
11,prophet,1
12,muhammad,1
13,was,7
14,last,2
15,truly,1
16,just,2
17,ruler,1
18,in,27
19,arab,6
20,world,9
21,he,6
22,died,2
23,years,1
24,ago,1
25,called,1
26,farooq,1
27,one,1
28,who,6
29,distinguishes,1
30,between,1
31,right,1
32,wrong,3
33,also,1
34,uttered,1
35,of,30
36,most,2
37,beautiful,1
38,phrases,1
39,history,2
40,how,4
41,can,4
42,you,8
43,turn,1
44,people,5
45,into,1
46,slaves,1
47,when,3
48,their,3
49,mothers,1
50,gave,1
51,birth,1
52,them,2
53,as,6
54,free,3
55,human,2
56,beings,1
57,extended,1
58,islamic,1
59,empire,1
60,far,1
61,persia,1
62,renowned,1
63,for,12
64,establishing,1
65,evenhanded,1
66,governance,1
67,throughout,1
68,conquered,2
69,lands,1
70,including,1
71,what,8
72,is,11
73,now,1
74,syria,12
75,damascus,4
76,pivot,1
77,point,1
78,understanding,1
79,its,5
80,movements,1
81,countless,1
82,times,1
83,city,1
84,has,6
85,always,2
86,managed,1
87,remain,1
88,steadfastly,1
89,itself,1
90,occupiers,1
91,change,1
92,during,1
93,century,1
94,established,1
95,many,1
96,essentials,1
97,democracy,11
98,elections,1
99,parliament,1
100,political,2
101,parties,1
102,anti,1
103,government,2
104,protests,1
105,freedom,9
106,press,1
107,then,2
108,came,2
109,baath,1
110,party,1
111,coup,1
112,hafez,1
113,assad,6
114,snatched,1
115,instituted,1
116,paranoid,1
117,regime,4
118,his,2
119,son,1
120,bashar,2
121,succeeded,1
122,him,1
123,promised,1
124,at,4
125,first,2
126,redeem,1
127,but,3
128,reform,1
129,movement,1
130,stalled,1
131,march,1
132,midst,1
133,spring,2
134,protesters,2
135,took,2
136,streets,2
137,demanding,1
138,democratic,2
139,reforms,1
140,release,1
141,prisoners,1
142,security,1
143,forces,1
144,opened,2
145,fire,1
146,revolution,3
147,began,1
148,gradually,1
149,convulsing,1
150,all,2
151,video,3
152,from,5
153,that,10
154,time,2
155,president,3
156,’s,15
157,soldiers,1
158,trampled,1
159,group,1
160,young,2
161,shackled,1
162,chains,1
163,on,5
164,ground,2
165,want,2
166,animals,2
167,tell,2
168,me,2
169,question,3
170,responded,1
171,decisively,1
172,meanwhile,1
173,an,4
174,area,2
175,seized,1
176,by,5
177,qaeda,2
178,camera,1
179,documented,1
180,foreign,2
181,fighters,1
182,chechnya,1
183,france,1
184,saudi,1
185,arabia,1
186,tunisia,1
187,were,4
188,terrorizing,1
189,syrian,8
190,tearing,1
191,down,1
192,flag,1
193,posted,1
194,signs,1
195,roads,1
196,under,1
197,control,1
198,blasphemy,1
199,tragedy,1
200,dominate,1
201,screens,1
202,worldwide,1
203,nations,1
204,clear,1
205,do,4
206,understand,1
207,fate,1
208,those,4
209,demand,1
210,this,4
211,which,5
212,answered,1
213,with,6
214,blood,1
215,confirmed,1
216,dreadful,1
217,must,1
218,end,2
219,america,3
220,west,7
221,confined,1
222,intervention,2
223,mainly,1
224,words,1
225,if,4
226,statements,1
227,alone,1
228,would,2
229,counter,1
230,brutality,1
231,hatefulness,1
232,imported,1
233,terrorists,2
234,our,3
235,terrorism,1
236,emerged,1
237,effective,1
238,prescription,1
239,treating,1
240,diseases,1
241,postmodern,1
242,sorcery,1
243,doors,1
244,thousands,2
245,jihadis,1
246,around,2
247,once,1
248,these,1
249,bearded,1
250,men,3
251,drove,1
252,tanks,1
253,fired,1
254,machine,1
255,guns,1
256,applying,1
257,they,2
258,had,3
259,learned,1
260,playing,1
261,games,1
262,fantasy,1
263,blended,1
264,fact,1
265,so,1
266,hard,1
267,separate,1
268,streamed,1
269,erupted,1
270,kept,1
271,safe,2
272,distance,1
273,barack,1
274,obama,2
275,defending,1
276,lack,1
277,significant,1
278,military,2
279,questioned,1
280,whether,1
281,moderate,1
282,opposition,1
283,included,1
284,farmers,1
285,or,2
286,dentists,1
287,maybe,1
288,some,1
