,term,count
0,sydney,1
1,trump,8
2,long,1
3,ago,1
4,named,1
5,his,3
6,ambassadors,1
7,to,20
8,the,57
9,bahamas,1
10,political,3
11,donor,1
12,doug,1
13,manchester,1
14,and,13
15,vatican,1
16,spouse,1
17,callista,1
18,gingrich,1
19,so,6
20,on,7
21,a,24
22,trip,1
23,other,2
24,day,2
25,canberra,1
26,i,3
27,asked,1
28,whether,4
29,american,5
30,president,3
31,had,1
32,nominated,1
33,an,4
34,emissary,1
35,this,4
36,important,2
37,if,2
38,sleepy,1
39,capital,1
40,not,4
41,yet,2
42,says,1
43,sam,2
44,roggeveen,1
45,of,26
46,lowy,2
47,institute,2
48,nonpartisan,1
49,international,2
50,policy,3
51,think,3
52,tank,1
53,that,12
54,is,10
55,hosting,1
56,me,1
57,for,10
58,week,2
59,n’t,4
60,completely,1
61,unexpected,1
62,given,1
63,pace,1
64,state,1
65,department,1
66,bureaucracy,1
67,still,1
68,he,3
69,adds,1
70,more,3
71,delay,1
72,would,3
73,begin,1
74,have,3
75,color,1
76,insult,1
77,visit,1
78,australian,7
79,war,1
80,memorial,1
81,moving,1
82,reminder,1
83,australians,3
84,fought,1
85,alongside,1
86,americans,3
87,in,19
88,nearly,1
89,all,2
90,our,5
91,wars,1
92,over,5
93,past,1
94,century,1
95,korea,2
96,vietnam,2
97,iraq,1
98,afghanistan,1
99,than,3
100,aussies,1
101,perished,1
102,these,1
103,efforts,1
104,staggering,1
105,sacrifice,1
106,country,1
107,with,2
108,less,3
109,percent,1
110,america,4
111,’s,18
112,population,1
113,what,3
114,administration,1
115,doing,2
116,cultivate,1
117,alliance,1
118,surface,1
119,it,6
120,business,1
121,as,5
122,usual,1
123,united,7
124,states,7
125,militaries,1
126,train,1
127,together,1
128,spy,1
129,agencies,1
130,look,1
131,at,3
132,same,1
133,intelligence,1
134,through,1
135,called,1
136,eyes,1
137,arrangement,1
138,free,1
139,trade,3
140,agreement,2
141,which,1
142,has,4
143,threatened,1
144,pull,1
145,out,2
146,generates,1
147,way,1
148,channel,1
149,worth,1
150,north,2
151,harry,1
152,harris,1
153,admiral,1
154,who,3
155,runs,1
156,pacific,3
157,command,1
158,also,2
159,seen,1
160,name,1
161,floated,1
162,ambassador,1
163,job,1
164,’d,2
165,be,2
166,smart,2
167,choice,1
168,but,6
169,appearance,1
170,normality,1
171,masks,1
172,deep,1
173,unease,1
174,security,1
175,officials,2
176,seem,1
177,pretty,1
178,good,1
179,read,1
180,kim,1
181,jong,1
182,un,1
183,mind,1
184,set,1
185,counterpart,1
186,whose,2
187,instincts,2
188,motives,1
189,they,2
190,find,2
191,baffling,1
192,worrisome,1
193,keeps,1
194,close,1
195,eye,1
196,chinese,4
197,their,1
198,growing,1
199,encroachments,1
200,region,2
201,any,2
202,serious,1
203,interest,1
204,systematically,1
205,resisting,1
206,beijing,4
207,advances,1
208,much,2
209,clear,1
210,nagging,1
211,worry,1
212,among,1
213,here,1
214,wo,1
215,attend,1
216,key,1
217,regional,1
218,summits,1
219,philippines,1
220,november,1
221,mainly,1
222,because,2
223,’ll,1
224,them,1
225,boring,1
226,another,3
227,trumpian,1
228,signal,1
229,first,2
230,was,4
231,disastrous,1
232,withdrawal,2
233,from,2
234,trans,1
235,partnership,1
236,slowly,1
237,checking,1
238,itself,1
239,western,1
240,korean,1
241,crisis,1
242,may,1
243,dominate,1
244,attention,1
245,mostly,1
246,nuclear,1
247,weapons,1
248,are,5
249,involved,1
250,pyongyang,1
251,can,2
252,now,1
253,threaten,1
254,seattle,1
255,well,1
256,guam,1
257,larger,2
258,game,2
259,struggle,1
260,influence,1
261,against,2
262,hugh,1
263,white,3
264,professor,1
265,strategy,1
266,national,1
267,university,1
268,thinks,1
269,likely,1
270,win,1
271,after,1
272,while,1
273,potential,1
274,confrontation,1
275,or,5
276,taiwan,1
277,south,2
278,china,5
279,sea,2
280,inevitably,1
281,ask,1
282,themselves,1
283,point,2
284,we,4
285,there,1
286,why,1
287,risk,1
288,los,1
289,angeles,1
290,seoul,1
291,taipei,1
292,like,1
293,too,2
294,pessimistic,1
295,’m,1
296,sure,1
297,does,1
298,mention,1
299,conversation,1
300,advantage,2
301,lack,1
302,scruple,1
303,comes,1
304,bribes,1
305,military,2
306,threats,1
307,diplomatic,1
308,subversion,1
309,australia,3
310,scandal,1
311,year,2
312,concerns,1
313,born,1
314,property,1
315,developers,1
316,both,1
317,allegedly,1
318,connected,1
319,communist,1
320,party,2
321,funneled,1
322,dollars,1
323,politicians,1
324,various,1
325,parties,1
326,senator,1
327,dastyari,1
328,rising,1
329,star,1
330,labor,1
331,accused,1
332,last,1
333,mouthing,1
334,pro,1
335,line,1
336,dispute,1
337,fear,1
338,losing,1
339,figure,1
340,donation,1
