,term,count
0,i,2
1,’m,1
2,thrilled,1
3,that,22
4,jeff,1
5,sessions,8
6,is,13
7,such,3
8,an,7
9,evangelist,1
10,for,7
11,free,5
12,speech,7
13,now,2
14,if,2
15,only,2
16,he,14
17,could,2
18,convert,1
19,his,11
20,boss,1
21,on,5
22,tuesday,1
23,afternoon,1
24,with,5
25,much,2
26,fanfare,1
27,strode,1
28,onto,1
29,a,12
30,stage,1
31,at,7
32,georgetown,1
33,university,2
34,and,25
35,decried,1
36,the,47
37,rise,1
38,of,23
39,creature,1
40,insatiable,1
41,appetite,1
42,affirmation,1
43,distressing,1
44,inability,1
45,to,25
46,respect,2
47,other,3
48,side,1
49,ugly,1
50,impulse,1
51,silence,1
52,anyone,1
53,who,6
54,dwells,1
55,there,5
56,meant,1
57,today,2
58,’s,15
59,college,2
60,student,1
61,have,1
62,been,1
63,describing,1
64,president,6
65,while,1
66,decency,1
67,decorum,1
68,are,3
69,dying,1
70,in,19
71,this,4
72,administration,3
73,irony,1
74,hypocrisy,1
75,thrive,1
76,sessions’,3
77,defense,1
78,first,3
79,amendment,3
80,came,1
81,just,1
82,days,1
83,after,2
84,trump,8
85,needlessly,1
86,went,2
87,war,1
88,against,2
89,professional,1
90,athletes,3
91,were,1
92,exercising,1
93,very,1
94,rights,1
95,it,9
96,protects,2
97,when,1
98,pressed,1
99,dissonance,1
100,question,1
101,answer,1
102,period,1
103,remarks,2
104,simply,1
105,refused,1
106,recognize,1
107,fell,1
108,unswervingly,1
109,line,1
110,contradictions,1
111,be,7
112,damned,1
113,serve,1
114,transcendently,1
115,freeing,1
116,thing,1
117,no,4
118,dispute,1
119,many,2
120,campuses,1
121,illiberal,1
122,enclaves,1
123,bluntly,1
124,enforced,1
125,groupthink,1
126,doubt,1
127,students,1
128,deserve,1
129,stern,1
130,words,1
131,aimed,1
132,them,2
133,but,5
134,they,2
135,’re,1
136,still,2
137,green,1
138,growing,1
139,what,2
140,excuse,1
141,given,2
142,office,2
143,capacity,1
144,destruction,1
145,needs,1
146,lecture,1
147,delivered,1
148,most,3
149,all,4
150,so,6
151,let,1
152,redirect,1
153,from,3
154,its,2
155,intended,2
156,audience,1
157,ideal,1
158,one,1
159,ivory,1
160,tower,2
161,look,1
162,through,1
163,prism,1
164,ruler,1
165,those,2
166,will,2
167,say,3
168,certain,1
169,n’t,5
170,deserving,1
171,protection,1
172,some,1
173,hurtful,1
174,even,1
175,hateful,1
176,right,2
177,does,3
178,not,2
179,exist,1
180,protect,1
181,ideas,1
182,upon,1
183,which,2
184,us,1
185,agree,1
186,bull,1
187,eye,1
188,bingo,1
189,hallelujah,1
190,whatever,2
191,colin,1
192,kaepernick,1
193,has,6
194,communicate,1
195,by,2
196,kneeling,1
197,during,1
198,national,2
199,anthem,2
200,may,1
201,fond,1
202,particular,1
203,gesture,1
204,myself,1
205,never,2
206,was,1
207,as,6
208,correctly,1
209,noted,1
210,make,3
211,thoughts,1
212,known,1
213,further,1
214,exhorting,1
215,team,1
216,owners,1
217,football,1
218,league,1
219,fire,2
220,players,1
221,did,2
222,listen,1
223,salute,1
224,flag,2
225,manner,1
226,would,1
227,like,1
228,says,1
229,government,2
230,must,1
231,prohibit,1
232,expression,1
233,campaign,1
234,pro,1
235,threatening,1
236,loss,1
237,their,1
238,livelihoods,1
239,edges,1
240,up,1
241,territory,1
242,justice,1
243,robert,1
244,jackson,1
245,once,1
246,explained,1
247,fixed,2
248,star,2
249,our,3
250,constitutional,1
251,constellation,1
252,official,2
253,high,1
254,or,3
255,petty,1
256,can,2
257,prescribe,1
258,shall,1
259,orthodox,1
260,politics,1
261,nationalism,1
262,religion,1
263,matters,1
264,opinion’,1
265,highest,1
266,also,1
267,pettiest,1
268,attack,1
269,smacks,1
270,attempted,1
271,prescription,1
272,statement,1
273,press,2
