,term,count
0,after,2
1,mass,8
2,shootings,2
3,like,4
4,the,38
5,nightmare,1
6,in,15
7,las,3
8,vegas,6
9,there,3
10,are,4
11,always,1
12,complaints,1
13,that,21
14,we,4
15,do,5
16,n’t,8
17,talk,2
18,enough,1
19,about,2
20,gun,20
21,control,6
22,america,2
23,need,1
24,to,20
25,actually,2
26,have,3
27,debate,2
28,guns,3
29,and,28
30,murder,2
31,national,1
32,rifle,2
33,association,1
34,republicans,1
35,supposedly,1
36,keep,2
37,shutting,1
38,down,1
39,i,2
40,think,1
41,this,4
42,is,10
43,right,3
44,having,1
45,a,40
46,over,1
47,united,1
48,states,1
49,it,10
50,’s,8
51,just,3
52,side,2
53,convinced,2
54,new,4
55,regulations,3
56,will,3
57,prevent,2
58,another,1
59,newtown,1
60,or,4
61,orlando,1
62,keeps,1
63,on,9
64,losing,3
65,argument,2
66,years,2
67,ago,1
68,you,7
69,could,4
70,argue,1
71,rights,2
72,was,5
73,strictly,1
74,minority,1
75,cause,3
76,thrived,1
77,because,2
78,of,31
79,its,2
80,partisans’,1
81,intensity,1
82,lobby,1
83,clout,1
84,money,1
85,but,8
86,no,6
87,longer,1
88,true,1
89,despite,3
90,best,1
91,efforts,1
92,barack,1
93,obama,1
94,democratic,1
95,politicians,1
96,raft,1
97,activists,2
98,celebrities,1
99,show,2
100,hosts,1
101,dramatic,1
102,leftward,1
103,shift,1
104,many,3
105,other,1
106,social,2
107,issues,2
108,wall,2
109,media,2
110,coverage,2
111,substantially,1
112,less,2
113,popular,1
114,than,3
115,few,1
116,where,1
117,republican,1
118,party,1
119,touch,1
120,with,5
121,what,2
122,americans,1
123,seem,2
124,want,1
125,why,2
126,answer,1
127,structural,1
128,ownership,3
129,form,3
130,expressive,1
131,individualism,2
132,liberties,1
133,beloved,1
134,blue,1
135,makes,1
136,sense,2
137,culture,1
138,rejects,1
139,erotic,1
140,limits,2
141,would,4
142,reject,1
143,self,1
144,defense,1
145,as,7
146,well,3
147,especially,1
148,since,1
149,appeal,1
150,also,3
151,linked,1
152,dark,2
153,distrust,1
154,your,3
155,neighbor,1
156,government,1
157,decay,1
158,communities,1
159,families,1
160,being,1
161,unprotected,1
162,own,1
163,has,7
164,more,2
165,specific,2
166,political,1
167,problem,1
168,anti,1
169,seize,1
170,most,1
171,horrifying,1
172,acts,1
173,killing,2
174,understandably,1
175,use,2
176,them,3
177,calls,1
178,legislative,1
179,action,1
180,then,2
181,regulatory,2
182,measures,1
183,they,3
184,propose,1
185,even,2
186,when,2
187,poll,1
188,often,1
189,lack,1
190,any,1
191,direct,2
192,connection,1
193,massacres,2
194,themselves,1
195,if,3
196,go,2
197,back,1
198,through,2
199,list,1
200,recent,3
201,atrocities,1
202,for,4
203,instance,1
204,see,3
205,killers,2
206,buying,2
207,supposed,1
208,loophole,1
209,without,1
210,background,3
211,check,1
212,instead,1
213,examples,1
214,armed,1
215,country,1
216,legal,3
217,barriers,1
218,necessarily,3
219,lunatics,1
220,fanatics,1
221,from,2
222,getting,1
223,some,3
224,passed,2
225,checks,2
226,flying,1
227,colors,1
228,human,1
229,bureaucratic,1
230,errors,1
231,others,2
232,simply,2
233,used,4
234,someone,1
235,else,1
236,acquire,1
237,their,3
238,weaponry,2
239,circumventing,1
240,obstacles,1
241,entirely,2
242,diversity,1
243,weapons,3
244,too,1
245,made,1
246,hard,1
247,claim,1
248,reviving,1
249,clinton,1
250,era,1
251,assault,2
252,ban,1
253,whose,2
254,likely,1
255,effect,1
256,rates,1
257,nil,1
258,make,3
259,deadly,2
260,sprees,1
261,much,1
262,rarer,1
263,james,1
264,holmes,1
265,adam,1
266,lanza,1
267,high,1
268,powered,1
269,rifles,1
270,nidal,1
271,hasan,1
272,jiverly,1
273,wong,1
274,dylann,1
275,roof,1
276,were,1
277,all,1
278,extremely,1
279,handguns,1
280,aaron,1
281,alexis,1
282,prevented,1
283,an,3
284,he,1
285,killed,1
286,dozen,1
287,people,1
288,at,2
289,dc,1
290,navy,1
291,yard,1
292,shotgun,1
293,free,1
294,society,1
295,madmen,1
296,monsters,1
297,find,1
298,way,2
299,kill,1
300,killer,3
301,man,1
302,means,2
303,significant,1
304,criminal,1
305,history,1
306,almost,1
307,certainly,1
308,tighter,1
309,stiffer,1
310,which,2
311,latest,1
312,massacre,1
313,be,6
314,different,1
315,seems,3
316,now,3
317,link,1
318,between,1
319,sheer,1
320,scale,1
321,spree,1
322,his,2
323,apparent,1
324,bump,2
325,stock,1
326,lets,1
327,semiautomatic,1
328,weapon,2
329,fire,4
330,rate,1
331,machine,4
332,advocates,2
333,usual,1
334,case,2
335,making,1
336,such,2
337,stocks,2
338,illegal,1
339,response,1
340,tight,1
341,fully,1
342,automatic,5
343,settled,1
344,part,2
345,our,2
346,laws,2
347,restrictions,1
348,relatively,1
349,effective,1
350,acquired,1
351,law,1
352,banning,1
353,“,1
354,still,1
355,flouted,1
356,course,1
357,plausible,1
358,extension,1
359,principle,1
360,already,1
361,enshrine,1
362,ca,2
363,manufacture,1
364,can,1
365,buy,1
366,only,1
367,old,1
368,under,1
369,strict,1
370,conditions,1
371,should,1
372,able,1
373,nonautomatic,1
374,by,1
375,adding,1
376,meaningless,1
377,gesture,1
378,given,1
379,before,1
380,one,1
381,involved,1
382,not,1
383,remember,1
384,killings,1
385,contagion,1
386,perpetrators,1
387,copy,1
388,predecessors,1
389,seek,2
390,construct,1
391,ari,1
392,schulman,2
393,editor,1
394,atlantis,1
395,described,1
396,crafted,1
397,public,1
398,spectacle,1
399,theater,1
400,violence,1
401,unwitting,1
402,yet,1
403,compliant,1
404,audience,1
405,reality,1
406,led,1
407,urge,1
408,organizations,1
409,reduce,1
410,killers’,1
411,personalities,1
412,plans,1
413,alleged,1
414,grievances,1
415,suggests,1
416,murderer,1
417,pioneers,1
418,satanic,1
419,performance,1
420,art,1
421,hail,1
422,seeming,1
423,fell,1
424,concertgoers,1
425,imitate,1
426,methods,1
427,so,2
428,moving,1
429,pre,1
430,emptively,1
431,block,1
432,imitation,1
433,fruitless,1
434,might,1
435,reasonable,1
436,precaution,2
437,against,1
438,ambition,1
439,taking,1
440,shape,1
441,seeking,1
442,modest,1
443,monstrous,1
444,bloodletting,1
445,doubt,1
446,strike,1
447,hopelessly,1
448,insufficient,1
449,goal,1
450,been,1
451,ground,1
452,picky,1
453,victories,1
454,seeks,1
455,offer,1
456,clear,1
457,particular,1
458,kind,1
459,regulation,1
460,’m,1
461,provisionally,1
462,let,1
463,study,1
464,facts,1
465,how,1
466,turns,1
467,out,1
