,term,count
0,it,11
1,’s,11
2,an,3
3,odd,1
4,feeling,3
5,when,4
6,you,4
7,find,1
8,yourself,3
9,effectively,1
10,living,1
11,on,8
12,island,1
13,unconnected,1
14,to,36
15,people,5
16,with,18
17,whom,2
18,were,4
19,once,1
20,politically,1
21,close,1
22,but,8
23,a,22
24,which,2
25,i,31
26,’ve,3
27,become,2
28,very,1
29,familiar,1
30,recent,1
31,encounters,1
32,old,1
33,political,7
34,allies,1
35,and,26
36,friends,4
37,have,9
38,left,1
39,me,8
40,not,6
41,just,2
42,of,31
43,isolation,1
44,sense,1
45,that,36
46,our,20
47,islands,1
48,are,10
49,drifting,1
50,farther,1
51,apart,1
52,the,44
53,reason,2
54,is,14
55,simple,1
56,am,2
57,highly,1
58,critical,2
59,president,4
60,trump,8
61,puts,1
62,at,6
63,odds,1
64,vast,1
65,majority,1
66,my,15
67,fellow,1
68,republicans,3
69,illustrative,1
70,example,2
71,occurred,1
72,this,3
73,summer,1
74,had,6
75,several,1
76,discussions,1
77,longtime,1
78,republican,2
79,who,5
80,support,1
81,these,3
82,conversations,1
83,focused,1
84,meeting,3
85,jr,1
86,person,3
87,he,9
88,believed,4
89,represented,1
90,russian,1
91,government,2
92,promised,1
93,deliver,1
94,incriminating,1
95,information,4
96,hillary,2
97,clinton,2
98,none,1
99,spoke,1
100,troubled,1
101,in,28
102,least,1
103,by,4
104,best,1
105,your,1
106,side,3
107,suggests,1
108,should,2
109,refused,1
110,take,1
111,told,1
112,worst,1
113,accepted,1
114,knew,1
115,might,1
116,give,1
117,him,4
118,material,1
119,could,1
120,be,6
121,damaging,1
122,her,2
123,either,1
124,way,2
125,big,1
126,yawn,1
127,another,2
128,wrote,2
129,say,4
130,mr,6
131,has,3
132,performed,1
133,well,1
134,beyond,1
135,expectations,1
136,even,2
137,face,2
138,ceaseless,1
139,unprecedented,1
140,hate,1
141,criticism,1
142,only,1
143,from,7
144,opposition,1
145,party,5
146,‘,1
147,never,2
148,trumpers’,1
149,like,2
150,obviously,1
151,competing,1
152,interpretations,1
153,can,6
154,traced,1
155,fact,1
156,we,18
157,view,2
158,fundamentally,1
159,different,1
160,ways,2
161,because,2
162,shared,1
163,similar,1
164,outlook,1
165,past,1
166,divergence,1
167,particularly,3
168,frustrating,1
169,for,5
170,now,2
171,debates,1
172,assume,1
173,wisdom,1
174,resides,1
175,us,4
176,opponents,1
177,there,2
178,nothing,1
179,intrinsically,1
180,wrong,1
181,hold,1
182,views,2
183,do,2
184,so,5
185,see,8
186,many,2
187,defend,1
188,regardless,1
189,his,3
190,actions,1
191,invoking,1
192,defenses,1
193,certain,1
194,would,3
195,enrage,1
196,them,2
197,if,3
198,champions,1
199,said,3
200,same,3
201,things,3
202,behalf,1
203,’m,4
204,convinced,1
205,’re,3
206,seeing,2
207,severe,1
208,case,1
209,confirmation,7
210,bias,6
211,tendency,1
212,interpret,1
213,new,2
214,evidence,2
215,as,1
216,existing,2
217,beliefs,3
218,here,1
219,thing,1
220,what,4
221,easy,1
222,others,5
223,hard,3
224,ourselves,2
225,assure,1
226,myself,1
227,intellectual,1
228,integrity,1
229,superior,1
230,theirs,1
231,yet,1
232,honest,1
233,moments,1
234,recognize,1
235,struggle,3
236,human,1
237,frailties,1
238,flaws,1
239,some,3
240,mental,1
241,habits,1
242,know,2
243,consider,1
244,malicious,1
245,disinterested,1
246,too,3
247,quick,2
248,most,2
249,much,2
250,home,1
251,failures,1
252,focus,1
253,does,2
254,confirm,1
255,concerns,1
256,about,4
257,n’t,6
258,necessarily,1
259,mean,1
