,term,count
0,according,1
1,to,21
2,a,19
3,new,2
4,cbs,1
5,news,3
6,poll,1
7,almost,3
8,percent,7
9,of,26
10,the,59
11,american,2
12,public,2
13,believes,1
14,that,26
15,current,1
16,republican,4
17,tax,16
18,plan,10
19,favors,2
20,wealthy,8
21,some,3
22,people,2
23,see,5
24,this,10
25,number,1
26,as,7
27,sign,2
28,is,15
29,in,15
30,trouble,1
31,i,12
32,it,9
33,lies,5
34,are,14
35,working,2
36,far,1
37,better,1
38,than,2
39,they,12
40,deserve,1
41,for,12
42,does,2
43,indeed,1
44,favor,2
45,overwhelmingly,2
46,undeniably,1
47,’s,8
48,shocking,1
49,many,5
50,americans,2
51,do,4
52,n’t,4
53,realize,1
54,not,4
55,difficult,1
56,how,4
57,tilted,1
58,toward,1
59,very,1
60,top,4
61,main,2
62,elements,1
63,cut,2
64,individual,1
65,rates,1
66,corporate,1
67,taxes,7
68,an,5
69,end,1
70,estate,3
71,and,15
72,creation,1
73,big,4
74,loophole,1
75,will,3
76,allow,1
77,individuals,1
78,pretend,1
79,small,4
80,businesses,2
81,get,5
82,preferential,1
83,rate,1
84,all,2
85,these,1
86,benefit,2
87,mainly,1
88,there,4
89,also,3
90,measures,1
91,affecting,1
92,middle,3
93,class,2
94,families,2
95,but,4
96,’re,1
97,relatively,1
98,change,1
99,them,2
100,would,4
101,actually,2
102,raise,1
103,over,1
104,nonpartisan,1
105,policy,1
106,center,1
107,estimates,1
108,by,2
109,gains,2
110,from,2
111,go,3
112,just,3
113,more,2
114,quarter,1
115,their,4
116,up,7
117,so,9
118,question,2
119,about,8
120,whether,1
121,outrageous,1
122,extent,1
123,questions,1
124,we,3
125,should,1
126,be,2
127,asking,1
128,instead,1
129,why,1
130,republicans,3
131,pushing,1
132,hard,1
133,can,3
134,hope,2
135,away,2
136,with,6
137,bear,1
138,mind,1
139,essentially,1
140,no,2
141,popular,1
142,constituency,1
143,demanding,1
144,cuts,8
145,rich,3
146,large,1
147,margin,2
148,general,1
149,wants,1
150,on,7
151,corporations,1
152,down,4
153,even,3
154,divided,1
155,only,2
156,modest,1
157,yet,1
158,overriding,1
159,objective,1
160,modern,2
161,gop,2
162,were,3
163,principal,1
164,motivation,1
165,attempt,1
166,repeal,2
167,affordable,1
168,care,2
169,act,1
170,since,1
171,mean,3
172,repealing,1
173,high,1
174,income,1
175,pay,2
176,republicans’,1
177,point,1
178,view,1
179,depriving,1
180,millions,1
181,health,1
182,was,1
183,minor,1
184,side,1
185,now,1
186,pretty,1
187,much,2
188,thing,4
189,left,1
190,legislative,1
191,agenda,1
192,fact,2
193,becoming,1
194,increasingly,1
195,clear,1
196,keeping,1
197,congressional,1
198,line,1
199,behind,2
200,trump,2
201,know,3
202,he,2
203,unfit,1
204,office,1
205,worry,1
206,his,1
207,mental,1
208,stability,1
209,’ll,1
210,back,1
211,him,1
212,long,2
213,think,2
214,might,2
215,those,1
216,through,1
217,what,3
218,priority,1
219,follow,1
220,money,1
221,donors,1
222,furious,1
223,at,1
224,missing,1
225,out,4
226,supposed,1
227,come,1
228,obamacare,1
229,if,2
230,bucks,1
231,reform,1
232,close,2
233,pocketbooks,1
234,midterm,1
235,elections,1
236,beyond,1
237,conservatism,1
238,sort,1
239,ecosystem,1
240,media,2
241,outlets,1
242,tanks,1
243,lobbying,1
244,outfits,1
245,offers,1
246,lucrative,1
247,niches,1
248,called,1
249,wingnut,1
250,welfare,1
251,ideologically,1
252,reliable,2
253,means,2
254,being,1
255,interests,1
256,administration,4
257,pretends,1
258,populist,1
259,stand,1
260,ordinary,1
261,white,1
262,sell,1
263,such,1
264,elitist,1
265,policies,1
266,answer,2
267,strategy,1
268,based,1
269,entirely,2
270,its,2
271,allies,1
272,lying,2
273,every,2
274,aspect,1
275,’m,3
276,talking,2
277,dubious,1
278,interpretations,1
279,evidence,1
280,or,5
281,misleading,1
282,presentation,1
283,facts,1
284,kind,1
285,bush,1
286,used,1
287,specialize,1
288,flat,1
289,easily,1
290,refuted,1
291,like,1
292,claim,2
293,america,1
294,has,1
295,world,1
296,highest,1
297,among,1
298,countries,1
299,have,2
300,lowest,1
301,huge,1
302,burden,1
303,business,1
304,any,1
305,nor,1
306,literally,1
307,space,1
308,list,2
309,column,1
310,blog,1
311,post,1
312,past,1
313,weekend,1
314,tried,1
315,provide,1
316,systematic,1
317,came,1
318,major,1
319,sure,2
320,missed,1
321,few,1
322,politically,1
323,really,1
324,lot,1
325,depends,1
326,handles,1
327,spokesperson,1
328,declares,1
329,reports,1
330,simply,1
331,say,1
332,says,1
333,democrats,1
334,disagree,1
335,report,1
336,wish,1
337,confident,1
338,however,1
339,great,1
340,majority,1
341,politicians,1
342,perfectly,1
343,well,1
344,party,2
345,halfway,1
346,competent,1
347,economist,1
348,aligned,1
349,definitely,1
350,understands,1
351,going,1
352,everyone,1
353,who,1
354,goes,1
355,along,1
356,remains,1
357,silent,1
358,face,1
359,campaign,1
360,mass,1
361,dissimulation,1
362,complicit,1
363,effect,1
364,accomplice,1
365,most,1
366,dishonest,1
367,political,1
368,selling,1
369,job,1
370,history,1
