,term,count
0,the,48
1,rising,1
2,stock,2
3,market,3
4,has,5
5,recently,1
6,become,1
7,of,28
8,president,1
9,trump,2
10,’s,3
11,favorite,1
12,tropes,1
13,increased,1
14,by,3
15,dollars,2
16,since,1
17,election,1
18,on,9
19,november,1
20,8th,1
21,a,21
22,percent,3
23,increase,1
24,he,1
25,tweeted,1
26,oct,1
27,yet,3
28,for,5
29,most,1
30,americans,12
31,larger,1
32,issue,1
33,is,7
34,that,5
35,this,8
36,upturn,1
37,seldom,1
38,felt,1
39,an,4
40,equity,1
41,inequity,1
42,driven,1
43,america,1
44,wealth,1
45,gap,2
46,to,22
47,historic,1
48,levels,1
49,own,2
50,only,5
51,nation,1
52,stocks,1
53,third,1
54,have,6
55,saved,1
56,nothing,1
57,their,3
58,retirement,6
59,scale,2
60,challenge,1
61,calls,1
62,ambitious,1
63,initiatives,1
64,put,3
65,asset,3
66,building,3
67,power,1
68,and,16
69,security,3
70,into,2
71,hands,1
72,all,2
73,instead,3
74,republicans,1
75,democrats,1
76,played,1
77,type,1
78,even,1
79,when,3
80,evidence,1
81,points,1
82,failure,1
83,both,1
84,traditional,2
85,left,1
86,right,1
87,solutions,1
88,if,2
89,anyone,1
90,wonders,1
91,why,1
92,lost,1
93,faith,1
94,in,11
95,government,7
96,sad,1
97,saga,1
98,myra,5
99,program,7
100,tells,1
101,tale,1
102,recent,1
103,announcement,1
104,treasury,2
105,department,2
106,it,10
107,will,1
108,shut,1
109,down,1
110,obama,3
111,era,1
112,marked,1
113,end,1
114,story,1
115,began,1
116,as,6
117,so,1
118,often,1
119,case,1
120,with,3
121,best,1
122,intentions,1
123,administration,3
124,announced,1
125,january,1
126,no,3
127,fee,1
128,minimum,1
129,investment,1
130,version,1
131,roth,1
132,individual,2
133,account,3
134,address,1
135,real,1
136,challenges,1
137,without,2
138,access,1
139,employer,1
140,based,2
141,sounded,1
142,like,1
143,good,2
144,idea,3
145,qualifying,1
146,workers,1
147,could,3
148,up,1
149,year,1
150,or,5
151,they,3
152,were,1
153,over,2
154,years,2
155,old,1
156,which,1
157,would,2
158,be,1
159,invested,2
160,bonds,1
161,guaranteeing,1
162,modest,1
163,but,1
164,dependable,1
165,return,1
166,despite,1
167,motives,1
168,was,5
169,tiny,1
170,tinker,1
171,large,1
172,change,1
173,demanded,1
174,run,1
175,response,1
176,dramatic,1
177,waste,1
178,taxpayer,1
179,because,1
180,managed,1
181,securities,1
182,private,2
183,sector,2
184,kept,1
185,off,1
186,playing,1
187,field,1
188,opposed,1
189,accounts,2
190,there,1
191,flood,1
192,financial,3
193,industry,2
194,tv,1
195,commercials,1
196,trying,1
197,persuade,1
198,open,1
199,running,1
200,entire,1
201,through,1
202,federal,2
203,spent,1
204,got,1
205,invest,1
206,outrageous,1
207,cost,1
208,each,1
209,new,2
210,went,2
211,single,1
212,bank,1
213,comerica,1
214,act,1
215,custodian,1
216,small,1
217,number,1
218,simple,1
219,non,1
220,trading,1
221,inheriting,1
222,debacle,1
223,reformed,1
224,replaced,1
225,repealed,1
226,anything,1
227,take,1
228,its,1
229,place,1
230,cabinet,1
231,stacked,1
232,millionaires,1
233,while,1
234,sitting,1
235,sidelines,1
236,are,2
237,being,2
238,told,1
239,comes,1
240,crisis,1
241,been,1
242,either,1
243,callous,1
244,focus,1
245,serving,1
246,very,1
247,wealthy,1
248,rapacious,1
249,saddles,1
250,everyday,1
251,investors,1
252,high,1
253,fees,1
254,oscillated,1
255,between,3
256,incompetence,1
257,indifference,1
258,softheaded,1
259,hardhearted,1
260,plight,1
261,hundreds,1
262,millions,1
263,continues,1
264,watch,1
265,inequality,1
266,grow,2
267,wither,1
268,not,1
269,always,1
270,way,4
271,just,1
272,ago,1
273,bipartisan,2
274,collection,1
275,senators,1
276,jeff,1
277,sessions,1
278,jim,1
279,demint,1
280,rick,1
281,santorum,1
282,side,1
283,aisle,1
284,joe,1
285,biden,1
286,hillary,1
287,clinton,1
288,chuck,1
289,schumer,1
290,other,1
291,came,1
292,together,1
293,support,1
294,legislation,1
295,give,1
296,newborn,1
297,baby,1
298,bond,1
299,time,1
300,amid,1
301,tumult,1
302,great,2
303,recession,1
304,nest,1
305,egg,1
306,every,2
307,crib,1
308,republicans’,1
309,promise,1
310,chicken,1
311,pot,1
312,during,1
313,depression,1
314,perhaps,1
315,washington,2
316,struggling,1
317,find,1
318,make,1
319,tax,1
320,reform,1
321,bold,1
322,may,1
323,lease,1
324,life,1
325,whether,1
326,policy,1
327,innovation,1
328,alternative,1
329,status,1
330,quo,1
331,wall,1
332,street,1
333,bridge,1
334,growing,1
335,surging,1
336,investing,1
337,class,1
338,vast,1
339,majority,1
340,falling,1
341,ever,1
342,further,1
343,behind,1
