,term,count
0,seattle,8
1,i,9
2,live,1
3,in,21
4,the,53
5,city,11
6,that,11
7,hit,1
8,amazon,14
9,jackpot,1
10,now,3
11,biggest,1
12,company,3
13,town,2
14,america,1
15,long,1
16,before,2
17,mad,1
18,dash,1
19,to,24
20,land,4
21,second,1
22,headquarters,1
23,for,8
24,world,3
25,’s,10
26,largest,1
27,online,2
28,retailer,1
29,found,2
30,us,2
31,since,2
32,then,3
33,we,3
34,’ve,1
35,been,6
36,overwhelmed,1
37,by,3
38,a,31
39,future,1
40,never,1
41,had,4
42,any,2
43,say,2
44,over,3
45,with,9
46,passing,1
47,of,17
48,thursday,1
49,deadline,1
50,final,1
51,bids,1
52,it,6
53,strange,1
54,watch,1
55,nearly,1
56,every,1
57,united,1
58,states,1
59,pimp,1
60,itself,1
61,out,1
62,right,1
63,become,1
64,hq2,2
65,and,11
66,tax,2
67,breaks,1
68,free,1
69,champagne,1
70,drinking,1
71,fountains,1
72,anything,1
73,this,4
74,pageant,1
75,prosperity,2
76,desperation,1
77,is,7
78,understandable,1
79,offer,1
80,create,1
81,high,1
82,paying,1
83,jobs,4
84,invest,1
85,your,3
86,once,1
87,century,2
88,destiny,1
89,shaping,1
90,event,1
91,not,6
92,mining,1
93,coal,1
94,or,4
95,cooking,1
96,chemicals,1
97,offering,1
98,minimum,1
99,wage,1
100,hapless,1
101,associates,1
102,new,4
103,will,2
104,pay,1
105,more,2
106,salary,1
107,benefits,1
108,employees,2
109,are,2
110,kind,1
111,young,1
112,educated,2
113,mass,1
114,transit,1
115,taking,1
116,innovative,1
117,types,1
118,municipal,1
119,planners,1
120,dream,1
121,so,2
122,if,2
123,you,7
124,’re,2
125,lucky,1
126,enough,1
127,congrats,1
128,but,6
129,be,4
130,careful,2
131,all,2
132,urban,2
133,suitors,1
134,longing,1
135,hip,1
136,creative,1
137,class,3
138,think,2
139,can,1
140,shape,2
141,chance,1
142,well,2
143,disrupted,2
144,books,2
145,music,1
146,television,1
147,furniture,1
148,everything,1
149,at,3
150,first,1
151,was,5
152,quirky,1
153,way,1
154,jeff,1
155,bezos,1
156,an,3
157,oversize,1
158,mailbox,1
159,his,2
160,little,1
161,start,1
162,up,2
163,thing,2
164,remember,2
165,how,2
166,quaint,1
167,retro,1
168,almost,1
169,book,1
170,delivered,1
171,doorstep,1
172,cheap,1
173,soon,1
174,publishers,1
175,came,2
176,see,1
177,as,5
178,evil,1
179,empire,1
180,bringing,1
181,chaos,1
182,industry,1
183,n’t,3
184,changed,2
185,much,1
186,herman,1
187,day,1
188,bomb,1
189,called,1
190,around,1
191,here,4
192,when,2
193,took,1
194,what,3
195,clutter,1
196,parking,1
197,lots,1
198,car,1
199,dealers,1
200,near,1
201,downtown,1
202,decided,1
203,build,1
204,very,1
205,campus,1
206,neighborhood,1
207,proposed,2
208,grand,1
209,central,1
210,park,1
211,our,2
212,own,2
213,champs,1
214,élysées,1
215,gifted,1
216,paul,1
217,allen,1
218,microsoft,2
219,co,1
220,founder,1
221,voters,1
222,rejected,1
223,still,1
224,architect,1
225,friend,1
226,telling,1
227,me,1
228,cities,2
229,should,1
230,grow,1
231,organically,1
232,design,1
233,used,3
234,tied,1
235,geography,1
236,river,1
237,port,1
238,lee,1
239,side,1
240,mountain,1
241,range,1
242,boeing,1
243,grew,1
244,part,1
245,because,1
246,its,2
247,proximity,1
248,spruce,1
249,timber,1
250,make,1
251,early,1
252,airplanes,1
253,water,2
254,turned,1
255,industrial,1
256,engines,1
257,helped,1
258,win,2
259,war,1
260,era,1
261,dawned,1
262,after,1
263,local,1
264,boy,1
265,bill,1
266,gates,1
267,returned,1
268,fledgling,1
269,from,2
270,on,4
271,mark,1
272,successful,1
273,could,1
274,cluster,1
275,people,2
276,cool,1
277,place,3
278,smartest,1
279,americans,1
280,heading,1
281,west,1
282,headline,1
283,recent,1
284,listing,1
285,bloomberg,1
286,brain,2
287,concentration,1
288,index,2
289,pattern,1
290,likely,1
291,continue,1
292,my,1
293,colleagues,1
294,upshot,1
295,calculated,1
296,picking,1
297,denver,1
298,sweepstakes,1
299,bottom,1
300,muskegon,1
301,mich,1
302,recently,1
303,visited,1
304,lovely,1
305,lakeside,1
306,setting,1
307,fine,1
308,old,2
309,houses,1
310,museum,1
311,told,1
312,handful,1
313,muskegonites,1
314,about,1
315,problems,1
316,metastatic,1
317,growth,1
318,they,4
319,were,1
320,sympathetic,1
321,comes,1
322,title,1
323,being,1
324,fastest,1
325,growing,1
326,big,1
327,country,2
328,having,1
329,nation,1
330,hottest,1
331,real,2
332,estate,2
333,market,1
334,no,1
335,longer,1
336,works,1
337,some,1
338,many,1
339,others,1
340,pace,1
341,change,1
342,mention,1
343,traffic,1
344,has,4
345,disorienting,1
346,character,1
347,rain,1
348,loving,1
349,communal,1
350,shrug,1
351,amphetamines,1
352,secretive,1
353,have,5
354,best,1
355,civic,1
356,neighbor,1
357,late,1
358,charity,1
359,table,1
360,yes,1
361,poured,1
362,into,2
363,economy,1
364,who,2
365,turn,2
366,attracted,1
367,other,2
368,lease,1
369,fifth,1
370,office,1
371,space,1
372,median,1
373,home,1
374,prices,1
375,doubled,1
376,years,1
377,good,1
378,where,1
379,teachers,1
380,cops,1
381,able,1
382,afford,1
383,house,1
384,view,1
385,shiny,1
386,megalopolis,1
387,spawned,1
388,inevitable,1
389,political,1
390,backlash,1
391,there,1
392,nothing,1
393,annoying,1
394,than,2
395,marxist,1
396,bullhorn,1
397,extolling,1
398,failed,1
399,19th,1
400,economic,1
401,theory,1
402,put,1
403,person,1
404,council,3
405,includes,1
406,socialist,1
407,kshama,1
408,sawant,1
409,wants,1
410,public,1
411,take,1
412,ownership,1
413,members,1
414,try,1
415,proposal,1
416,detroit,1
417,native,1
418,miss,1
419,lack,1
420,pretense,1
421,dinner,1
422,parties,1
423,did,1
424,discussions,1
425,porn,1
426,’m,1
427,happy,1
428,wages,1
429,risen,1
430,faster,1
431,anywhere,1
432,else,1
433,like,1
434,fresh,1
