,term,count
0,arbor,1
1,mich,1
2,amid,1
3,the,76
4,cultural,2
5,amplification,1
6,of,48
7,trump,3
8,’s,6
9,brand,1
10,belittling,1
11,speech,2
12,college,2
13,campuses,1
14,are,4
15,wrestling,1
16,with,15
17,how,1
18,to,35
19,respond,2
20,emboldened,1
21,acts,3
22,expressive,1
23,racism,2
24,during,2
25,first,1
26,weeks,1
27,classes,1
28,here,1
29,at,5
30,university,4
31,michigan,3
32,where,2
33,i,8
34,am,2
35,a,22
36,professor,1
37,unknown,1
38,perpetrators,1
39,spray,1
40,painted,1
41,an,8
42,iconic,2
43,boulder,1
44,on,16
45,campus,6
46,graphic,1
47,slurs,2
48,against,2
49,latinos,1
50,along,1
51,pro,1
52,acronym,1
53,maga,1
54,make,2
55,america,1
56,great,2
57,again,1
58,others,3
59,defaced,2
60,name,2
61,tags,2
62,dorm,1
63,room,1
64,doors,1
65,african,3
66,american,3
67,students,8
68,pejorative,1
69,comments,1
70,including,1
71,that,16
72,most,2
73,visceral,2
74,anti,1
75,black,3
76,insults,1
77,and,32
78,still,1
79,posted,1
80,fliers,1
81,proclaiming,1
82,free,1
83,dylann,1
84,roof,1
85,championing,1
86,man,2
87,convicted,1
88,murder,1
89,church,1
90,congregants,1
91,in,29
92,charleston,1
93,sc,1
94,when,7
95,circulated,1
96,photos,1
97,via,1
98,social,4
99,media,1
100,daily,1
101,newspaper,1
102,faculty,4
103,members,2
104,voiced,1
105,urgent,1
106,need,3
107,for,8
108,statements,4
109,denouncing,1
110,hate,1
111,joined,1
112,colleagues,1
113,our,10
114,department,1
115,racial,1
116,climate,1
117,task,1
118,force,2
119,produce,1
120,proclamation,1
121,overnight,1
122,as,8
123,we,12
124,were,1
125,editing,1
126,statement,6
127,evening,1
128,another,2
129,colleague,3
130,shared,3
131,document,1
132,cranked,1
133,out,2
134,by,10
135,her,8
136,own,4
137,program,1
138,response,2
139,incident,3
140,next,1
141,day,2
142,equity,1
143,inclusion,1
144,committee,1
145,largest,1
146,departments,1
147,issued,2
148,its,2
149,meanwhile,1
150,student,1
151,protesters,2
152,pressed,1
153,president,2
154,official,1
155,beyond,4
156,his,3
157,initial,1
158,tweet,1
159,soon,2
160,after,3
161,across,1
162,proposed,1
163,new,1
164,action,3
165,group,1
166,whose,1
167,mission,1
168,would,2
169,include,1
170,issuing,1
171,collective,1
172,all,4
173,told,1
174,personnel,1
175,spent,1
176,hours,1
177,days,1
178,drawing,1
179,up,3
180,sentences,1
181,proclaim,1
182,principles,2
183,should,1
184,be,6
185,obvious,1
186,abhor,1
187,believe,1
188,dignity,2
189,human,1
190,beings,1
191,color,1
192,belong,1
193,this,9
194,learned,1
195,east,1
196,coast,1
197,institution,1
198,had,1
199,also,4
200,been,1
201,preoccupied,1
202,week,2
203,began,1
204,wondering,1
205,fight,1
206,alarming,1
207,threat,1
208,fundamental,1
209,values,1
210,was,6
211,best,1
212,use,3
213,time,5
214,there,1
215,is,8
216,worth,1
217,expression,1
218,well,3
219,support,1
220,stems,1
221,from,4
222,collaboration,1
223,but,6
224,immediate,1
225,affirmation,1
226,restating,1
227,moral,2
228,convictions,1
229,confess,1
230,my,3
231,nagging,1
232,worry,1
233,ceaseless,1
234,writing,1
235,act,1
236,protest,6
237,sucking,1
238,us,1
239,dry,1
240,rest,1
241,energy,1
242,creativity,1
243,place,2
244,public,3
245,square,1
246,aims,1
247,voice,1
248,dissent,2
249,sway,1
250,opinion,1
251,toward,1
252,ultimate,1
253,end,1
254,shaping,1
255,change,4
256,or,3
257,moment,1
258,halting,1
259,decline,1
260,formulaic,1
261,committees,1
262,liberal,1
263,professors,1
264,educated,1
265,elite,1
266,same,2
267,voices,1
268,who,4
269,always,1
270,lecture,1
271,race,2
272,words,10
273,have,3
274,limited,1
275,impact,2
276,proliferation,1
277,online,1
278,may,3
279,fact,1
280,spur,1
281,those,2
282,enjoy,1
283,setting,1
284,off,2
285,shock,1
286,waves,1
287,through,1
288,baiting,1
289,language,1
290,then,2
291,sitting,1
292,back,1
293,watching,1
294,show,1
295,southern,1
296,poverty,1
297,law,1
298,center,1
299,report,1
300,alt,1
301,right,2
302,what,3
303,know,1
304,suggests,1
305,these,2
306,instigators,1
307,crave,1
308,spectacle,1
309,go,2
310,vile,1
311,heinous,1
312,inhumane,1
313,attacks,1
314,assaults,1
315,fueling,1
316,opposition,1
317,might,1
318,diminishing,1
319,power,1
320,lexicon,1
321,future,1
322,more,3
323,egregious,1
324,affronts,1
325,certainly,1
326,expending,1
327,precious,1
328,not,3
329,say,1
330,do,1
331,matter,1
332,hold,1
333,immeasurable,1
334,weight,1
335,which,4
336,why,1
337,bemoan,1
338,mean,1
339,facile,1
340,them,2
341,word,1
342,work,1
343,requires,2
344,some,1
345,than,2
346,mudslinging,1
347,melee,1
348,stories,2
349,jokes,1
350,essays,1
351,poems,1
352,harangues,1
353,treatises,1
354,paint,1
355,compelling,1
356,vision,2
357,want,1
358,stand,1
359,judiciously,1
360,choosing,1
361,put,1
362,page,2
363,wise,1
364,follow,1
365,movement,2
366,tradition,1
367,matching,1
368,bodies,9
369,putting,1
370,line,2
371,advance,2
372,just,1
373,among,1
374,primary,1
375,tactics,1
376,transformational,1
377,civil,1
378,rights,1
379,embodied,1
380,form,1
381,employed,1
382,rosa,3
383,parks,9
384,example,1
385,flowing,1
386,gold,1
387,toned,1
388,dress,1
389,sewn,1
390,mrs,4
391,hangs,1
392,aura,1
393,reverence,1
394,national,2
395,museum,1
396,history,1
397,culture,1
398,symbolizing,1
399,personal,1
400,unyielding,1
401,drive,1
402,justice,1
403,single,1
404,garment,1
405,resounds,1
406,so,1
407,powerfully,1
408,because,1
409,it,2
410,adorned,1
411,body,5
412,mother,1
413,she,3
414,used,2
415,endangered,1
416,refusing,2
417,give,1
418,seat,1
419,white,2
420,bus,3
421,montgomery,1
422,ala,1
423,winter,1
424,according,1
425,jeanne,2
426,theoharis,2
427,biographer,1
428,woman,1
429,applied,1
430,judicious,1
431,chose,1
432,care,1
433,prepared,1
434,leverage,1
435,enact,1
436,politics,1
437,struggle,1
438,rev,1
439,dr,2
440,martin,1
441,luther,1
442,king,2
443,jr,1
444,backed,1
445,chosen,1
446,daring,1
447,letter,1
448,birmingham,1
