,term,count
0,when,4
1,we,9
2,think,3
3,about,3
4,the,72
5,framers,1
6,of,38
7,constitution,6
8,and,28
9,how,1
10,they,2
11,handled,1
12,issue,2
13,race,4
14,conjure,1
15,up,1
16,extremes,1
17,hypocrites,1
18,heroes,1
19,at,8
20,end,5
21,is,10
22,thomas,1
23,jefferson,2
24,who,5
25,wrote,3
26,that,23
27,all,5
28,men,1
29,are,3
30,created,1
31,equal,1
32,but,10
33,believed,1
34,africans,2
35,were,3
36,inferior,1
37,fathered,1
38,children,1
39,with,6
40,an,5
41,enslaved,3
42,woman,1
43,other,5
44,alexander,1
45,hamilton,2
46,least,1
47,as,17
48,depicted,1
49,by,5
50,admirers,1
51,like,5
52,biographer,1
53,chernow,1
54,playwright,1
55,lin,1
56,manuel,1
57,miranda,1
58,was,17
59,ardent,1
60,abolitionist,1
61,this,4
62,framing,1
63,however,2
64,simplistic,2
65,misleading,2
66,it,13
67,because,7
68,overlooks,1
69,harder,1
70,to,44
71,categorize,1
72,positions,1
73,james,1
74,madison,26
75,lead,1
76,drafter,1
77,genuinely,1
78,rejected,1
79,idea,1
80,racial,5
81,inferiority,1
82,yet,5
83,still,2
84,failed,1
85,put,1
86,his,21
87,beliefs,3
88,in,33
89,equality,4
90,liberty,4
91,into,3
92,practice,3
93,implies,1
94,long,1
95,avoid,1
96,having,1
97,racist,2
98,attitudes,2
99,can,5
100,succeed,1
101,avoiding,1
102,policies,1
103,if,2
104,’re,1
105,not,12
106,must,2
107,be,7
108,case,1
109,respect,3
110,founding,1
111,father,2
112,teach,1
113,americans,3
114,most,3
115,our,5
116,present,1
117,contradictions,2
118,on,5
119,insisted,2
120,entitled,1
121,a,14
122,right,4
123,proposed,3
124,congress,4
125,purchase,3
126,slaves,14
127,united,2
128,states,4
129,set,1
130,them,3
131,free,6
132,only,2
133,did,2
134,he,17
135,hold,2
136,plantation,3
137,virginia,2
138,fail,1
139,upon,2
140,death,2
141,also,4
142,originated,1
143,notorious,1
144,fifths,4
145,compromise,5
146,which,7
147,counted,1
148,slave,5
149,person,1
150,for,14
151,purposes,1
152,legislative,2
153,representation,2
154,tension,3
155,between,2
156,’s,6
157,aspirational,1
158,highly,1
159,constrained,1
160,actions,2
161,continues,1
162,america,2
163,own,4
164,contemporary,1
165,society,1
166,rejects,1
167,inequality,1
168,principle,1
169,majority,1
170,reflected,1
171,democratic,1
172,institutions,1
173,ultimately,2
174,unwilling,2
175,or,2
176,unable,2
177,make,2
178,costly,1
179,changes,1
180,would,6
181,necessary,1
182,achieve,1
183,what,1
184,learned,1
185,found,1
186,letters,1
187,remain,1
188,largely,1
189,unexplored,1
190,astonishing,1
191,document,1
192,written,1
193,explained,1
194,faced,1
195,quandary,1
196,man,1
197,named,1
198,billey,7
199,whom,1
200,had,7
201,brought,1
202,him,3
203,philadelphia,3
204,manservant,1
205,while,3
206,could,7
207,bring,1
208,back,2
209,family,3
210,after,3
211,experienced,1
212,relative,1
213,freedom,1
214,pennsylvania,2
215,mind,1
216,too,1
217,thoroughly,1
218,tainted,1
219,fit,1
220,companion,1
221,fellow,1
222,punishing,1
223,merely,1
224,coveting,1
225,have,5
226,paid,1
227,price,1
228,so,3
229,much,1
230,blood,1
231,proclaimed,1
232,often,1
233,worthy,1
234,pursuit,1
235,every,2
236,human,2
237,being,2
238,words,1
239,possessed,1
240,same,1
241,fought,1
242,revolutionary,1
243,war,1
244,time,1
245,economic,2
246,crisis,1
247,felt,1
248,afford,3
249,sell,2
250,term,2
251,indentured,1
252,servitude,1
253,allowed,1
254,law,1
255,become,1
256,therefore,1
257,got,1
258,some,1
259,value,1
260,satisfying,1
261,conscience,1
262,service,1
263,indeed,1
264,freed,3
265,taking,1
266,name,1
267,william,1
268,gardener,1
269,marrying,1
270,staying,1
271,where,1
272,continued,2
273,contact,1
274,years,4
275,understood,1
276,perfectly,1
277,well,3
278,slavery,4
279,morally,1
280,wrong,1
281,why,1
282,overcome,1
283,reality,1
284,entire,1
285,livelihood,1
286,based,2
287,thanks,1
288,influence,1
289,characteristic,1
290,treatment,1
291,principled,1
292,ideals,1
293,followed,1
294,made,1
295,its,2
296,way,2
297,itself,1
298,story,1
299,begins,1
300,before,1
301,constitutional,4
302,convention,2
303,continental,1
304,asked,1
305,annual,1
306,contributions,1
307,money,1
308,determined,1
309,proportionally,1
310,population,1
311,southerners,2
312,wanted,3
313,count,4
314,little,1
315,possible,1
316,reduce,1
317,their,4
318,share,1
319,northerners,2
320,fully,2
321,south,2
322,pay,1
323,more,2
324,counting,1
325,believing,1
326,very,1
327,near,1
328,true,2
329,ratio,1
330,taxable,1
331,wealth,1
332,produced,1
333,approved,1
334,proposal,1
335,unanimity,1
336,required,1
337,pass,1
338,tables,1
339,turned,1
340,increase,1
341,argued,2
342,n’t,1
343,vote,1
344,should,1
345,adopted,2
346,precisely,1
347,everyone,1
348,knew,1
349,number,1
350,been,2
351,used,1
352,both,1
353,sides,1
354,saw,1
355,things,1
356,happy,1
357,see,1
358,there,2
359,provision,1
360,preserved,1
361,trade,4
362,ratification,1
363,objected,1
364,strongly,1
365,slaveholders,1
366,considered,2
367,odious,1
368,than,2
369,ownership,1
370,became,1
371,clear,1
372,carolina,1
373,georgia,1
374,backed,1
375,connecticut,1
376,protecting,1
377,condition,1
378,agreeing,1
379,went,1
380,along,1
381,reaching,1
382,consensus,1
383,paramount,1
384,without,1
385,guarantee,1
386,no,1
387,highest,1
388,priority,1
389,further,1
390,demonstrating,1
391,called,1
392,abolition,1
393,private,1
394,just,1
395,drafting,1
396,bill,1
397,rights,2
398,letter,1
399,creating,1
400,colony,1
401,africa,2
402,resettle,1
403,said,1
404,best,2
405,hope,1
406,presented,1
407,putting,1
408,less,1
409,unhappy,1
410,negroes,1
411,now,1
412,involved,1
413,reason,1
414,sending,1
415,former,1
416,prejudices,1
417,whites,1
418,integrating,1
419,blacks,1
420,impossible,1
421,thought,1
422,prejudice,2
423,derived,1
424,principally,1
425,from,3
426,difference,1
427,color,1
428,permanent,1
429,insuperable,1
430,later,1
431,public,1
432,western,1
433,lands,1
434,included,1
435,louisiana,1
436,raise,1
437,even,3
438,will,1
439,according,1
440,lore,1
441,left,1
442,separate,1
443,instructions,1
444,dolley,1
445,wife,1
446,emancipate,1
447,her,1
448,message,1
449,fact,1
450,existed,1
451,she,1
452,fulfill,1
453,resonate,1
454,vexed,1
455,situation,1
456,14th,1
457,amendment,1
458,civil,1
459,act,1
460,affirmative,1
461,action,1
462,has,2
463,repeatedly,1
464,aspired,1
465,establish,1
466,face,1
467,past,1
468,segregation,1
469,need,1
470,accommodate,1
471,realities,1
472,economics,1
473,politics,1
474,others,1
475,say,1
476,difficulty,1
477,intentioned,1
478,people,1
479,accepting,1
480,cost,1
481,meaningful,1
482,change,1
483,many,1
484,remarkable,1
485,qualities,1
486,genius,1
487,accomplished,1
488,statesman,1
489,calm,1
490,rational,1
491,leader,1
492,wartime,1
493,came,1
494,feet,1
495,clay,1
496,do,1
497,founders,1
498,serve,1
499,important,1
500,role,1
501,models,1
502,us,1
503,provided,1
504,try,1
505,learn,1
506,mistakes,1
507,flaws,1
508,successes,1
509,virtues,1
