,term,count
0,if,4
1,i,33
2,do,6
3,my,7
4,job,1
5,right,1
6,this,3
7,column,1
8,might,4
9,actually,2
10,change,4
11,your,5
12,life,2
13,more,1
14,important,1
15,it,14
16,the,26
17,lives,1
18,of,22
19,people,8
20,you,18
21,love,2
22,but,7
23,first,5
24,need,2
25,to,21
26,talk,1
27,about,3
28,elton,3
29,john,1
30,’s,6
31,glasses,5
32,was,7
33,concert,1
34,philadelphia,1
35,spectrum,3
36,opened,2
37,up,1
38,with,5
39,tiny,3
40,dancer,2
41,on,6
42,solo,1
43,piano,1
44,later,1
45,during,2
46,think,7
47,’m,2
48,going,1
49,kill,1
50,myself,1
51,a,22
52,character,1
53,named,1
54,legs,1
55,larry,1
56,smith,1
57,came,1
58,out,3
59,and,13
60,tap,1
61,danced,1
62,none,1
63,that,16
64,is,11
65,what,3
66,remember,1
67,best,1
68,has,3
69,stayed,1
70,me,6
71,all,2
72,these,1
73,years,2
74,been,3
75,those,2
76,stylish,1
77,spotlights,1
78,flooding,1
79,stage,1
80,twinkled,1
81,off,2
82,his,2
83,rims,1
84,back,1
85,then,1
86,wore,2
87,too,3
88,until,1
89,moment,1
90,had,3
91,never,2
92,thought,4
93,them,6
94,as,8
95,fashion,3
96,statement,2
97,just,4
98,way,2
99,existing,1
100,in,10
101,world,5
102,course,2
103,were,1
104,are,5
105,eyewear,1
106,practically,1
107,defines,1
108,certain,1
109,style,1
110,teddy,1
111,roosevelt,1
112,pince,1
113,nez,1
114,iris,1
115,apfel,1
116,her,3
117,signature,1
118,circular,1
119,specs,1
120,mr,1
121,peanut,1
122,rocking,1
123,monocle,1
124,20s,1
125,knew,1
126,girl,1
127,perfect,1
128,eyesight,1
129,who,5
130,even,2
131,pair,2
132,clear,1
133,designed,1
134,for,4
135,so,3
136,look,2
137,hot,1
138,she,5
139,explained,2
140,when,3
141,take,1
142,why,3
143,wonder,1
144,devices,3
145,keep,2
146,from,2
147,being,2
148,blind,1
149,celebrated,1
150,deaf,2
151,embarrassing,1
152,uncool,2
153,biggest,1
154,compliment,1
155,someone,2
156,can,8
157,give,2
158,hearing,17
159,aids,4
160,hardly,1
161,see,1
162,loss,7
163,endemic,1
164,not,3
165,older,1
166,almost,1
167,americans,1
168,between,1
169,ages,1
170,they,2
171,have,10
172,good,3
173,some,2
174,impairment,1
175,among,1
176,their,4
177,50s,1
178,how,3
179,many,1
180,wear,1
181,would,2
182,enable,1
183,better,1
184,hear,4
185,less,1
186,than,1
187,percent,2
188,wearing,1
189,an,1
190,instant,1
191,mention,1
192,whose,1
193,actual,1
194,voices,1
195,may,1
196,unable,1
197,we,5
198,n’t,6
199,get,3
200,help,1
201,because,7
202,coverage,1
203,by,5
204,insurance,2
205,carriers,1
206,inconsistent,1
207,know,3
208,where,2
209,or,2
210,our,2
211,tested,2
212,’re,1
213,afraid,1
214,others,2
215,needs,1
216,start,2
217,be,3
218,expensive,1
219,employers,1
220,ca,2
221,jobs,1
222,well,2
223,education,1
224,matters,1
225,dumb,1
226,trump,1
227,directly,1
228,at,4
229,sun,1
230,solar,1
231,eclipse,1
232,nothing,1
233,slapping,1
234,headphones,1
235,cranking,1
236,music,1
237,thing,1
238,helpful,1
239,baseline,1
240,reference,1
241,there,1
242,several,1
243,free,2
244,tests,1
245,online,1
246,sponsored,1
247,phonak,1
248,miracle,1
249,ear,2
250,beltone,1
251,ones,1
252,doctor,1
253,sensorineural,1
254,usually,1
255,caused,1
256,damage,1
257,hair,1
258,cells,1
259,inner,1
260,sometimes,1
261,result,1
262,exposure,1
263,loud,2
264,sounds,2
265,like,4
266,concerts,1
267,kind,1
268,inability,1
269,high,1
270,pitched,1
271,means,1
272,understanding,1
273,conversation,1
274,crowded,1
275,restaurant,1
276,challenge,1
277,new,1
278,technology,1
279,enables,1
280,wearers,1
281,focus,1
282,person,1
283,front,1
284,while,1
285,canceling,1
286,sound,1
287,behind,1
288,control,1
289,much,1
290,want,1
291,amplify,1
292,cancel,1
293,using,1
294,app,1
295,mobile,1
296,device,2
297,looks,1
298,recently,1
299,such,1
300,party,1
301,time,1
302,heard,2
303,everything,1
304,everyone,1
305,saying,1
306,completely,1
307,changed,1
308,experienced,1
309,learned,1
310,serious,1
311,after,1
312,lifetime,1
313,playing,1
314,super,1
315,bands,1
316,called,1
317,wife,2
318,phone,1
319,told,1
320,diagnosis,1
321,started,1
322,cry,1
323,sorry,1
324,married,1
325,sobbed,1
326,tolerant,1
327,woman,1
328,any,1
329,measure,1
330,laughed,2
331,really,2
332,’d,2
333,leave,1
334,said,2
335,yeah,1
336,sort,1
337,did,2
338,make,1
339,seem,1
340,old,1
341,undesirable,1
342,somehow,1
343,forgotten,1
344,long,1
345,full,1
346,always,1
347,loved,1
348,song,1
349,friend,1
350,loves,1
351,although,1
352,once,1
353,come,1
354,radio,1
355,asked,1
356,hey,1
357,wait,1
358,he,1
359,singing,1
360,hold,1
361,closer,1
362,tony,2
363,‘,1
364,dancer’,1
365,danza,1
366,duh,1
367,jenny,1
368,joke,1
369,whole,1
370,idea,1
371,funny,1
372,gift,1
373,could,1
374,lose,1
