,term,count
0,we,5
1,may,5
2,shortly,1
3,be,8
4,facing,1
5,a,20
6,national,3
7,crisis,3
8,president,4
9,trump,15
10,’s,12
11,base,1
12,is,14
13,egging,1
14,him,3
15,on,3
16,to,28
17,undertake,1
18,his,4
19,own,1
20,saturday,2
21,night,2
22,massacre,2
23,and,35
24,fire,3
25,robert,3
26,mueller,23
27,for,13
28,committing,2
29,uh,1
30,well,2
31,working,1
32,too,1
33,hard,2
34,as,8
35,prosecutor,3
36,fox,2
37,news,1
38,the,27
39,host,1
40,jeanine,1
41,pirro,2
42,proposed,1
43,firing,4
44,blaming,1
45,democrats,2
46,imprisoning,2
47,hillary,2
48,clinton,5
49,speaking,1
50,of,15
51,investigation,3
52,said,2
53,it,9
54,time,3
55,shut,1
56,down,2
57,turn,1
58,tables,1
59,lock,1
60,her,3
61,up,1
62,wow,1
63,i,11
64,’ve,1
65,reported,1
66,from,2
67,tin,1
68,pot,1
69,countries,1
70,where,1
71,public,1
72,figures,1
73,talk,1
74,blithely,1
75,shutting,1
76,prosecutors,1
77,rivals,1
78,never,1
79,thought,1
80,’d,1
81,live,1
82,in,11
83,lou,1
84,dobbs,1
85,business,1
86,network,1
87,denounced,1
88,gross,1
89,overreach,1
90,pro,1
91,site,1
92,gateway,1
93,pundit,1
94,excoriated,1
95,deep,1
96,state,1
97,crooked,1
98,cop,1
99,across,1
100,right,1
101,wing,1
102,ideological,1
103,snipers,1
104,are,3
105,taking,1
106,potshots,1
107,at,1
108,even,2
109,wall,1
110,street,1
111,journal,1
112,has,4
113,suggested,2
114,an,3
115,editorial,1
116,that,23
117,resign,1
118,all,4
119,this,5
120,amounts,1
121,perilous,1
122,pirouette,1
123,after,3
124,was,3
125,last,1
126,known,1
127,registered,1
128,republican,6
129,appointed,1
130,fbi,2
131,director,1
132,by,5
133,george,2
134,w,1
135,bush,1
136,newt,1
137,gingrich,2
138,reflected,1
139,gop,1
140,consensus,1
141,when,1
142,he,4
143,wrote,1
144,tweet,1
145,superb,1
146,choice,1
147,special,2
148,counsel,1
149,reputation,1
150,impeccable,1
151,honesty,1
152,integrity,1
153,yet,1
154,these,1
155,days,1
156,describes,1
157,out,2
158,control,1
159,guilty,2
160,grotesque,1
161,abuse,1
162,what,2
163,changed,1
164,vigorously,1
165,investigating,1
166,whether,3
167,campaign,3
168,colluded,2
169,with,5
170,moscow,2
