,term,count
0,tuesday,2
1,night,1
2,’s,13
3,election,3
4,results,1
5,were,3
6,a,18
7,major,2
8,shot,1
9,in,11
10,the,46
11,arm,1
12,for,8
13,anti,1
14,trump,9
15,resistance,4
16,and,22
17,slap,1
18,face,1
19,all,3
20,democrats,1
21,who,11
22,caterwauled,1
23,last,1
24,november,1
25,about,6
26,how,2
27,party,3
28,had,2
29,focused,1
30,too,1
31,much,1
32,on,3
33,courting,2
34,women,5
35,minorities,1
36,ignored,1
37,angry,5
38,white,12
39,men,7
40,after,1
41,there,3
42,seemed,1
43,to,26
44,be,6
45,surge,1
46,coverage,1
47,of,33
48,these,3
49,like,1
50,guardian,1
51,time,1
52,revenge,1
53,man,2
54,mark,1
55,lilla,1
56,professor,1
57,at,3
58,columbia,1
59,lamented,1
60,identity,12
61,liberalism,8
62,cover,1
63,new,1
64,york,1
65,times’,1
66,sunday,1
67,review,1
68,writing,1
69,recent,2
70,years,1
71,american,2
72,has,3
73,slipped,1
74,into,3
75,kind,1
76,moral,1
77,panic,2
78,racial,2
79,gender,1
80,sexual,1
81,that,25
82,distorted,1
83,message,1
84,prevented,1
85,it,8
86,from,3
87,becoming,1
88,unifying,1
89,force,1
90,capable,1
91,governing,1
92,many,1
93,lessons,1
94,presidential,1
95,campaign,1
96,its,2
97,repugnant,1
98,outcome,1
99,is,13
100,age,1
101,must,3
102,brought,1
103,an,2
104,end,1
105,have,6
106,shown,3
107,little,1
108,strong,1
109,allegiance,1
110,being,1
111,prioritized,1
112,above,1
113,people,12
114,undying,1
115,devotion,1
116,college,1
117,educated,1
118,whites,1
119,particularly,1
120,color,3
121,passionate,1
122,progressives,1
123,which,1
124,course,1
125,can,4
126,overlapping,1
127,labels,1
128,take,1
129,politics,11
130,mean,1
131,recognizing,1
132,listening,1
133,trying,4
134,satisfy,1
135,particular,2
136,needs,1
137,groups,1
138,very,3
139,different,1
140,lived,1
141,experiences,1
142,this,6
143,country,1
144,objecting,2
145,just,1
146,guise,1
147,are,10
148,not,4
149,because,2
150,as,2
151,british,1
152,feminist,1
153,author,1
154,laurie,1
155,penny,1
156,explained,1
157,salon,1
158,august,1
159,especially,1
160,far,1
161,right,1
162,they,3
163,’re,1
164,idea,2
165,male,1
166,feels,1
167,so,1
168,under,1
169,attack,2
170,moment,2
171,when,4
172,attacking,1
173,prioritizes,1
174,or,2
175,even,4
176,includes,1
177,queer,1
178,whole,1
179,conversation,1
180,we,6
181,reject,1
182,left,1
183,lasting,1
184,bad,1
185,taste,1
186,my,2
187,mouth,1
188,i,6
189,will,1
190,confess,1
191,’m,1
192,still,2
193,smarting,1
194,over,1
195,implication,1
196,those,3
197,conversations,1
198,part,1
199,black,4
200,america,3
201,seen,1
202,corpse,1
203,flower,1
204,grow,1
205,seed,1
206,am,1
207,always,1
208,reminded,1
209,republican,2
210,abandoned,1
211,been,1
212,nothing,1
213,but,4
214,loyal,1
215,them,1
216,pursue,1
217,racists,1
218,hated,1
219,was,2
220,called,1
221,southern,1
222,strategy,1
223,n’t,6
224,long,1
225,ago,1
226,never,2
227,forgiven,1
228,betrayal,1
229,now,3
230,vote,1
231,overwhelmingly,1
232,democratic,2
233,fact,2
234,strategists,1
235,thinking,1
236,actively,2
237,voters,2
238,turn,1
239,blind,1
240,eye,1
241,cheer,1
242,bigotry,1
243,underscored,1
244,me,3
245,principles,1
246,situational,1
247,moderation,1
248,mollification,1
249,crisis,1
250,conscience,1
251,wrote,1
252,january,1
253,enlightenment,1
254,bow,1
255,inquisition,1
256,hold,1
257,fast,1
258,position,1
259,no,1
260,middle,1
261,if,2
262,you,11
263,supporting,7
264,donald,1
265,trumpism,1
266,goes,1
267,with,2
268,means,1
269,operandi,1
270,attacks,1
271,every,1
272,term,1
273,keeps,1
274,supremacists,1
275,safe,1
276,demeaning,1
277,his,3
278,bullying,1
279,corruption,1
280,pathological,1
281,lying,1
282,job,2
283,drag,1
284,out,2
285,only,1
286,tire,1
287,darkness,1
288,crawl,1
289,light,1
290,ca,1
291,warp,1
292,some,1
293,sort,1
294,big,1
295,tent,1
296,utopia,1
297,where,1
298,lion,1
299,lie,1
300,down,1
301,lamb,1
302,should,2
303,stop,3
304,placate,1
305,chafe,1
306,values,1
307,espouses,1
308,do,1
309,bend,1
310,become,1
311,beacon,1
312,slough,1
313,off,1
314,silly,1
315,romance,1
316,dream,3
317,chasing,1
318,chimerical,1
319,oppressed,1
320,forgotten,1
321,aggrieved,1
322,convince,1
323,us,2
324,their,1
325,pipe,1
326,tell,1
327,alone,1
328,focus,1
329,our,2
330,pity,1
331,subject,1
332,weeping,1
333,supported,1
334,forfeited,1
335,access,1
336,sympathies,1
337,flexed,1
338,muscle,1
339,virginia,2
340,broad,1
341,rainbow,1
342,coalition,1
343,future,1
344,does,1
345,kowtow,1
346,moaning,1
347,losing,1
348,privileges,1
349,past,1
350,according,1
351,exit,1
352,polls,1
353,majority,1
354,both,1
355,voted,1
356,channeled,1
357,worst,1
358,culture,1
359,war,1
360,stances,1
361,playing,1
362,loving,1
363,clear,1
364,expression,1
365,supremacist,1
366,patriarchy,1
367,panacea,1
368,prudent,1
369,conversely,1
370,inclusive,1
371,poison,2
372,supremacy,2
373,induced,1
374,threatened,1
