,term,count
0,mitt,3
1,romney,10
2,is,15
3,coming,1
4,back,1
5,well,1
6,maybe,2
7,seems,2
8,to,26
9,be,4
10,angling,1
11,for,14
12,a,29
13,senate,3
14,seat,1
15,if,6
16,utah,1
17,’s,18
18,orrin,1
19,hatch,1
20,retires,1
21,next,1
22,year,1
23,and,13
24,it,10
25,tribute,1
26,the,39
27,times,1
28,we,6
29,live,1
30,in,10
31,that,17
32,at,5
33,moment,1
34,he,19
35,looks,1
36,wow,1
37,not,6
38,bad,2
39,true,4
40,as,5
41,politician,2
42,would,4
43,pander,1
44,guppy,1
45,but,8
46,this,6
47,week,1
48,was,14
49,veritable,1
50,profile,1
51,courage,1
52,by,3
53,republican,3
54,standards,1
55,told,1
56,his,5
57,party,2
58,drop,2
59,hedge,1
60,when,3
61,they,3
62,were,2
63,talking,1
64,about,3
65,charges,1
66,alabama,4
67,candidate,2
68,roy,1
69,moore,8
70,once,3
71,sexually,1
72,assaulted,1
73,old,1
74,girl,1
75,innocent,1
76,until,1
77,proven,1
78,guilty,1
79,criminal,1
80,convictions,1
81,elections,2
82,said,3
83,i,6
84,believe,2
85,leigh,1
86,corfman,1
87,her,1
88,account,1
89,too,1
90,serious,1
91,ignore,1
92,unfit,1
93,office,3
94,should,3
95,step,2
96,aside,1
97,simple,1
98,straightforward,1
99,election,1
100,high,1
101,an,4
102,honor,1
103,right,2
104,voters,2
105,who,11
106,have,5
107,been,3
108,urged,1
109,past,1
110,reject,1
111,candidates,1
112,everything,1
113,from,5
114,hair,1
115,being,3
116,pregnant,1
117,can,3
118,look,1
119,story,1
120,including,1
121,multiple,1
122,women,4
123,say,3
124,dated,1
125,or,2
126,tried,1
127,date,1
128,them,2
129,30s,1
130,just,5
131,no,5
132,completely,1
133,does,1
134,n’t,7
135,matter,1
136,you,4
137,think,1
138,making,1
139,grab,2
140,attention,1
141,way,1
142,whole,2
143,point,3
144,man,2
145,always,1
146,has,3
147,finger,1
148,wind,1
149,intuited,1
150,thing,5
151,american,2
152,people,3
153,want,1
154,hear,1
155,political,2
156,uprising,1
157,against,1
158,powerful,1
159,men,1
160,putting,1
161,their,3
162,grubby,1
163,hands,1
164,on,6
165,powerless,1
166,what,3
167,’re,2
168,getting,2
169,most,1
170,republicans,2
171,are,2
172,simply,1
173,shaking,1
174,heads,1
175,saying,2
176,down,1
177,turns,1
178,out,3
179,really,3
180,did,5
181,terrible,4
182,washington,1
183,post,1
184,reported,1
185,stupendously,1
186,credible,1
187,detail,1
188,john,1
189,mccain,1
190,of,8
191,first,2
192,demand,1
193,jeff,1
194,flake,1
195,telling,1
196,world,2
197,person,4
198,even,2
199,before,2
200,sex,1
201,accusations,1
202,came,1
203,up,3
204,president,5
205,trump,4
206,according,1
207,press,2
208,secretary,1
209,believes,1
210,mere,1
211,allegation,1
212,destroy,1
213,life,2
214,pretty,1
215,unsurprising,1
216,after,1
217,all,2
218,had,5
219,anything,2
220,less,3
221,weaselly,1
222,swiftly,1
223,guy,2
224,recorded,1
225,bragging,1
226,bother,1
227,wait,1
228,permission,1
229,started,1
230,kissing,1
231,adding,1
232,’em,1
233,pussy,1
234,do,3
235,which,2
236,now,3
237,excuse,1
238,bringing,1
239,meanwhile,1
240,desperately,1
241,trying,1
242,cover,1
243,tracks,1
244,other,1
245,than,2
246,with,6
247,underage,1
248,force,1
249,himself,1
250,same,3
251,went,1
252,ran,2
253,there,3
254,ladies,1
255,nothing,1
256,immoral,1
257,illegal,2
258,here,1
259,little,1
260,bit,1
261,unusual,1
262,last,1
263,state,3
264,auditor,1
265,cited,1
266,bible,1
267,argued,1
268,joseph,1
269,mary,1
270,covered,1
271,politics,1
272,very,2
273,long,1
274,time,2
275,swear,1
276,’ve,2
277,seen,1
278,race,1
279,hinging,1
280,issue,1
281,virgin,1
282,birth,2
283,possible,1
284,will,1
285,elected,2
286,super,2
287,red,1
288,strong,1
289,history,2
290,switching,1
291,parties,1
292,order,1
293,punish,1
294,personal,1
295,misbehavior,1
296,ballot,2
297,already,1
298,printed,1
299,hollywood,1
300,studio,1
301,erasing,1
302,kevin,1
303,spacey,1
304,entire,2
305,movie,1
306,earthly,1
307,power,1
308,get,3
309,off,1
310,spectacle,1
311,awful,1
312,least,2
313,outside,2
314,spine,2
315,speak,1
316,follow,1
317,lead,1
318,whoever,1
319,thought,2
320,’d,2
321,urging,1
322,everybody,1
323,agree,1
324,appears,1
325,exemplary,1
326,private,1
327,front,1
328,moral,1
329,whatsoever,1
330,spent,1
331,warning,1
332,donald,1
333,then,1
334,voted,1
335,november,1
336,except,1
337,hillary,1
338,exactly,1
339,helpful,1
340,sitting,1
341,polling,1
342,place,1
343,under,1
344,sign,1
345,says,1
346,’m,1
347,sulking,1
348,however,1
349,looking,1
350,him,1
351,new,1
352,eyes,1
353,due,1
354,george,1
355,w,1
356,bush,1
357,popular,1
358,never,1
359,wrecked,1
360,middle,1
361,east,1
362,nomination,1
363,slamming,1
364,opponents,1
365,soft,1
366,immigrants,1
367,having,1
368,babbling,1
369,self,1
370,deportation,1
371,somehow,1
372,lot,1
373,troubling,1
374,these,1
375,days,1
376,also,1
377,complained,1
378,barack,1
379,obama,1
380,help,1
381,college,1
382,age,1
383,trading,1
384,votes,1
385,free,1
386,contraceptives,1
387,got,1
388,turning,1
389,pregnancy,1
390,prevention,1
391,programs,1
392,over,1
393,control,1
394,yes,1
395,idea,1
396,expressing,1
397,empathy,1
398,low,1
399,income,1
400,americans,1
401,question,1
402,good,1
403,poor,1
404,better,1
405,recent,1
406,revelation,1
407,felt,1
408,so,1
409,sorry,1
410,rich,1
411,propose,1
412,eliminating,1
413,estate,1
414,tax,1
415,give,1
416,something,1
417,ever,1
418,wish,1
