,term,count
0,bozeman,1
1,mont,1
2,just,2
3,as,15
4,citizens,1
5,suspected,1
6,of,50
7,conspiring,1
8,with,5
9,foreign,1
10,governments,2
11,should,2
12,be,6
13,investigated,1
14,and,33
15,prosecuted,1
16,in,32
17,the,84
18,present,1
19,those,2
20,who,6
21,committed,1
22,treason,1
23,past,1
24,need,1
25,not,8
26,glorified,1
27,what,4
28,could,3
29,more,1
30,logical,1
31,than,1
32,taxpayers’,1
33,patriotic,1
34,plea,1
35,that,18
36,their,6
37,federal,1
38,state,3
39,municipal,1
40,consider,1
41,removing,2
42,from,4
43,public,2
44,property,1
45,tributes,2
46,to,33
47,traitors,3
48,loyal,1
49,confederate,4
50,states,5
51,america,2
52,took,1
53,up,6
54,arms,1
55,against,2
56,united,3
57,perpetuate,1
58,institution,1
59,slavery,1
60,i,13
61,have,3
62,no,1
63,qualms,1
64,about,3
65,tearing,1
66,down,3
67,bronze,1
68,confederates,6
69,on,6
70,government,3
71,land,1
72,descend,1
73,men,1
74,my,5
75,paternal,1
76,great,2
77,grandfather,1
78,stephen,1
79,nila,1
80,carlile,4
81,served,1
82,a,24
83,private,4
84,army,1
85,his,4
86,regiment,1
87,first,4
88,cherokee,12
89,mounted,1
90,rifles,1
91,was,8
92,formed,1
93,when,6
94,nation,6
95,residing,1
96,indian,5
97,territory,3
98,is,9
99,now,2
100,eastern,1
101,oklahoma,1
102,signed,1
103,treaty,1
104,alliance,1
105,confederacy,1
106,had,3
107,an,5
108,understandable,1
109,grudge,1
110,for,10
111,them,7
112,west,2
113,before,2
114,so,3
115,called,1
116,civilized,1
117,tribes,1
118,southeast,1
119,they,5
120,been,5
121,pressured,1
122,cede,1
123,hunting,1
124,lands,1
125,trade,1
126,traditional,1
127,matrilineal,1
128,system,1
129,christianity,1
130,male,1
131,dominance,1
132,commercial,1
133,agriculture,1
134,practiced,1
135,19th,1
136,century,1
137,south,1
138,which,2
139,say,2
140,owned,2
141,slaves,3
142,traipsed,1
143,trail,1
144,tears,1
145,marched,1
146,far,1
147,know,6
148,illiterate,1
149,did,2
150,own,1
151,but,5
152,he,2
153,would,3
154,marry,1
155,into,2
156,fancier,1
157,family,3
158,future,2
159,brother,1
160,law,1
161,pleasant,2
162,napoleon,1
163,blackstone,1
164,fought,3
165,battle,2
166,honey,1
167,springs,1
168,it,4
169,largest,2
170,white,1
171,soldiers,1
172,made,1
173,minority,1
174,combatants,1
175,creek,1
176,choctaw,2
177,union,1
178,coalition,1
179,home,1
180,guard,1
181,including,3
182,delaware,1
183,seneca,1
184,shawnee,1
185,plus,1
186,some,5
187,rogue,1
188,pro,1
189,lincoln,1
190,cherokees,1
191,well,2
192,kansas,1
193,colored,1
194,infantry,1
195,black,1
196,units,1
197,war,2
198,engage,1
199,combat,1
200,uncle,1
201,wounded,1
202,commended,1
203,killing,1
204,these,1
205,heroes,1
206,scuttlebutt,1
207,shuttled,1
208,messages,1
209,between,3
210,allies,1
211,after,3
212,by,5
213,way,3
214,freed,1
215,slave,3
216,once,1
217,choctaws,1
218,probably,1
219,composed,2
220,spiritual,1
221,swing,1
222,low,2
223,sweet,1
224,chariot,1
225,piece,1
226,trivia,1
227,pretty,1
228,much,1
229,sums,1
230,american,4
231,history,2
232,hideous,2
233,memories,2
234,beautiful,2
235,songs,2
236,fantasized,1
237,sawing,1
238,off,1
239,tree,1
240,thereby,1
241,whittling,1
242,branches,1
243,swedish,1
244,baptists,1
245,frown,1
246,upon,1
247,godless,1
248,key,1
249,life,1
250,’s,11
251,worth,1
252,noting,1
253,relatives,1
254,were,8
255,volunteers,1
256,another,1
257,sovereign,1
258,meanwhile,1
259,has,2
260,also,2
261,debating,1
262,whether,2
263,remove,1
264,monuments,4
265,grounds,1
266,courthouse,3
267,capital,1
268,tahlequah,1
269,tribute,1
270,commander,1
271,gen,1
272,stand,2
273,watie,1
274,october,1
275,rallying,1
276,point,2
277,march,1
278,observe,1
279,indigenous,1
280,peoples’,1
281,day,2
282,meant,1
283,replace,1
284,columbus,8
285,celebration,1
286,conquest,1
287,appreciation,1
288,original,1
289,inhabitants,1
290,standing,2
291,front,1
292,candessa,1
293,tehee,1
294,professor,1
295,at,4
296,northeastern,1
297,university,1
298,told,1
299,phoenix,1
300,celebrate,2
301,individual,1
302,documented,2
303,traders,1
304,north,1
305,she,4
306,correct,1
307,boring,1
308,said,1
309,this,5
310,while,2
311,same,1
312,lawn,1
313,let,1
314,stop,1
315,indulge,1
316,moment,1
317,nostalgia,1
318,good,2
319,old,1
320,days,1
321,oh,1
322,months,1
323,ago,1
324,question,1
325,dismantle,1
326,taxpayer,1
327,maintained,1
328,statues,2
329,like,1
330,robert,1
331,e,1
332,lee,2
333,answer,1
334,clear,1
335,every,1
336,citizen,1
337,elected,1
338,official,1
339,mature,1
340,enough,1
341,accept,1
342,female,1
343,doctor,1
344,all,1
345,subsequent,2
346,arguments,1
347,heave,1
348,landfill,1
349,are,2
350,going,2
351,murkier,1
352,will,2
353,surely,1
354,lay,1
355,bare,1
356,exasperating,1
357,country,1
358,general,1
359,failed,1
360,destroy,1
361,take,1
362,christopher,1
363,announcing,1
364,task,1
365,force,1
366,review,1
367,new,2
368,york,2
369,city,1
370,any,2
371,may,2
372,suggest,2
373,hate,3
374,or,5
375,division,1
376,racism,1
377,mayor,2
378,bill,1
379,blasio,2
380,described,1
381,honoree,1
382,circle,1
383,complicated,1
384,least,2
385,yet,1
386,wonder,1
387,how,3
388,many,5
389,memorials,1
390,truly,1
391,built,1
392,navigationally,1
393,challenged,1
394,slavemonger,1
395,instead,1
396,put,3
397,italian,4
398,civic,1
399,organizations,1
400,rebuke,1
401,decades,2
402,discrimination,1
403,violence,1
404,reminder,1
405,neighbors,1
406,italians,1
407,here,1
408,since,1
409,objectionable,1
410,genoa,1
411,born,1
412,adventurer,1
413,set,1
414,foot,1
415,hemisphere,1
416,bunch,1
417,equally,1
418,creepy,1
419,blond,1
420,protestants,1
421,followed,2
422,wake,1
423,immigrants,1
424,lynched,1
425,mississippi,1
426,florida,1
427,illinois,1
428,virginia,1
429,colorado,1
430,elsewhere,1
431,slain,1
432,orleans,1
433,mob,1
434,tried,1
435,murder,1
436,acquitted,1
437,d,1
438,w,1
439,griffith,1
440,birth,1
441,reinvigorated,1
442,ku,1
443,klux,1
444,klan,1
445,americans,2
446,joined,1
447,blacks,1
448,jews,1
449,terrorists’,1
450,list,1
451,targets,1
452,politically,1
453,originally,1
454,tone,1
455,nevertheless,1
456,suspect,1
457,increasingly,1
458,vandalized,1
459,edifices,1
460,long,1
461,world,1
462,make,1
463,themselves,1
464,heard,1
465,replaces,1
466,see,1
467,monument,1
468,its,1
469,name,1
470,bruce,1
471,springsteen,1
472,forward,1
473,commissions,1
474,devoted,1
475,sorting,1
476,out,2
477,quagmire,1
478,look,1
479,maya,2
480,lin,2
481,confluence,1
482,project,1
483,pacific,1
484,northwest,1
485,sites,1
486,along,2
487,columbia,1
488,river,2
489,washington,1
490,oregon,1
491,commemorate,1
492,lewis,2
493,clark,5
494,expedition,1
495,view,1
496,people,1
497,ecology,1
498,explorers,1
499,encountered,1
500,’ve,1
501,bird,1
502,blind,1
503,woods,1
504,sandy,1
505,delta,1
506,outside,1
507,portland,1
508,elegant,1
509,elliptical,1
510,treehouse,1
511,wooden,1
512,slats,2
513,engraved,1
514,names,1
515,animal,1
516,species,2
517,corps,1
518,discovery,1
519,labeled,1
520,extinct,1
521,endangered,1
522,concern,1
523,visitor,2
524,brings,1
525,everything,1
526,knows,1
527,does,1
528,william,2
529,camped,1
530,nearby,1
531,november,1
532,sleep,1
533,because,1
534,horrid,1
535,noise,1
536,swans,1
537,geese,1
538,ducks,1
539,captain,1
540,accompanied,1
541,him,1
542,voyage,1
543,sacagawea,1
544,shoshone,2
545,captured,1
546,child,1
547,hidatsa,2
548,hopeful,1
549,hordes,1
550,her,2
551,traveling,1
552,companions’,1
553,footsteps,1
554,news,1
555,louisiana,1
556,purchase,1
557,marveled,1
558,where,1
559,shoo,1
560,forebears,1
561,spat,1
562,east,1
563,even,1
564,though,1
565,fourth,1
566,died,1
567,still,2
568,population,1
569,tribe,1
570,close,1
571,enrolled,1
572,members,1
573,am,1
574,knowing,1
575,none,2
576,lighthearted,1
577,humble,1
578,contraption,1
579,only,2
580,delighted,1
581,ogling,1
582,sky,1
583,wood,1
584,listening,1
585,birds,1
586,kept,1
587,night,1
588,reliving,1
589,hearing,1
