,term,count
0,last,1
1,week,1
2,the,58
3,editors,1
4,of,27
5,gq,1
6,named,1
7,quarterback,1
8,colin,1
9,kaepernick,5
10,its,1
11,citizen,1
12,year,1
13,for,4
14,his,2
15,work,4
16,protesting,2
17,racial,2
18,injustice,1
19,mr,4
20,has,2
21,been,2
22,heavily,1
23,criticized,1
24,by,5
25,people,2
26,like,2
27,president,2
28,trump,1
29,who,6
30,claims,1
31,that,20
32,an,4
33,nfl,1
34,player,1
35,kneels,1
36,during,3
37,playing,1
38,national,4
39,anthem,2
40,disrespects,1
41,our,2
42,flag,2
43,and,24
44,should,1
45,be,1
46,fired,1
47,others,1
48,argue,1
49,he,1
50,is,5
51,out,2
52,bounds,1
53,as,8
54,activist,3
55,mixes,1
56,sports,1
57,with,6
58,politics,1
59,problem,1
60,’s,8
61,critics,1
62,most,5
63,america,1
64,do,2
65,n’t,3
66,really,1
67,understand,1
68,how,2
69,protests,8
70,textbooks,1
71,mythology,1
72,celebrate,1
73,moments,1
74,when,5
75,single,2
76,acts,1
77,civil,4
78,disobedience,1
79,untainted,2
80,political,3
81,organizations,6
82,seemed,2
83,to,27
84,change,2
85,course,1
86,history,3
87,but,2
88,ideal,1
89,good,3
90,protest,4
91,one,2
92,materialized,1
93,from,4
94,individual,4
95,epiphany,1
96,a,25
97,fantasy,1
98,more,2
99,often,2
100,effective,1
101,it,4
102,collective,1
103,contingent,1
104,all,2
105,about,3
106,long,4
107,difficult,1
108,struggles,1
109,consider,1
110,what,2
111,americans,4
112,would,2
113,agree,1
114,were,7
115,rosa,3
116,parks,8
117,refusal,1
118,move,1
119,back,2
120,bus,4
121,in,26
122,montgomery,2
123,ala,1
124,student,1
125,sit,7
126,ins,5
127,at,6
128,woolworth,3
129,lunch,2
130,counter,3
131,greensboro,6
132,nc,1
133,story,1
134,goes,1
135,was,6
136,exhausted,1
137,day,1
138,took,1
139,seat,5
140,whites,1
141,only,3
142,section,1
143,astonishment,1
144,onlookers,1
145,she,2
146,refused,3
147,give,3
148,up,4
149,her,4
150,asked,1
151,black,5
152,college,1
153,students,7
154,decided,1
155,eat,1
156,local,2
157,dime,1
158,initiated,1
159,first,5
160,segregated,1
161,southern,1
162,restaurant,1
163,they,13
164,idealistic,1
165,perhaps,1
166,naïve,1
167,these,3
168,stories,2
169,follow,1
170,set,2
171,narrative,2
172,are,5
173,firsts,1
174,time,4
175,woman,2
176,or,1
177,staged,2
178,arise,1
179,spontaneously,1
180,someone,1
181,fed,1
182,unfair,1
183,treatment,1
184,could,1
185,take,1
186,anymore,1
187,protesters,5
188,act,2
189,citizens,1
190,associations,2
191,suspect,1
192,trouble,1
193,historically,1
194,inaccurate,1
195,obscure,1
196,just,4
197,20th,1
198,century,2
199,forged,1
200,democratic,1
201,country,1
202,greater,1
203,accuracy,1
204,allow,1
205,us,1
206,better,1
207,evaluate,1
208,against,2
209,discrimination,2
210,earlier,1
211,similar,1
212,started,2
213,sprang,1
214,protesters’,1
215,deeply,1
216,rather,2
217,than,3
218,played,1
219,unfamiliar,1
220,venues,1
221,new,2
222,forms,1
223,have,1
224,their,4
225,own,1
226,histories,1
227,almost,1
228,never,1
229,kind,1
230,successful,1
231,plan,1
232,campaigns,1
233,respond,1
234,oppression,1
235,spontaneous,1
236,belong,1
237,lend,1
238,theoretical,1
239,moral,1
240,logistical,1
241,support,1
242,reveal,1
243,previously,1
244,hidden,1
245,wrongs,2
246,unaware,1
247,public,2
248,instead,1
249,cast,1
250,those,2
251,light,1
252,fail,1
253,again,1
254,succeed,1
255,win,1
256,partial,1
257,victories,1
258,example,2
259,trained,2
260,rights,4
261,built,1
262,on,7
263,efforts,2
264,19th,1
265,desegregate,1
266,transportation,2
267,gained,1
268,speed,1
269,1930s,1
270,pauli,2
271,murray,3
272,petersburg,1
273,va,1
274,though,1
275,today,2
276,look,1
277,desegregation,2
278,pride,1
279,white,3
280,southerners,1
281,opposed,1
282,vehemently,1
283,many,1
284,did,2
285,so,2
286,violently,1
287,world,1
288,war,3
289,passengers,1
290,drivers,1
291,beat,1
292,uniformed,1
293,soldiers,1
294,tried,1
295,integrate,1
296,buses,2
297,philip,1
298,randolph,3
299,knew,4
300,emergency,1
301,meant,1
302,instances,1
303,ran,1
304,nation,1
305,interests,1
306,drew,2
307,experience,1
308,labor,1
309,leader,1
310,found,1
311,march,2
312,washington,3
313,movement,5
314,threatened,1
315,bring,1
316,millions,1
317,african,2
318,franklin,1
319,roosevelt,1
320,promised,1
321,reforms,1
322,called,2
323,off,1
324,throughout,1
325,continued,1
326,train,1
327,became,1
328,1950s,1
329,including,1
330,this,2
331,pressure,1
332,influenced,1
333,supreme,1
334,court,1
335,which,3
336,ordered,1
337,interstate,1
338,morgan,1
339,v,1
340,virginia,1
341,case,1
342,precedent,1
343,strategically,1
344,worked,1
345,extend,1
346,state,1
347,laws,1
348,had,3
349,done,1
350,sitting,2
351,struggle,2
352,stool,1
353,since,1
354,early,1
355,howard,1
356,university,1
357,some,1
358,involved,1
359,led,1
360,aimed,1
361,chain,1
362,stores,1
363,operated,1
364,outside,1
365,south,1
366,purposefully,1
367,later,1
368,because,2
369,advised,1
370,legendary,1
371,organizer,1
372,ella,1
373,baker,3
374,americans’,1
375,deep,1
376,investment,1
377,myth,1
378,quickly,1
379,succeeded,1
380,based,1
381,left,1
382,impression,1
383,such,1
384,lives,1
385,matter,1
