,term,count
0,earlier,1
1,this,9
2,month,1
3,at,4
4,the,42
5,national,2
6,assembly,1
7,in,13
8,seoul,1
9,president,1
10,trump,3
11,highlighted,1
12,tragic,1
13,tale,1
14,of,19
15,koreas,1
16,free,1
17,just,2
18,and,24
19,peaceful,1
20,other,5
21,tyrannical,1
22,oppressive,1
23,dangerous,2
24,contrast,1
25,is,13
26,root,1
27,america,1
28,’s,11
29,most,1
30,urgent,1
31,security,1
32,challenge,1
33,it,7
34,also,5
35,now,1
36,on,5
37,vivid,1
38,display,1
39,a,15
40,south,8
41,korean,14
42,hospital,1
43,where,2
44,doctors,2
45,are,2
46,working,1
47,to,27
48,save,1
49,wounded,1
50,malnourished,1
51,north,23
52,soldier,1
53,who,8
54,defected,2
55,last,2
56,week,5
57,from,6
58,jong,3
59,un,3
60,slave,2
61,state,3
62,defector,3
63,whose,1
64,full,1
65,name,1
66,still,3
67,not,2
68,publicly,1
69,known,2
70,risked,1
71,his,6
72,life,3
73,by,5
74,speeding,1
75,across,3
76,demilitarized,1
77,zone,1
78,jeep,1
79,then,1
80,dashing,1
81,heavily,1
82,guarded,1
83,border,3
84,panmunjon,1
85,he,5
86,knew,1
87,that,3
88,troops,1
89,have,5
90,shoot,2
91,kill,2
92,orders,1
93,against,1
94,anyone,1
95,trying,1
96,flee,1
97,time,3
98,made,2
99,some,5
100,bullets,1
101,had,3
102,pierced,1
103,arms,1
104,torso,1
105,guards,2
106,rescued,1
107,him,1
108,yards,1
109,soon,1
110,discovered,1
111,how,1
112,grave,1
113,condition,1
114,was,1
115,along,1
116,with,4
117,bullet,1
118,wounds,2
119,hepatitis,1
120,b,1
121,pneumonia,1
122,an,1
123,enormous,1
124,number,1
125,parasitic,1
126,worms,2
127,intestines,1
128,up,2
129,inches,1
130,long,2
131,i,1
132,’ve,1
133,never,1
134,seen,1
135,anything,1
136,like,2
137,my,1
138,years,1
139,as,10
140,physician,1
141,said,1
142,surgeon,1
143,can,1
144,burrow,1
145,into,4
146,fresh,1
147,potentially,1
148,devastating,1
149,effects,1
150,plight,1
151,window,1
152,onto,1
153,for,9
154,all,5
155,regime,5
156,spending,1
157,sophisticated,1
158,weapons,1
159,monuments,1
160,kim,1
161,family,1
162,bribes,1
163,elites,1
164,pyongyang,3
165,even,1
166,trusted,1
167,soldiers,1
168,suffer,1
169,terrible,1
170,malnourishment,1
171,vast,1
172,majority,1
173,koreans,4
174,endure,1
175,worse,1
176,such,3
177,cruelty,1
178,korea,11
179,responsibility,1
180,those,4
181,foreign,1
182,governments,1
183,enable,1
184,every,2
185,people,3
186,subject,1
187,brutal,1
188,imposed,1
189,caste,4
190,system,2
191,songbun,3
192,word,1
193,should,1
194,be,2
195,notorious,1
196,around,1
197,world,3
198,birth,1
199,marked,1
200,government,1
201,member,1
202,loyal,1
203,core,1
204,wavering,1
205,middle,1
206,or,3
207,hostile,1
208,designation,1
209,determines,1
210,access,1
211,food,1
212,housing,1
213,education,1
214,jobs,1
215,everything,1
216,during,1
217,famine,1
218,1990s,1
219,when,2
220,more,1
221,than,2
222,perished,1
223,often,1
224,determined,1
225,ate,1
226,starved,1
227,once,1
228,relatively,1
229,productive,1
230,heavy,1
231,industry,1
232,addition,1
233,minerals,1
234,natural,1
235,resources,1
236,but,2
237,while,1
238,boomed,1
239,after,2
240,war,1
241,became,1
242,great,1
243,economies,1
244,communist,1
245,immiserated,1
246,its,2
247,malnutrition,1
248,makes,1
249,children,2
250,significantly,1
251,shorter,1
252,thinner,1
253,mostly,2
254,past,2
255,decades,1
256,traveling,1
257,highly,1
258,route,1
259,through,2
260,china,4
261,eventually,1
262,part,3
263,danger,3
264,comes,3
265,vicious,1
266,human,2
267,traffickers,1
268,lure,1
269,defectors,4
270,forced,3
271,labor,3
272,prostitution,1
273,chinese,1
274,authorities,1
275,send,1
276,back,1
277,they,2
278,face,2
279,imprisonment,1
280,execution,1
281,repatriations,1
282,violate,1
283,clear,1
284,legal,1
285,obligations,1
286,under,1
287,international,2
288,refugee,1
289,convention,1
290,goes,1
291,manage,1
292,make,1
293,freedom,4
294,administration,2
295,designated,1
296,sponsor,1
297,terrorism,1
298,partly,1
299,because,2
300,assassinations,1
301,dissidents,1
302,abroad,1
303,including,1
304,half,1
305,brother,1
306,killed,1
307,recently,1
308,vx,1
309,nerve,1
310,agent,1
311,malaysia,1
312,united,2
313,states,1
314,will,1
315,sit,1
316,idly,1
317,rogue,1
318,lawlessly,1
319,pursues,1
320,death,1
321,choice,1
322,run,1
323,sends,1
324,overseas,1
325,earn,1
326,money,1
327,mines,1
328,logging,1
329,camps,1
330,construction,1
331,sites,1
332,especially,1
333,russia,2
334,uses,1
335,laborers,1
336,whom,1
337,believed,1
338,worked,1
339,soccer,1
340,stadiums,1
341,cup,1
342,nations,3
343,officials,1
344,estimated,1
345,earns,1
346,year,1
347,way,1
348,has,1
349,called,1
350,countries,2
351,exploiting,1
352,cease,1
353,immediately,1
354,important,1
355,detail,1
356,rights,1
357,horrors,1
358,lend,1
359,insight,1
360,nuclear,1
361,menace,1
362,we,2
363,willing,1
364,trade,1
365,cover,1
366,threatening,1
367,peace,1
368,asia,1
369,cruel,1
370,own,1
371,civilized,1
372,certainly,1
373,seeking,1
374,greater,1
375,respect,1
376,stage,1
377,work,1
378,together,1
379,fully,1
380,denuclearization,1
381,belatedly,1
382,finally,1
383,woke,1
384,surgery,1
385,reported,1
386,asked,1
387,listen,1
388,songs,1
389,watch,1
390,american,1
391,movies,1
392,small,1
393,taste,1
394,denied,1
395,americans,1
396,take,1
397,thankful,1
398,may,1
399,regard,1
400,our,1
401,so,1
402,precious,1
