,term,count
0,matt,2
1,lauer,6
2,like,2
3,charlie,2
4,rose,3
5,and,50
6,mark,2
7,halperin,4
8,before,1
9,him,4
10,is,7
11,a,33
12,journalist,1
13,out,1
14,of,49
15,job,1
16,after,3
17,his,7
18,employer,1
19,fired,1
20,for,10
21,sexually,3
22,harassing,1
23,female,3
24,colleagues,3
25,it,16
26,’s,18
27,good,1
28,news,3
29,that,29
30,real,1
31,penalties,1
32,are,16
33,now,1
34,leveled,1
35,on,14
36,men,22
37,who,14
38,harass,1
39,centuries,1
40,the,66
41,costs,1
42,mostly,1
43,befalling,1
44,women,19
45,endure,1
46,harassment,10
47,but,9
48,deep,3
49,cultural,2
50,rot,1
51,has,5
52,corroded,1
53,nearly,2
54,all,5
55,our,3
56,institutions,1
57,every,1
58,corner,1
59,culture,1
60,not,9
61,just,3
62,about,6
63,few,1
64,badly,2
65,behaved,1
66,sexual,11
67,sexism,2
68,predicated,1
69,involves,1
70,more,6
71,than,3
72,harassers,3
73,harassed,1
74,when,6
75,with,11
76,loud,1
77,microphones,1
78,their,10
79,private,1
80,misogyny,1
81,wide,1
82,reaching,1
83,public,2
84,consequences,1
85,most,3
86,significant,1
87,election,4
88,many,4
89,male,1
90,journalists,4
91,stand,1
92,accused,3
93,were,6
94,forefront,1
95,covering,3
96,presidential,2
97,race,4
98,between,1
99,hillary,5
100,clinton,16
101,trump,7
102,interviewed,1
103,mrs,10
104,mr,12
105,in,15
106,an,5
107,official,1
108,commander,1
109,chief,1
110,forum,1
111,nbc,1
112,he,7
113,notoriously,2
114,peppered,1
115,interrupted,1
116,cold,1
117,aggressive,1
118,condescending,1
119,questions,1
120,hyper,1
121,focused,1
122,her,10
123,emails,1
124,only,2
125,to,37
126,pitch,1
127,softballs,1
128,at,8
129,treat,2
130,gentle,1
131,collegiality,1
132,half,2
133,hour,1
134,later,1
135,set,2
136,much,2
137,televised,1
138,political,3
139,discourse,1
140,interviewing,1
141,other,2
142,pundits,2
143,opining,1
144,themselves,2
145,obsessing,1
146,over,2
147,electoral,1
148,play,3
149,by,3
150,took,1
151,tone,2
152,similar,1
153,talking,1
154,down,1
155,interrupting,1
156,portraying,1
157,as,12
158,untrustworthy,1
159,was,15
160,harsh,1
161,critic,1
162,painting,1
163,ruthless,1
164,corrupt,1
165,while,3
166,going,2
167,surprisingly,1
168,easy,2
169,reporter,1
170,glenn,1
171,thrush,1
172,currently,1
173,leave,1
174,from,2
175,new,2
176,york,2
177,times,1
178,because,3
179,allegations,3
180,covered,1
181,campaign,4
