,term,count
0,it,13
1,used,2
2,to,21
3,be,8
4,that,29
5,when,3
6,someone,1
7,called,1
8,me,3
9,an,6
10,abomination,3
11,i,7
12,was,8
13,in,12
14,the,53
15,presence,1
16,of,22
17,a,30
18,homophobe,1
19,but,7
20,recent,1
21,opinion,1
22,column,5
23,texas,2
24,state,3
25,university,3
26,’s,20
27,main,1
28,newspaper,2
29,damned,1
30,for,9
31,different,1
32,reason,1
33,’m,3
34,abominable,1
35,because,3
36,white,12
37,n’t,8
38,aimed,1
39,at,6
40,personally,1
41,my,1
42,kind,1
43,and,35
44,hispanic,1
45,student,7
46,who,8
47,wrote,4
48,began,1
49,by,10
50,saying,3
51,all,4
52,people,4
53,he,7
54,had,4
55,ever,3
56,encountered,1
57,there,4
58,were,1
59,dozen,1
60,or,5
61,so,4
62,rose,1
63,level,1
64,decent,1
65,allowance,1
66,us,4
67,passed,1
68,muster,1
69,perhaps,1
70,most,2
71,generous,1
72,passage,1
73,screed,1
74,unambiguous,1
75,message,1
76,they,11
77,good,1
78,hearted,1
79,liberals,1
80,right,4
81,wing,1
82,extremists,1
83,hate,3
84,you,4
85,should,2
86,exist,1
87,are,5
88,both,1
89,dominant,1
90,apparatus,1
91,on,6
92,planet,1
93,void,1
94,which,4
95,other,4
96,cultures,1
97,upon,1
98,meeting,1
99,die,2
100,headline,2
101,your,1
102,dna,1
103,is,8
104,yes,1
105,this,4
106,deliberate,1
107,provocation,1
108,college,5
109,obviously,1
110,color,1
111,have,4
112,been,2
113,systematically,1
114,oppressed,1
115,what,9
116,would,1
117,published,2
118,telling,1
119,his,8
120,black,1
121,peers,1
122,’re,3
123,wretched,1
124,lot,1
125,beyond,1
126,catharsis,1
127,did,5
128,author,1
129,accomplish,1
130,has,1
131,happened,1
132,our,6
133,discourse,1
134,how,2
135,we,11
136,do,2
137,make,1
138,necessary,1
139,progress,2
140,answered,1
141,prejudice,2
142,echoed,1
143,extremism,2
144,begets,1
145,ostensible,1
146,liberalism,1
147,practices,1
148,abject,1
149,illiberalism,1
150,donald,1
151,trump,4
152,wins,1
153,just,2
154,campus,2
155,campuses,1
156,general,1
157,manner,1
158,thinking,1
159,language,2
160,too,4
161,prevalent,1
162,among,1
163,those,2
164,correctly,1
165,call,1
166,out,3
167,racial,1
168,inequities,1
169,social,2
170,injustices,1
171,wrongly,1
172,fall,1
173,prey,1
174,themselves,2
175,bigotry,1
176,behind,1
177,ills,1
178,far,3
179,set,1
180,tone,1
181,left,1
182,adopt,1
183,doing,1
184,wo,1
185,get,2
186,fairer,1
187,place,1
188,must,1
189,inhabit,1
190,plays,1
191,directly,1
192,into,5
193,dirty,1
194,hands,1
195,may,2
196,seem,1
197,odd,1
198,fearful,1
199,juncture,1
200,point,2
201,any,2
202,failings,1
203,than,2
204,abettors’,1
205,disgracing,1
206,country,1
207,more,3
208,galling,1
209,ways,1
210,with,8
211,support,2
212,from,1
213,fringe,1
214,nationalists,2
215,whose,1
216,reprehensible,1
217,ideology,1
218,warrants,1
219,attention,1
220,receives,1
221,threat,1
222,posed,1
223,minions,1
224,only,1
225,increases,1
226,importance,1
227,being,1
228,smart,1
229,about,3
230,stopping,1
231,him,1
232,strategy,1
233,maintaining,1
234,power,1
235,includes,1
236,driving,1
237,wedges,1
238,between,2
239,making,1
240,americans,1
241,feel,1
242,under,2
243,assault,1
244,why,3
245,cooperate,1
246,baited,1
247,after,2
248,turned,1
249,furious,1
250,distressingly,1
251,familiar,1
252,theater,1
253,denunciation,2
254,counter,1
255,president,3
256,understandably,1
257,condemned,1
258,written,1
259,as,2
260,racist,1
261,body,1
262,groups,1
263,representing,1
264,minorities,1
265,said,1
266,these,1
267,rebukes,1
268,take,1
269,account,1
270,slurs,1
271,routinely,1
272,endure,1
273,’d,1
274,demonized,1
275,terrorized,1
276,such,1
277,upset,1
278,outrage,1
279,over,2
280,reversal,1
281,fortunes,1
282,legitimate,1
283,observation,1
284,also,4
285,dead,1
286,end,1
287,turnabout,1
288,fair,1
289,play,1
290,foul,1
291,morality,1
292,foolish,1
293,politics,2
294,mirroring,1
295,ugliness,1
296,alt,1
297,gives,1
298,them,6
299,ammunition,1
300,want,3
301,need,1
302,precisely,1
303,some,1
304,fevered,1
305,activists,1
306,evergreen,1
307,shouted,1
308,down,1
309,biology,1
310,professor,5
311,school,1
312,stood,1
313,woman,1
314,screamed,1
315,whiteness,1
316,violent,2
317,system,2
318,breathe,1
319,deleted,1
320,profanity,1
321,adjunct,1
322,delaware,1
323,facebook,3
324,post,4
325,otto,1
326,warmbier,2
327,american,2
328,imprisoned,1
329,north,1
330,korea,1
331,came,1
332,home,1
333,comatose,1
334,died,1
335,soon,1
336,got,1
337,exactly,1
338,deserved,1
339,like,1
340,young,1
341,rich,1
342,clueless,1
343,males,1
344,united,1
345,states,1
346,thought,1
347,could,1
348,away,1
349,whatever,1
350,wanted,1
351,meanwhile,1
352,trinity,1
353,hartford,1
354,page,1
355,incendiary,1
356,story,1
357,republican,1
358,lawmakers,1
359,found,1
360,gunfire,1
361,alexandria,1
362,va,1
363,baseball,1
364,field,1
365,its,1
366,included,1
367,let,1
368,phrase,1
369,folded,1
370,hashtag,1
371,accompanying,1
372,subsequent,1
373,thanks,1
374,large,1
375,part,1
376,media,1
377,incentivizes,1
378,invective,1
379,then,1
380,magnifies,1
381,conversations,1
382,coarsen,1
383,compasses,1
384,spin,1
385,whack,1
386,descend,1
387,lowest,1
388,common,1
389,denominator,1
390,becoming,1
391,supposedly,1
392,abhor,1
393,regularly,1
394,stunned,1
395,cruelty,1
396,mistaken,1
397,cleverness,1
398,inhumanity,1
399,confused,1
400,conviction,1
401,few,2
402,days,2
403,ago,2
404,neera,1
405,tanden,1
406,prominent,1
407,democratic,1
408,operative,1
409,presides,1
410,center,1
411,took,2
412,twitter,2
413,cheer,1
414,incineration,1
415,rupert,1
416,murdoch,1
417,homes,1
418,she,7
419,linked,1
420,news,1
421,california,1
422,wildfires,1
423,reached,1
424,property,1
425,quipped,1
426,god,1
427,unhappy,1
428,before,1
429,huffington,1
430,writer,3
431,reacted,1
432,senator,2
433,john,2
434,mccain,3
435,11th,1
436,hour,1
437,tax,2
438,reform,1
439,offering,1
440,congratulations,1
441,wife,1
442,children,1
443,their,1
444,upcoming,1
445,free,1
446,inheritance,1
447,seemed,1
448,mocking,1
449,man,1
450,brain,1
451,cancer,1
452,actually,1
453,treading,1
454,lightly,1
455,commentary,1
456,medium,1
457,months,1
458,issue,1
459,interventionist,1
460,sincerely,1
461,genuinely,1
462,hope,1
463,arizona,1
464,heart,1
465,stops,1
466,beating,1
467,many,1
468,go,1
469,no,2
470,doubt,1
471,incited,1
472,whom,1
473,mere,1
474,starting,1
475,pattern,1
476,turning,1
477,righteous,1
478,causes,1
479,indiscriminate,1
480,attacks,1
481,painting,1
482,destructively,1
483,broad,1
484,brush,1
485,branding,1
486,certain,1
487,actors,1
488,irredeemable,1
489,does,1
490,leave,1
491,room,1
492,much,1
493,motivation,1
494,redemption,1
495,website,1
496,acculturated,1
497,bethany,1
498,mandel,1
499,noted,1
500,thread,1
501,discussion,1
502,harvey,1
503,weinstein,1
504,sexual,1
505,abuse,1
506,posited,1
507,masculinity,1
508,inherently,1
509,toxic,1
510,male,1
511,sexuality,1
512,inevitably,1
513,brutal,1
514,essentially,1
515,told,1
516,her,1
517,mothers,1
518,sons,1
519,destined,1
520,become,1
521,predators,1
522,matter,1
523,pushed,1
524,back,1
525,if,2
526,boys,1
527,better,3
528,raise,1
529,expectation,1
530,can,1
531,not,1
532,tell,2
533,constantly,1
534,monsters,1
535,training,1
536,capable,1
537,evidence,1
538,oval,1
539,office,1
540,notwithstanding,1
