,term,count
0,during,1
1,o,1
2,j,1
3,simpson,7
4,’s,15
5,trial,2
6,for,6
7,murder,1
8,his,6
9,lawyers,3
10,needed,1
11,to,43
12,throw,1
13,the,65
14,blame,1
15,on,13
16,someone,1
17,besides,1
18,their,3
19,client,1
20,they,5
21,settled,1
22,a,22
23,vague,1
24,story,2
25,about,6
26,drug,1
27,dealers,1
28,somehow,3
29,tied,1
30,close,1
31,friend,1
32,of,22
33,wife,1
34,nicole,2
35,brown,2
36,defense,3
37,never,1
38,even,2
39,tried,3
40,explain,1
41,why,2
42,these,1
43,malefactors,1
44,would,2
45,have,7
46,wanted,1
47,kill,1
48,much,2
49,less,1
50,goldman,1
51,jeffrey,1
52,toobin,1
53,wrote,1
54,in,14
55,book,1
56,that,9
57,was,14
58,n’t,4
59,point,1
60,strategy,1
61,all,4
62,had,4
63,do,4
64,muddy,1
65,proverbial,1
66,waters,1
67,and,12
68,gesture,1
69,at,2
70,an,7
71,alternative,3
72,theory,3
73,crime,3
74,behavior,1
75,republicans,9
76,congress,2
77,who,5
78,are,6
79,ostensibly,1
80,investigating,2
81,russia,9
82,interference,2
83,election,4
84,makes,1
85,sense,1
86,if,4
87,you,4
88,imagine,1
89,them,2
90,acting,1
91,like,4
92,though,1
93,pretending,2
94,examine,1
95,against,1
96,america,1
97,instead,2
98,working,2
99,cover,1
100,up,3
101,so,2
102,spinning,1
103,wild,2
104,scenarios,1
105,with,9
106,just,2
107,enough,1
108,surface,1
109,plausibility,1
110,persuade,1
111,easily,1
112,persuadable,1
113,because,3
114,prove,1
115,rarely,1
116,see,2
117,it,11
118,fully,1
119,elaborated,1
120,but,4
121,goes,1
122,something,2
123,this,3
124,hillary,1
125,clinton,3
126,campaign,2
127,hired,2
128,fusion,4
129,gps,4
130,gather,1
131,anti,1
132,trump,13
133,misinformation,1
134,from,3
135,retired,1
136,british,1
137,spy,2
138,christopher,1
139,steele,6
140,then,1
141,delivered,1
142,russian,2
143,smears,1
144,fbi,9
145,which,4
146,determined,1
147,thwart,1
148,anyone,1
149,guilty,1
150,collusion,2
151,her,1
152,allies,1
153,tuesday,2
154,senator,2
155,sheldon,1
156,whitehouse,2
157,democrat,2
158,rhode,1
159,island,1
160,gave,1
161,speech,1
162,senate,1
163,floor,1
164,rabbit,1
165,holes,1
166,into,3
167,divert,1
168,investigation,5
169,republican,5
170,colleagues,1
171,he,3
172,said,2
173,been,2
174,repeating,1
175,chorus,1
176,white,1
177,house,1
178,conservative,1
179,media,1
180,disproven,2
181,claim,1
182,russians,3
183,commissioned,1
184,dossier,3
185,or,3
186,got,1
187,suckered,1
188,by,3
189,some,2
190,deep,1
191,state,1
192,set,1
193,whole,1
194,thing,1
195,pressure,1
196,tapestry,1
197,disinformation,1
198,is,6
199,background,1
200,tweets,1
201,thursday,2
202,morning,1
203,part,3
204,paid,1
205,democrats,1
206,‘,1
207,used,1
208,did,4
209,use,1
210,intel,1
211,tool,1
212,influence,1
213,election’,1
214,foxandfriends,1
215,dems,1
216,also,2
217,pay,1
218,were,1
219,president,2
220,trying,1
221,sell,1
222,country,1
223,photonegative,1
224,version,1
225,reality,1
226,be,2
227,unsurprising,1
228,since,1
229,both,1
230,fabulist,1
231,master,1
232,projection,1
233,now,1
234,congressional,1
235,supposed,1
236,actions,1
237,using,1
238,power,1
239,bolster,1
240,counternarrative,2
241,jan,1
242,senators,1
243,chuck,1
244,grassley,1
245,lindsey,1
246,graham,1
247,sent,1
248,letter,1
249,justice,4
250,department,4
251,asking,2
252,open,1
253,criminal,1
254,apparently,1
255,lying,2
256,simply,1
257,as,5
258,matter,1
259,procedure,1
260,move,1
261,shocked,1
262,veterans,1
263,i,3
264,can,1
265,not,3
266,think,1
267,time,1
268,has,1
269,referred,2
270,alleging,1
271,lie,1
272,matthew,1
273,miller,1
274,former,1
275,spokesman,1
276,told,2
277,me,2
278,believe,2
279,unprecedented,1
280,seemed,1
281,stunt,1
282,undermine,2
283,credibility,1
284,dianne,1
285,feinstein,1
286,california,1
287,grew,1
288,frustrated,1
289,stonewalling,1
290,unilaterally,1
291,released,1
292,transcript,3
293,testimony,1
294,co,1
295,founder,1
296,glenn,1
297,r,1
298,before,1
299,judiciary,1
300,committee,3
301,august,1
302,keep,1
303,secret,1
304,reading,1
305,clear,1
306,again,2
307,shows,1
308,questions,1
309,meant,1
310,substantiate,1
311,trumpist,1
312,narrative,1
313,particularly,1
314,whether,1
315,specific,1
316,aim,1
317,starting,1
318,detailed,1
319,answers,1
320,given,1
321,under,1
322,oath,1
323,make,1
324,look,1
325,ridiculous,1
326,questioning,1
327,comes,1
328,off,1
329,earnest,1
330,upright,1
331,figure,1
332,stunned,1
333,discoveries,1
334,felt,1
335,duty,1
336,bound,1
337,go,1
338,reason,1
339,could,1
340,him,1
341,good,2
342,conspiracy,1
343,theories,1
344,contains,1
345,few,2
346,facts,1
347,mixed,1
348,supposition,1
349,example,1
350,true,1
351,peter,1
352,strzok,4
353,counterintelligence,1
354,agent,1
355,initial,1
356,inquiry,1
357,ties,1
358,texted,1
359,colleague,1
360,whom,1
361,having,1
362,affair,1
363,need,2
364,insurance,2
365,policy,2
366,should,3
367,become,1
368,wall,1
369,street,1
370,journal,1
371,reported,1
372,aghast,1
373,seriousness,1
374,referring,1
375,proceed,1
376,quickly,1
377,win,1
378,upset,1
