,term,count
0,where,6
1,did,3
2,you,16
3,learn,1
4,about,12
5,sex,10
6,in,20
7,my,5
8,personal,1
9,pie,1
10,chart,1
11,percent,5
12,of,22
13,the,51
14,credit,2
15,goes,3
16,to,35
17,mom,2
18,and,42
19,dad,1
20,who,5
21,taught,4
22,me,4
23,that,30
24,was,11
25,for,8
26,marriage,2
27,or,6
28,at,7
29,very,2
30,least,2
31,a,24
32,committed,1
33,loving,1
34,monogamous,1
35,relationship,3
36,would,1
37,god,1
38,willing,1
39,occur,1
40,once,2
41,i,16
42,out,2
43,house,1
44,’ll,1
45,another,2
46,ed,2
47,junior,1
48,high,2
49,health,1
50,classes,1
51,names,1
52,body,1
53,parts,1
54,explained,1
55,what,12
56,went,1
57,straight,1
58,people,4
59,intercourse,1
60,it,5
61,assumed,1
62,we,3
63,’d,3
64,all,5
65,be,6
66,having,1
67,learned,1
68,bad,3
69,news,1
70,every,3
71,act,1
72,risking,1
73,pregnancy,1
74,disease,1
75,think,1
76,coach,1
77,carr,1
78,’s,10
79,speech,1
80,movie,1
81,mean,1
82,girls,1
83,do,10
84,n’t,12
85,have,5
86,because,2
87,will,1
88,get,6
89,pregnant,1
90,die,1
91,which,4
92,left,2
93,filled,1
94,by,6
95,friends,1
96,pop,1
97,culture,1
98,heard,3
99,on,4
100,school,1
101,bus,1
102,sleepover,1
103,parties,1
104,saw,1
105,movies,2
106,radio,1
107,glimpses,1
108,got,1
109,dirty,2
110,magazines,1
111,kept,1
112,behind,1
113,brown,1
114,paper,1
115,wrappers,1
116,shelves,2
117,but,6
118,reader,1
119,most,3
120,knew,1
121,came,3
122,from,7
123,books,5
124,starting,1
125,with,10
126,copy,1
127,judy,1
128,blume,1
129,forever,1
130,made,1
131,rounds,1
132,cafeteria,1
133,seventh,1
134,grade,1
135,dozens,1
136,harlequin,1
137,romances,1
138,devoured,1
139,best,1
140,sellers,1
141,judith,1
142,krantz,1
143,shirley,2
144,conran,2
145,jean,1
146,auel,1
147,susan,1
148,isaacs,1
149,erica,1
150,jong,1
151,snagged,1
152,’ve,3
153,been,2
154,thinking,2
155,education,1
156,light,1
157,must,1
158,now,3
159,discussed,1
160,date,4
161,history,1
162,likely,1
163,encounter,2
164,between,3
165,an,6
166,anonymous,1
167,old,3
168,photographer,1
169,comedian,1
170,actor,1
171,aziz,1
172,ansari,3
173,they,13
174,met,1
175,party,1
176,led,2
177,dinner,1
178,sexual,5
179,she,7
180,deeply,1
181,regret,1
182,told,2
183,reporter,1
184,believing,1
185,mr,2
186,ignored,1
187,verbal,1
188,nonverbal,1
189,cues,1
190,into,2
191,happening,1
192,has,2
193,gone,1
194,public,1
195,her,5
196,account,1
197,everyone,1
198,seems,1
199,opinion,1
200,he,1
201,whether,2
202,talking,2
203,gray,1
204,zone,1
205,man,1
206,believes,1
207,everything,1
208,happened,1
209,consensual,1
210,woman,2
211,feels,1
212,otherwise,1
213,spells,1
214,end,2
215,metoo,1
216,movement,1
217,reading,1
218,realize,1
219,how,5
220,lucky,1
221,am,1
222,so,3
223,much,3
224,harlequins,1
225,literary,1
226,establishment,1
227,does,2
228,love,2
229,women,7
230,fiction,2
231,romance,4
232,erotica,1
233,popular,1
234,novels,3
235,come,1
236,extra,1
237,helping,1
238,scorn,1
239,critics,1
240,sneer,1
241,’re,4
242,heaving,1
243,bosoms,1
244,throbbing,1
245,manhoods,1
246,unrealistic,1
247,poorly,1
248,written,2
249,politically,1
250,incorrect,1
251,those,1
252,their,4
253,soft,1
254,core,1
255,covers,1
256,happily,1
257,ever,1
258,afters,1
259,were,5
260,quietly,2
261,not,7
262,subversive,1
263,readers,2
264,pleasure,2
265,something,1
266,could,1
267,just,3
268,hope,1
269,insist,1
270,upon,1
271,shaped,1
272,interactions,1
273,boys,1
274,men,7
275,helped,1
276,make,1
277,feminist,1
278,these,1
279,consumed,1
280,female,1
281,essential,1
282,part,1
283,story,1
284,villains,1
285,easy,2
286,spot,1
287,ones,1
