,term,count
0,president,2
1,trump,5
2,has,4
3,inspired,1
4,widespread,1
5,outrage,2
6,and,46
7,disgust,1
8,with,8
9,his,4
10,crude,1
11,racist,7
12,disparagement,1
13,of,34
14,haiti,2
15,el,2
16,salvador,2
17,african,2
18,nations,1
19,the,62
20,predominantly,1
21,black,2
22,brown,1
23,immigrants,7
24,from,10
25,these,2
26,places,2
27,as,7
28,horrifying,1
29,this,5
30,remark,1
31,was,6
32,groundbreaking,1
33,transparency,1
34,provides,1
35,an,5
36,opportunity,1
37,racism,4
38,long,4
39,fueled,1
40,united,8
41,states,7
42,immigration,7
43,exclusions,1
44,restrictions,1
45,but,8
46,days,1
47,it,3
48,’s,10
49,rare,1
50,to,27
51,hear,1
52,rhetoric,1
53,that,9
54,openly,1
55,reflects,1
56,reality,1
57,providing,1
58,us,4
59,a,7
60,chance,1
61,delve,1
62,into,4
63,its,3
64,roots,1
65,implications,1
66,we,10
67,’ve,1
68,grown,1
69,accustomed,1
70,dog,1
71,whistling,1
72,anti,3
73,immigrant,5
74,where,3
75,blood,1
76,purity,1
77,civilization,1
78,were,5
79,once,1
80,everyday,1
81,vocabulary,1
82,rights,3
83,activism,1
84,have,7
85,at,2
86,least,1
87,until,2
88,recently,1
89,succeeded,1
90,in,29
91,forcing,1
92,such,1
93,talk,1
94,underground,1
95,our,4
96,era,1
97,seemingly,1
98,race,1
99,neutral,1
100,languages,1
101,security,2
102,legality,1
103,culture,2
104,productivity,1
105,assimilation,1
106,are,4
107,often,1
108,strongly,1
109,inflected,1
110,racial,3
111,meanings,1
112,they,7
113,’re,2
114,subtler,1
115,deniable,1
116,attracting,1
117,far,1
118,less,1
119,opposition,1
120,than,1
121,say,1
122,likening,1
123,countries,5
124,outhouses,1
125,public,1
126,utterances,1
127,like,2
128,mr,3
129,should,3
130,inspire,1
131,need,3
132,go,2
133,deeper,1
134,challenging,1
135,views,1
136,both,2
137,flagrant,1
138,soft,1
139,pedaled,1
140,shaped,3
141,america,5
142,policy,3
143,ask,4
144,hard,1
145,questions,5
146,about,3
147,ways,4
148,decisively,1
149,durably,1
150,debate,1
151,usually,1
152,unnoticed,1
153,truth,1
154,is,1
155,many,2
156,states’,2
157,early,2
158,policies,2
159,toward,2
160,conceived,1
161,recognizably,1
162,trumpian,1
163,terms,1
164,substance,1
165,if,1
166,not,6
167,tenor,1
168,headline,1
169,making,2
170,sentiment,1
171,people,6
172,norway,1
173,read,1
174,white,4
175,preferable,1
176,would,1
177,been,3
178,recognizable,1
179,founders,1
180,nation,1
181,first,3
182,naturalization,1
183,law,4
184,closed,1
185,off,2
186,citizenship,2
187,all,2
188,free,1
189,persons,1
190,good,1
191,character,1
192,descent,1
193,among,2
194,migrants,5
195,singled,1
196,out,4
197,for,5
198,surveillance,1
199,exclusion,2
200,sought,2
201,entry,2
202,country,1
203,or,3
204,moved,1
205,between,3
206,state,1
207,repression,2
208,transformed,1
209,them,3
210,illegal,1
211,laying,1
212,groundwork,1
213,durable,1
214,associations,1
215,morality,1
216,keep,1
217,color,1
218,quite,1
219,literally,1
220,their,5
221,place,1
222,racialization,1
223,took,1
224,decades,2
225,following,1
226,civil,1
227,war,5
228,beginning,2
229,chinese,1
230,asia,1
231,targets,1
232,asiatic,1
233,barred,1
234,zone,1
235,latitude,1
236,longitude,1
237,markers,1
238,laid,1
239,clearly,1
240,legislative,1
241,code,1
242,kept,1
243,imaginary,1
244,mega,1
245,region,1
246,stretched,1
247,contemporary,1
248,turkey,1
249,papua,1
250,new,4
251,guinea,1
252,aftermath,2
253,world,3
254,i,1
255,national,3
256,origins,2
257,quota,1
258,system,2
259,turn,1
260,back,1
261,american,4
262,demographic,1
263,clock,1
264,european,1
265,admitted,1
266,proportion,1
267,presence,2
268,nationality,2
269,population,1
270,based,1
271,on,5
272,earlier,1
273,censuses,1
274,make,3
275,great,2
276,again,1
277,eugenic,1
278,age,2
279,hitler,1
280,fan,1
281,appeared,1
282,be,4
283,young,1
284,racially,1
285,select,1
286,he,2
287,wrote,1
288,admiringly,1
289,by,4
290,ability,1
291,set,1
292,foot,1
293,soil,1
294,dependent,1
295,specific,1
296,requirements,1
297,other,2
298,factors,1
299,unapologetically,1
300,codes,1
301,asian,1
302,core,1
303,survived,1
304,depression,1
305,beginnings,1
306,cold,1
307,decolonization,1
308,presumption,1
309,fortress,1
310,mostly,1
311,colored,1
312,backstopped,1
313,science,1
314,religion,1
315,scholarship,1
316,popular,2
317,did,1
318,allow,1
319,asians,1
320,obtain,1
321,under,1
322,pressure,2
323,fell,1
324,passage,1
325,hart,1
326,celler,1
327,act,1
328,which,3
329,foregrounded,1
330,family,1
331,reunification,1
332,refugee,1
333,admissions,1
334,highly,1
335,skilled,1
336,educated,1
337,persisted,1
338,enforcement,1
339,attitudes,1
340,caps,1
341,western,1
342,hemisphere,1
343,migration,4
344,flying,1
345,face,1
346,demand,1
347,workers,3
348,entrenched,1
349,labor,1
350,industry,1
351,poverty,1
352,latin,2
353,forced,1
354,thousands,1
355,exile,1
356,outlawed,1
357,old,1
358,flows,1
359,nativist,1
360,movements,1
361,directed,1
362,against,2
363,americans,1
364,arose,1
365,well,1
366,efforts,1
367,eliminate,1
368,migrants’,1
369,basic,1
370,services,1
371,expansion,1
372,incarceration,1
373,mass,2
374,deportation,2
375,sept,1
376,principle,1
377,muslim,1
378,majority,1
379,required,1
380,special,1
381,scrutiny,1
382,restriction,2
383,central,1
384,remaking,1
385,name,2
386,prevailing,1
387,conditioned,1
388,deeply,1
389,histories,1
390,can,4
391,assimilate,1
392,civilize,1
393,will,7
394,despite,1
395,negative,1
396,features,1
397,risks,1
398,pose,1
399,wealthier,1
400,more,1
401,powerful,1
402,sap,1
403,resources,1
404,past,2
405,week,1
406,liberals,1
407,progressives,1
408,others,2
409,protesting,1
410,comments,1
411,africa,1
412,understandably,1
413,rushed,1
414,defend,1
415,beautiful,1
416,dignified,1
417,unworthy,1
418,vulgar,1
419,derision,1
420,defensive,1
421,posture,1
422,response,1
423,inadvertently,1
424,legitimates,1
425,answers,1
426,one,1
427,also,2
428,feel,1
429,overwhelming,1
430,suspicion,1
431,hostility,1
432,roaring,1
433,time,1
434,ultimately,1
435,succeed,1
436,deposing,1
437,hateful,1
438,approach,1
439,unless,1
440,refuse,1
441,only,1
442,nastiest,1
443,word,1
444,choices,1
445,underlying,1
446,insist,1
447,choose,1
448,different,1
449,what,3
450,extent,1
451,global,3
452,north,1
453,implicated,1
454,forces,1
455,prevent,1
456,south,1
457,surviving,1
458,thriving,1
459,do,1
460,restrictive,1
461,heighten,1
462,exploitation,1
463,how,1
464,does,2
465,fear,1
466,migrant,1
467,easier,1
468,discipline,1
469,hurt,1
470,rob,1
471,poorer,1
472,parts,1
473,earth,1
474,centers,1
475,wealth,1
476,power,2
477,reflect,1
478,larger,1
479,problem,1
480,inequality,1
481,elites,1
482,elsewhere,1
483,before,2
484,presidency,1
485,known,1
486,could,1
487,sustain,1
488,capitalizing,1
489,deepening,1
490,necessary,1
491,inventing,1
492,divisions,1
493,self,1
494,friend,1
495,enemy,1
496,political,1
497,strategy,1
498,troubling,1
499,successes,1
500,updated,1
501,rescaled,1
502,globalized,1
503,fault,1
504,lines,1
505,those,1
506,bordered,1
507,there,1
508,no,1
509,protection,1
510,offered,1
511,polluters,1
512,health,1
513,insurance,1
514,companies,1
515,threat,1
516,muslims,1
517,mexicans,1
518,met,1
519,nationalists’,1
520,cry,1
521,you,2
522,replace,1
523,reply,1
524,divide,1
