,term,count
0,would,3
1,you,3
2,like,4
3,to,36
4,live,4
5,forever,4
6,some,2
7,billionaires,1
8,already,1
9,invincible,2
10,in,14
11,every,1
12,other,2
13,way,1
14,have,9
15,decided,2
16,that,18
17,they,4
18,also,3
19,deserve,1
20,not,6
21,die,4
22,today,2
23,several,1
24,biotech,1
25,companies,1
26,fueled,1
27,by,4
28,silicon,1
29,valley,1
30,fortunes,1
31,are,4
32,devoted,1
33,life,11
34,extension,4
35,or,7
36,as,17
37,put,2
38,it,16
39,solving,1
40,the,50
41,problem,1
42,of,33
43,death,5
44,’s,20
45,a,28
46,cause,2
47,championed,1
48,tech,1
49,billionaire,1
50,peter,2
51,thiel,1
52,ted,1
53,talk,1
54,darling,1
55,aubrey,1
56,gray,1
57,google,1
58,dollar,1
59,calico,2
60,longevity,4
61,lab,2
62,and,16
63,investment,2
64,amazon,1
65,jeff,1
66,bezos,1
67,national,1
68,academy,1
69,medicine,1
70,an,5
71,independent,1
72,group,1
73,recently,4
74,dedicated,1
75,funding,1
76,end,2
77,aging,6
78,entrepreneur,1
79,arram,1
80,sabeti,1
81,told,2
82,new,2
83,yorker,1
84,proposition,1
85,we,9
86,can,4
87,is,15
88,obvious,3
89,does,3
90,n’t,5
91,violate,2
92,laws,2
93,physics,2
94,so,6
95,achieve,4
96,all,5
97,slightly,2
98,creepy,1
99,aspects,1
100,this,5
101,trend,1
102,strangest,1
103,least,3
104,noticed,1
105,people,4
106,publicly,1
107,championing,1
108,mainly,1
109,men,8
110,them,2
111,course,1
112,elizabeth,1
113,blackburn,2
114,received,1
115,nobel,1
116,prize,1
117,for,14
118,her,3
119,work,3
120,on,7
121,telomeres,3
122,protein,1
123,caps,1
124,chromosomes,1
125,may,2
126,be,3
127,key,1
128,understanding,1
129,cynthia,1
130,kenyon,3
131,vice,1
132,president,1
133,research,6
134,at,9
135,studied,1
136,long,2
137,before,1
138,was,7
139,cool,1
140,former,1
141,protégée,1
142,laura,1
143,deming,2
144,now,3
145,runs,1
146,venture,1
147,capital,1
148,fund,1
149,but,8
150,these,3
151,women,9
152,focused,1
153,curbing,1
154,age,2
155,related,1
156,pathology,1
157,concept,1
158,about,3
159,controversial,1
160,cancer,1
161,do,1
162,appear,1
163,thirsty,1
164,fountain,1
165,youth,2
166,professor,1
167,book,1
168,could,1
169,clearer,1
170,our,1
171,show,1
172,maintaining,1
173,your,2
174,will,3
175,into,4
176,hundreds,2
177,says,1
178,no,1
179,everyone,2
180,cells,2
181,become,1
182,old,4
183,eventually,1
184,ms,3
185,once,2
186,described,1
187,goal,1
188,just,3
189,healthy,1
190,then,2
191,turn,1
192,out,2
193,lights,1
194,even,5
195,prodigy,1
196,who,10
197,worked,1
198,points,1
199,innately,1
200,important,1
201,us,2
202,few,2
203,experts,1
204,come,1
205,close,2
206,matching,1
207,gaudy,1
208,statements,1
209,investor,1
210,biohacker,1
211,dave,1
212,asprey,1
213,has,7
214,journalists,1
215,i,7
216,going,1
217,those,2
218,brian,1
219,hanley,1
220,microbiologist,1
221,tested,1
222,anti,1
223,gene,1
224,therapy,1
225,he,3
226,developed,1
227,himself,2
228,claimed,1
229,there,3
230,bunch,1
231,things,1
232,need,2
233,done,1
234,spans,1
235,years,2
236,’ll,1
237,get,1
238,fashion,1
239,mogul,1
240,nygard,3
241,during,1
242,promotional,1
243,clip,1
244,receives,1
245,injections,1
246,his,3
247,own,2
248,stem,1
249,reverse,1
250,while,4
251,declaring,1
252,ponce,1
253,de,1
254,león,1
255,had,1
256,right,1
257,idea,1
258,too,2
259,early,1
260,came,1
261,across,1
262,mr,2
263,ode,1
264,human,4
265,endurance,1
266,ago,1
267,beginning,1
268,novel,1
269,woman,3
270,ca,1
271,watching,1
272,video,2
273,allowed,2
274,me,2
275,experience,2
276,something,1
277,compared,1
278,leonardo,1
279,da,1
280,vinci,1
281,benjamin,1
282,franklin,1
283,dancing,1
284,with,4
285,bevy,1
286,models,1
287,voice,1
288,over,1
289,explained,1
290,living,2
291,most,2
292,only,5
293,dream,1
294,minutes,1
295,youtube,1
296,expanded,1
297,vapid,1
298,eternity,1
299,where,1
300,time,2
301,melted,1
302,vortex,1
303,solipsism,1
304,immersed,2
305,caring,2
306,my,2
307,young,4
308,children,1
309,paean,1
310,everlasting,1
311,seemed,1
312,especially,1
313,stupid,1
314,recall,2
315,thinking,1
316,if,4
317,eternal,2
318,did,1
319,seem,1
320,bad,1
321,powerful,1
322,begun,1
323,falling,1
324,dominoes,1
325,under,1
326,accusations,1
327,sexual,1
328,assault,1
329,its,2
330,clustered,1
331,around,1
332,elderly,1
333,multimillionaire,1
334,haunted,1
335,anew,1
336,discomfort,1
337,proclamations,1
338,driven,1
339,hope,3
340,escape,1
341,velocity,1
342,think,1
343,astonishing,1
344,hubris,1
345,harvey,1
346,weinsteins,1
347,world,2
348,saw,2
349,bodies,3
350,theirs,2
351,taking,1
352,much,2
353,been,3
354,said,1
355,why,1
356,such,1
357,behavior,1
358,go,1
359,unchecked,1
360,what,5
361,remained,1
362,unsaid,1
363,because,3
364,make,2
365,someone,2
366,shameless,1
367,first,1
368,place,1
369,believed,1
370,were,1
371,their,5
372,entirely,1
373,disposal,1
374,apparently,1
375,nothing,2
376,lives,1
377,led,1
378,believe,1
379,otherwise,1
380,historically,1
381,mistake,1
382,until,1
383,very,2
384,physical,3
385,being,2
386,entailed,1
387,exactly,2
388,opposite,1
389,hold,1
390,keys,1
391,self,2
392,defense,1
393,walking,1
394,through,1
395,parking,1
396,lots,1
397,night,1
398,widely,1
399,participated,1
400,public,1
401,more,6
402,welcome,1
403,expected,1
404,provide,1
405,care,3
406,vulnerable,1
407,nanosecond,1
408,history,1
409,shared,1
410,exclusively,1
411,burden,1
412,relentless,1
413,daily,4
414,labor,1
415,another,1
416,person,2
417,body,3
418,preserving,1
419,cleaning,1
420,feces,1
421,vomit,1
422,constant,1
423,cycle,1
424,cooking,1
425,feeding,1
426,blanketing,1
427,bathing,1
428,whether,1
429,ill,1
430,nearly,1
431,humans,1
432,female,1
433,meant,1
434,nonoptional,1
435,immersion,1
