,term,count
0,i,9
1,make,2
2,my,1
3,living,1
4,as,5
5,a,24
6,hockey,7
7,writer,1
8,’m,2
9,also,1
10,big,2
11,fan,2
12,of,27
13,the,57
14,sport,1
15,there,8
16,is,5
17,and,20
18,love,1
19,olympic,6
20,but,10
21,now,3
22,that,11
23,nhl,13
24,players,7
25,wo,3
26,n’t,10
27,represent,2
28,their,6
29,countries,1
30,in,19
31,pyeongchang,1
32,games,4
33,will,9
34,even,3
35,watch,1
36,for,10
37,fans,6
38,’s,25
39,decision,2
40,to,25
41,send,2
42,its,2
43,winter,1
44,olympics,4
45,beginning,1
46,was,5
47,dream,2
48,come,2
49,true,2
50,had,3
51,been,2
52,major,1
53,international,1
54,tournaments,2
55,never,2
56,with,5
57,these,2
58,sorts,1
59,stakes,1
60,on,10
61,this,4
62,stage,1
63,finally,1
64,would,5
65,get,2
66,best,8
67,tournament,3
68,played,2
69,front,1
70,worldwide,1
71,audience,1
72,rosters,2
73,genuine,2
74,suspense,1
75,over,5
76,who,6
77,win,2
78,gold,3
79,through,2
80,witnessed,1
81,some,3
82,most,5
83,memorable,1
84,moments,2
85,from,3
86,dominik,1
87,hasek,1
88,brilliance,1
89,nagano,1
90,japan,1
91,sidney,2
92,crosby,4
93,golden,1
94,goal,1
95,vancouver,1
96,when,3
97,said,1
98,it,12
99,not,3
100,many,2
101,us,1
102,assumed,1
103,bluff,2
104,surely,1
105,sort,1
106,last,4
107,minute,1
108,deal,1
109,be,12
110,found,1
111,were,3
112,furious,2
113,after,2
114,anger,1
115,question,2
116,worth,1
117,watching,2
118,’ve,2
119,struggled,1
120,old,5
121,enough,2
122,remember,1
123,days,1
124,before,1
125,arrived,1
126,they,4
127,fun,1
128,unpredictable,1
129,often,1
130,wildly,1
131,dramatic,1
132,“,1
133,miracle,2
134,ice,1
135,victory,1
136,by,3
137,united,2
138,states,2
139,soviet,1
140,union,1
141,still,2
142,ranks,1
143,famous,1
144,sports,1
145,history,1
146,day,1
147,kids,1
148,ponds,1
149,around,1
150,world,2
151,try,1
152,pull,1
153,off,3
154,peter,2
155,forsberg,2
156,handed,1
157,shootout,1
158,move,1
159,sweden,2
160,canada,4
161,medal,3
162,game,2
163,other,1
164,hand,1
165,once,1
166,you,2
167,going,1
168,back,1
169,something,2
170,else,1
171,feels,2
172,underwhelming,1
173,tempting,1
174,write,1
175,whole,1
176,thing,1
177,do,2
178,think,1
179,year,2
180,feature,2
181,are,2
182,plenty,2
183,fascinating,1
184,stories,1
185,follow,1
186,few,1
187,them,2
188,ever,2
189,expected,2
190,have,4
191,an,4
192,opportunity,2
193,only,1
194,shot,2
195,team,9
196,usa,2
197,heavy,1
198,hearts,3
199,inspiration,1
200,general,1
201,manager,1
202,jim,1
203,johannson,1
204,longtime,1
205,national,2
206,program,1
207,executive,1
208,died,1
209,unexpectedly,1
210,sunday,1
211,at,4
212,age,1
213,while,2
214,roster,2
215,he,9
216,built,2
217,quite,1
218,ragtag,1
219,squad,1
220,underdogs,1
221,won,1
222,americans,1
223,’re,1
224,far,1
225,captain,1
226,brian,1
227,gionta,1
228,diminutive,1
229,forward,2
230,seen,1
231,finishing,1
232,out,3
233,his,4
234,career,2
235,miserable,1
236,sabres,1
237,teams,1
238,chris,2
239,bourque,1
240,son,1
241,hall,1
242,fame,1
243,bruins,1
244,defenseman,3
245,ray,1
246,several,1
247,college,1
248,including,1
249,boston,1
250,university,1
251,jordan,1
252,greenway,1
253,’ll,4
254,become,1
255,first,2
256,african,1
257,american,1
258,bobby,1
259,butler,1
260,minor,2
261,leaguer,1
262,former,2
263,winger,1
264,warmed,1
265,video,1
266,him,2
267,telling,1
268,dad,1
269,playing,3
270,went,1
271,viral,1
272,auston,1
273,matthews,2
274,or,7
275,patrick,1
276,kane,2
277,maybe,2
278,does,1
279,hoping,1
280,see,1
281,connor,1
282,mcdavid,2
283,settle,1
284,names,1
285,like,3
286,nhlers,1
287,derek,1
288,roy,1
289,mason,1
290,raymond,1
291,can,1
292,root,1
293,chay,1
294,genoway,1
295,undrafted,2
296,long,1
297,dreamed,1
298,making,1
299,did,2
300,just,1
301,single,1
302,one,1
303,better,1
304,than,2
305,mat,1
306,robinson,1
307,made,1
308,all,2
309,neither,1
310,oldest,1
311,player,2
312,lee,1
313,then,1
314,goaltender,2
315,ben,1
316,scrivens,1
317,cornell,1
318,graduate,1
319,spent,1
320,almost,3
321,entire,1
322,high,1
323,pressure,1
324,markets,1
325,toronto,1
326,edmonton,1
327,montreal,1
328,devoted,1
329,base,1
330,thoughtful,1
331,social,1
332,media,1
333,presence,2
334,wife,1
335,jenny,1
336,new,1
337,york,1
338,riveters,1
339,women,1
340,league,4
341,unlike,1
342,members,1
343,previous,1
344,guys,1
345,playoff,1
346,races,1
347,return,1
348,instead,1
349,easily,1
350,important,1
351,careers,2
352,way,1
353,what,1
354,should,2
355,czech,2
356,captained,1
357,martin,1
358,erat,3
359,veteran,1
360,probably,1
361,remembered,1
362,no,3
363,control,1
364,disastrous,1
365,trade,1
366,which,1
367,washington,1
368,capitals,1
369,gave,1
370,up,2
371,prospect,2
372,acquire,1
373,filip,1
374,relation,1
375,young,1
376,forwards,1
377,has,2
378,years,2
379,gets,1
380,bid,1
381,glory,1
382,if,1
383,really,1
384,ca,1
385,excited,1
386,about,1
387,without,1
388,star,1
389,power,1
390,always,1
391,teenage,1
392,phenom,1
393,rasmus,1
394,dahlin,1
395,ridiculously,1
396,skilled,1
397,go,2
398,overall,1
399,next,1
400,draft,1
401,fifth,1
402,youngest,1
403,appear,1
404,men,1
405,point,1
406,pretending,1
407,any,1
408,feel,1
409,vs,1
410,bearing,1
411,down,1
412,henrik,1
413,lundqvist,1
414,line,1
415,pack,1
416,pucks,1
417,home,2
418,left,1
419,both,1
420,void,1
421,looking,1
422,fill,1
423,close,1
424,less,1
425,course,1
426,take,1
427,month,1
428,same,1
429,we,1
430,know,1
431,might,1
432,weeks,1
433,triumph,1
434,heartbreak,1
435,yes,1
436,find,1
